Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.33781,[17 85] ; [19 14],[27.2 74.8] ; [ 8.8 24.2],1
s6,1,0.00127,10.385247,[29 74] ; [19 13],[36.62222222 66.37777778] ; [11.37777778 20.62222222],0
p8,1,0.001371,10.244817,[17 86] ; [14 18],[23.65185185 79.34814815] ; [ 7.34814815 24.65185185],0
s5,1,0.002847,8.903107,[10 89] ; [10 21],[15.23076923 83.76923077] ; [ 4.76923077 26.23076923],0
p7,1,0.008536,6.917481,[23 78] ; [15 17],[28.85714286 72.14285714] ; [ 9.14285714 22.85714286],0
p5,1,0.011357,6.408614,[  2 101] ; [ 4 28],[ 4.57777778 98.42222222] ; [ 1.42222222 30.57777778],0
a5,1,0.040168,4.210788,[54 49] ; [24  9],[59.07352941 43.92647059] ; [18.92647059 14.07352941],0
r4,1,0.046206,3.974081,[58 45] ; [25  8],[62.86029412 40.13970588] ; [20.13970588 12.86029412],0
p6,1,0.049473,3.859246,[ 9 92] ; [ 7 25],[12.15037594 88.84962406] ; [ 3.84962406 28.15037594],0
p12,1,0.057533,3.607107,[  2 101] ; [ 3 30],[ 3.78676471 99.21323529] ; [ 1.21323529 31.78676471],0
v2,1,0.064168,3.42624,[35 62] ; [17 14],[39.40625 57.59375] ; [12.59375 18.40625],0
r3,1,0.069388,3.297442,[70 32] ; [28  5],[74.04444444 27.95555556] ; [23.95555556  9.04444444],0
a2,1,0.10711,2.59635,[18 85] ; [ 2 31],[15.14705882 87.85294118] ; [ 4.85294118 28.14705882],0
v4,1,0.143034,2.145015,[70 32] ; [27  6],[73.28888889 28.71111111] ; [23.71111111  9.28888889],0
s2,1,0.151565,2.056425,[25 77] ; [12 20],[28.1641791 73.8358209] ; [ 8.8358209 23.1641791],0
u3,1,0.184625,1.76,[16 24] ; [9 6],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
d5,1,0.190826,1.71123,[58 44] ; [23 10],[61.2 40.8] ; [19.8 13.2],0
r1,1,0.198581,1.652782,[55 47] ; [22 11],[58.17777778 43.82222222] ; [18.82222222 14.17777778],0
a8,1,0.21611,1.530019,[10 89] ; [ 1 31],[ 8.3129771 90.6870229] ; [ 2.6870229 29.3129771],0
n6,1,0.231658,1.430653,[58 44] ; [22 10],[60.89552239 41.10447761] ; [19.10447761 12.89552239],0
b5,1,0.235166,1.409342,[59 44] ; [15 18],[56.04411765 46.95588235] ; [17.95588235 15.04411765],0
p11,1,0.235166,1.409342,[44 59] ; [18 15],[46.95588235 56.04411765] ; [15.04411765 17.95588235],0
s7,1,0.24519,1.350504,[18 79] ; [ 3 28],[15.9140625 81.0859375] ; [ 5.0859375 25.9140625],0
v3,1,0.280555,1.164399,[25 73] ; [11 20],[27.34883721 70.65116279] ; [ 8.65116279 22.34883721],0
v1,1,0.329744,0.949901,[28 74] ; [12 21],[30.22222222 71.77777778] ; [ 9.77777778 23.22222222],0
n4,1,0.347518,0.882498,[62 40] ; [17 16],[59.68888889 42.31111111] ; [19.31111111 13.68888889],0
s3,1,0.393769,0.727273,[31 68] ; [13 20],[33. 66.] ; [11. 22.],0
n5,1,0.402047,0.702196,[61 41] ; [17 16],[58.93333333 43.06666667] ; [19.06666667 13.93333333],0
u2,1,0.412646,0.671165,[15 25] ; [7 7],[16.2962963 23.7037037] ; [5.7037037 8.2962963],0
a3,1,0.424453,0.637954,[63 38] ; [18 15],[61.05223881 39.94776119] ; [19.94776119 13.05223881],0
p10,1,0.426038,0.6336,[41 60] ; [16 17],[42.96268657 58.03731343] ; [14.03731343 18.96268657],0
