Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.005095,7.845552,[ 4 13] ; [36 22],[9.06666667 7.93333333] ; [30.93333333 27.06666667],0
p7,1,0.006119,7.514834,[8 9] ; [46 11],[12.40540541  4.59459459] ; [41.59459459 15.40540541],0
p4,1,0.01333,6.12484,[ 7 10] ; [44 16],[11.25974026  5.74025974] ; [39.74025974 20.25974026],0
p11,1,0.01855,5.543485,[8 9] ; [46 14],[11.92207792  5.07792208] ; [42.07792208 17.92207792],0
n5,1,0.01855,5.543485,[8 9] ; [46 14],[11.92207792  5.07792208] ; [42.07792208 17.92207792],0
s3,1,0.049479,3.859028,[10  7] ; [49 11],[13.02597403  3.97402597] ; [45.97402597 14.02597403],0
n4,1,0.080149,3.061882,[8 9] ; [42 18],[11.03896104  5.96103896] ; [38.96103896 21.03896104],0
p1,1,0.085164,2.963484,[ 4 13] ; [ 5 55],[ 1.98701299 15.01298701] ; [ 7.01298701 52.98701299],0
p12,1,0.085936,2.948902,[ 3 14] ; [ 3 57],[ 1.32467532 15.67532468] ; [ 4.67532468 55.32467532],0
d1,1,0.107477,2.590931,[8 9] ; [41 19],[10.81818182  6.18181818] ; [38.18181818 21.81818182],0
u1,1,0.10878,2.571862,[ 1 16] ; [14 46],[ 3.31168831 13.68831169] ; [11.68831169 48.31168831],0
d3,1,0.144789,2.126307,[10  7] ; [46 14],[12.36363636  4.63636364] ; [43.63636364 16.36363636],0
s1,1,0.166733,1.912074,[ 2 15] ; [ 2 58],[ 0.88311688 16.11688312] ; [ 3.11688312 56.88311688],0
a6,1,0.167691,1.903468,[ 7 10] ; [36 24],[9.49350649 7.50649351] ; [33.50649351 26.49350649],0
p10,1,0.217259,1.522386,[13  4] ; [53  7],[14.57142857  2.42857143] ; [51.42857143  8.57142857],0
s2,1,0.241501,1.371811,[12  5] ; [50 10],[13.68831169  3.31168831] ; [48.31168831 11.68831169],0
p3,1,0.258497,1.276787,[ 7 10] ; [34 26],[9.05194805 7.94805195] ; [31.94805195 28.05194805],0
b1,1,0.299049,1.078431,[8 9] ; [20 40],[ 6.18181818 10.81818182] ; [21.81818182 38.18181818],0
a2,1,0.299376,1.076973,[ 2 15] ; [14 46],[ 3.53246753 13.46753247] ; [12.46753247 47.53246753],0
b4,1,0.312883,1.018465,[10  7] ; [43 17],[11.7012987  5.2987013] ; [41.2987013 18.7012987],0
a1,1,0.334722,0.930542,[ 1 16] ; [ 1 59],[ 0.44155844 16.55844156] ; [ 1.55844156 58.44155844],0
s7,1,0.362411,0.829522,[10  5] ; [46 13],[11.35135135  3.64864865] ; [44.64864865 14.35135135],0
u2,1,0.363722,0.825,[1 3] ; [9 9],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
a7,1,0.365043,0.820468,[9 8] ; [39 21],[10.5974026  6.4025974] ; [37.4025974 22.5974026],0
v3,1,0.382112,0.763897,[ 4 12] ; [22 38],[ 5.47368421 10.52631579] ; [20.52631579 39.47368421],0
d5,1,0.407268,0.686761,[13  4] ; [51  9],[14.12987013  2.87012987] ; [49.87012987 10.12987013],0
a5,1,0.446387,0.579809,[14  3] ; [44 16],[12.80519481  4.19480519] ; [45.19480519 14.80519481],0
p5,1,0.490216,0.476053,[ 1 16] ; [ 7 53],[ 1.76623377 15.23376623] ; [ 6.23376623 53.76623377],0
r1,1,0.505376,0.443629,[12  5] ; [47 13],[13.02597403  3.97402597] ; [45.97402597 14.02597403],0
p6,1,0.517809,0.418255,[8 9] ; [33 26],[9.17105263 7.82894737] ; [31.82894737 27.17105263],0
v2,1,0.532679,0.389278,[9 7] ; [28 31],[7.89333333 8.10666667] ; [29.10666667 29.89333333],0
v1,1,0.562402,0.335563,[8 9] ; [33 27],[9.05194805 7.94805195] ; [31.94805195 28.05194805],0
u3,1,0.601448,0.272817,[3 1] ; [11  7],[2.54545455 1.45454545] ; [11.45454545  6.54545455],0
a4,1,0.601625,0.272552,[10  7] ; [31 29],[9.05194805 7.94805195] ; [31.94805195 28.05194805],0
s8,1,0.60215,0.271765,[9 8] ; [36 24],[9.93506494 7.06493506] ; [35.06493506 24.93506494],0
a3,1,0.60215,0.271765,[13  4] ; [42 18],[12.14285714  4.85714286] ; [42.85714286 17.14285714],0
v4,1,0.631619,0.229871,[16  1] ; [58  2],[16.33766234  0.66233766] ; [57.66233766  2.33766234],0
p9,1,0.644875,0.212422,[15  1] ; [54  6],[14.52631579  1.47368421] ; [54.47368421  5.52631579],0
b2,1,0.735937,0.11373,[4 9] ; [ 8 23],[3.54545455 9.45454545] ; [ 8.45454545 22.54545455],0
b3,1,0.735937,0.11373,[4 9] ; [ 8 23],[3.54545455 9.45454545] ; [ 8.45454545 22.54545455],0
n6,1,0.790531,0.070554,[14  3] ; [51  9],[14.35064935  2.64935065] ; [50.64935065  9.35064935],0
d4,1,0.790531,0.070554,[14  3] ; [51  9],[14.35064935  2.64935065] ; [50.64935065  9.35064935],0
d2,1,0.880379,0.022647,[9 8] ; [33 27],[9.27272727 7.72727273] ; [32.72727273 27.27272727],0
b5,1,0.880379,0.022647,[9 8] ; [33 27],[9.27272727 7.72727273] ; [32.72727273 27.27272727],0
s6,1,0.896754,0.016838,[16  1] ; [56  3],[16.10526316  0.89473684] ; [55.89473684  3.10526316],0
n1,1,0.897785,0.016502,[2 5] ; [ 5 11],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
n3,1,0.897785,0.016502,[5 2] ; [11  5],[4.86956522 2.13043478] ; [11.13043478  4.86956522],0
n2,1,0.906855,0.01369,[6 1] ; [14  2],[6.08695652 0.91304348] ; [13.91304348  2.08695652],0
