Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.574583,[47  3] ; [7 9],[40.90909091  9.09090909] ; [13.09090909  2.90909091],1
v1,1,0.005454,7.722382,[27 23] ; [ 2 13],[22.30769231 27.69230769] ; [6.69230769 8.30769231],0
n6,1,0.01129,6.419135,[43  7] ; [9 7],[39.39393939 10.60606061] ; [12.60606061  3.39393939],0
b4,1,0.01967,5.440976,[35 15] ; [ 6 10],[31.06060606 18.93939394] ; [9.93939394 6.06060606],0
a5,1,0.021598,5.277847,[32 18] ; [ 5 11],[28.03030303 21.96969697] ; [8.96969697 7.03030303],0
p7,1,0.035399,4.425816,[38 11] ; [8 8],[34.67692308 14.32307692] ; [11.32307692  4.67692308],0
s2,1,0.044901,4.02235,[30 20] ; [ 5 11],[26.51515152 23.48484848] ; [8.48484848 7.51515152],0
s5,1,0.04818,3.903711,[21 25] ; [ 2 11],[17.93220339 28.06779661] ; [5.06779661 7.93220339],0
r4,1,0.048875,3.879652,[38 12] ; [8 8],[34.84848485 15.15151515] ; [11.15151515  4.84848485],0
r2,1,0.053599,3.725146,[46  4] ; [11  4],[43.84615385  6.15384615] ; [13.15384615  1.84615385],0
p8,1,0.061933,3.48485,[32 18] ; [ 6 10],[28.78787879 21.21212121] ; [9.21212121 6.78787879],0
d3,1,0.073638,3.2,[33 15] ; [7 9],[30. 18.] ; [10.  6.],0
s6,1,0.083397,2.99743,[32 15] ; [7 9],[29.0952381 17.9047619] ; [9.9047619 6.0952381],0
d2,1,0.112883,2.513394,[17 33] ; [9 7],[19.6969697 30.3030303] ; [6.3030303 9.6969697],0
d5,1,0.114772,2.487245,[40  9] ; [10  6],[37.69230769 11.30769231] ; [12.30769231  3.69230769],0
p2,1,0.119445,2.424583,[43  7] ; [11  5],[40.90909091  9.09090909] ; [13.09090909  2.90909091],0
v2,1,0.164827,1.929375,[29 19] ; [6 9],[26.66666667 21.33333333] ; [8.33333333 6.66666667],0
p11,1,0.18188,1.782192,[42  8] ; [11  5],[40.15151515  9.84848485] ; [12.84848485  3.15151515],0
s8,1,0.197479,1.660919,[28 22] ; [ 6 10],[25.75757576 24.24242424] ; [8.24242424 7.75757576],0
n3,1,0.204008,1.613445,[10  6] ; [7 1],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
p3,1,0.254324,1.299394,[30 20] ; [7 9],[28.03030303 21.96969697] ; [8.96969697 7.03030303],0
v3,1,0.260766,1.264684,[21 28] ; [ 4 11],[19.140625 29.859375] ; [5.859375 9.140625],0
a7,1,0.274549,1.193878,[32 17] ; [8 8],[30.15384615 18.84615385] ; [9.84615385 6.15384615],0
n4,1,0.309865,1.03125,[35 15] ; [9 7],[33.33333333 16.66666667] ; [10.66666667  5.33333333],0
p1,1,0.322589,0.978421,[ 8 42] ; [ 1 15],[ 6.81818182 43.18181818] ; [ 2.18181818 13.81818182],0
s4,1,0.34998,0.873529,[10 40] ; [ 5 11],[11.36363636 38.63636364] ; [ 3.63636364 12.36363636],0
n5,1,0.376546,0.781948,[37 13] ; [10  6],[35.60606061 14.39393939] ; [11.39393939  4.60606061],0
b1,1,0.3928,0.730258,[22 28] ; [9 7],[23.48484848 26.51515152] ; [7.51515152 8.48484848],0
s7,1,0.465109,0.533572,[27 20] ; [7 8],[25.77419355 21.22580645] ; [8.22580645 6.77419355],0
p4,1,0.471715,0.517957,[36 14] ; [10  6],[34.84848485 15.15151515] ; [11.15151515  4.84848485],0
a8,1,0.473786,0.513132,[ 6 41] ; [ 1 15],[ 5.22222222 41.77777778] ; [ 1.77777778 14.22222222],0
a4,1,0.480404,0.497946,[17 33] ; [7 9],[18.18181818 31.81818182] ; [ 5.81818182 10.18181818],0
b5,1,0.530001,0.39439,[30 20] ; [11  5],[31.06060606 18.93939394] ; [9.93939394 6.06060606],0
n1,1,0.55409,0.350041,[7 9] ; [4 3],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
d4,1,0.563799,0.333169,[38 12] ; [11  5],[37.12121212 12.87878788] ; [11.87878788  4.12121212],0
s3,1,0.565659,0.33,[26 24] ; [7 9],[25. 25.] ; [8. 8.],0
d1,1,0.565659,0.33,[26 24] ; [7 9],[25. 25.] ; [8. 8.],0
u2,1,0.591838,0.287483,[13  6] ; [4 3],[12.42307692  6.57692308] ; [4.57692308 2.42307692],0
a2,1,0.649723,0.20625,[ 5 45] ; [ 1 15],[ 4.54545455 45.45454545] ; [ 1.45454545 14.54545455],0
a1,1,0.649723,0.20625,[ 5 45] ; [ 1 15],[ 4.54545455 45.45454545] ; [ 1.45454545 14.54545455],0
u3,1,0.658387,0.195489,[10  9] ; [3 4],[9.5 9.5] ; [3.5 3.5],0
b2,1,0.668374,0.18351,[14 18] ; [4 7],[13.39534884 18.60465116] ; [4.60465116 6.39534884],0
b3,1,0.668374,0.18351,[14 18] ; [4 7],[13.39534884 18.60465116] ; [4.60465116 6.39534884],0
a3,1,0.682025,0.167856,[31 19] ; [9 7],[30.3030303 19.6969697] ; [9.6969697 6.3030303],0
n2,1,0.759463,0.09375,[11  5] ; [5 3],[10.66666667  5.33333333] ; [5.33333333 2.66666667],0
v4,1,0.777429,0.079903,[45  5] ; [14  2],[44.6969697  5.3030303] ; [14.3030303  1.6969697],0
a6,1,0.790592,0.070513,[30 20] ; [9 7],[29.54545455 20.45454545] ; [9.45454545 6.54545455],0
u1,1,0.817895,0.053016,[ 4 46] ; [ 1 15],[ 3.78787879 46.21212121] ; [ 1.21212121 14.78787879],0
r3,1,0.957463,0.002845,[44  6] ; [14  2],[43.93939394  6.06060606] ; [14.06060606  1.93939394],0
