Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.7e-05,17.032065,[58 12] ; [12 17],[49.49494949 20.50505051] ; [20.50505051  8.49494949],1
p2,1,0.000114,14.894594,[59 10] ; [14 15],[51.39795918 17.60204082] ; [21.60204082  7.39795918],1
a6,1,0.000617,11.723191,[50 20] ; [10 19],[42.42424242 27.57575758] ; [17.57575758 11.42424242],1
d5,1,0.008816,6.859741,[60 10] ; [18 11],[55.15151515 14.84848485] ; [22.84848485  6.15151515],0
n6,1,0.01272,6.207646,[45 24] ; [11 18],[39.42857143 29.57142857] ; [16.57142857 12.42857143],0
n1,1,0.013124,6.152347,[ 3 14] ; [7 4],[ 6.07142857 10.92857143] ; [3.92857143 7.07142857],0
a2,1,0.014428,5.984975,[17 53] ; [ 1 28],[12.72727273 57.27272727] ; [ 5.27272727 23.72727273],0
p9,1,0.035477,4.422045,[54 15] ; [16 12],[49.79381443 19.20618557] ; [20.20618557  7.79381443],0
v3,1,0.045681,3.99333,[31 37] ; [ 6 20],[26.76595745 41.23404255] ; [10.23404255 15.76595745],0
d1,1,0.054489,3.697665,[39 31] ; [10 19],[34.64646465 35.35353535] ; [14.35353535 14.64646465],0
p8,1,0.063736,3.437402,[33 36] ; [ 8 21],[28.86734694 40.13265306] ; [12.13265306 16.86734694],0
v2,1,0.077232,3.122213,[46 22] ; [13 14],[42.23157895 25.76842105] ; [16.76842105 10.23157895],0
s3,1,0.092869,2.823928,[30 39] ; [18 11],[33.79591837 35.20408163] ; [14.20408163 14.79591837],0
p6,1,0.119167,2.42823,[23 43] ; [ 5 22],[19.87096774 46.12903226] ; [ 8.12903226 18.87096774],0
a4,1,0.152875,2.043327,[30 40] ; [17 12],[33.23232323 36.76767677] ; [13.76767677 15.23232323],0
d4,1,0.165218,1.925804,[61  9] ; [22  7],[58.68686869 11.31313131] ; [24.31313131  4.68686869],0
s2,1,0.184935,1.757512,[28 41] ; [16 13],[30.97959184 38.02040816] ; [13.02040816 15.97959184],0
s4,1,0.236827,1.399382,[10 60] ; [ 7 22],[12.02020202 57.97979798] ; [ 4.97979798 24.02020202],0
a1,1,0.250188,1.322255,[ 3 67] ; [ 3 26],[ 4.24242424 65.75757576] ; [ 1.75757576 27.24242424],0
p4,1,0.277459,1.179494,[32 37] ; [10 19],[29.57142857 39.42857143] ; [12.42857143 16.57142857],0
a5,1,0.287787,1.129944,[51 19] ; [18 11],[48.78787879 21.21212121] ; [20.21212121  8.78787879],0
u2,1,0.29627,1.090909,[16  6] ; [6 5],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
b4,1,0.304252,1.055465,[44 26] ; [15 14],[41.71717172 28.28282828] ; [17.28282828 11.71717172],0
p10,1,0.308273,1.03806,[44 24] ; [15 13],[41.79166667 26.20833333] ; [17.20833333 10.79166667],0
n2,1,0.327618,0.958289,[11  6] ; [9 2],[12.14285714  4.85714286] ; [7.85714286 3.14285714],0
r1,1,0.363611,0.825381,[52 18] ; [24  5],[53.73737374 16.26262626] ; [22.26262626  6.73737374],0
s8,1,0.426528,0.632258,[24 46] ; [12 16],[25.71428571 44.28571429] ; [10.28571429 17.71428571],0
r2,1,0.461193,0.542997,[62  6] ; [25  4],[60.98969072  7.01030928] ; [26.01030928  2.98969072],0
p12,1,0.486601,0.484034,[ 5 63] ; [ 1 27],[ 4.25 63.75] ; [ 1.75 26.25],0
p11,1,0.516578,0.420719,[46 24] ; [21  8],[47.37373737 22.62626263] ; [19.62626263  9.37373737],0
r4,1,0.530137,0.39413,[57 13] ; [22  7],[55.85858586 14.14141414] ; [23.14141414  5.85858586],0
b1,1,0.563723,0.333299,[27 43] ; [13 16],[28.28282828 41.71717172] ; [11.71717172 17.28282828],0
