Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.065342,3.39632,[23 19] ; [15 28],[18.77647059 23.22352941] ; [19.22352941 23.77647059],0
p6,1,0.113333,2.507122,[31 71] ; [23 87],[25.98113208 76.01886792] ; [28.01886792 81.98113208],0
v4,1,0.175002,1.83956,[93 11] ; [93 19],[89.55555556 14.44444444] ; [96.44444444 15.55555556],0
p7,1,0.187217,1.739382,[51 52] ; [45 66],[46.20560748 56.79439252] ; [49.79439252 61.20560748],0
p2,1,0.226631,1.46188,[76 28] ; [74 39],[71.88940092 32.11059908] ; [78.11059908 34.88940092],0
s8,1,0.238054,1.392082,[30 73] ; [25 88],[26.22685185 76.77314815] ; [28.77314815 84.22685185],0
a7,1,0.259576,1.271018,[61 42] ; [74 37],[64.97663551 38.02336449] ; [70.02336449 40.97663551],0
r3,1,0.268636,1.223697,[94  9] ; [96 15],[91.44859813 11.55140187] ; [98.55140187 12.44859813],0
n3,1,0.279264,1.17067,[26  9] ; [27 16],[23.78205128 11.21794872] ; [29.21794872 13.78205128],0
n4,1,0.29649,1.089915,[69 35] ; [66 45],[65.30232558 38.69767442] ; [69.69767442 41.30232558],0
n2,1,0.31041,1.028932,[26  8] ; [29 15],[23.97435897 10.02564103] ; [31.02564103 12.97435897],0
s5,1,0.386555,0.749752,[24 76] ; [21 89],[21.42857143 78.57142857] ; [23.57142857 86.42857143],0
r4,1,0.404806,0.694005,[84 20] ; [86 27],[81.47465438 22.52534562] ; [88.52534562 24.47465438],0
s1,1,0.423137,0.641587,[ 4 98] ; [  7 103],[ 5.29245283 96.70754717] ; [  5.70754717 104.29245283],0
b4,1,0.437181,0.60367,[67 37] ; [67 46],[64.22119816 39.77880184] ; [69.77880184 43.22119816],0
a6,1,0.449152,0.57279,[62 42] ; [73 40],[64.70046083 39.29953917] ; [70.29953917 42.70046083],0
n6,1,0.459004,0.548323,[75 28] ; [75 35],[72.53521127 30.46478873] ; [77.46478873 32.53521127],0
u1,1,0.470801,0.520096,[13 91] ; [18 95],[14.85714286 89.14285714] ; [16.14285714 96.85714286],0
p1,1,0.493068,0.469825,[ 5 97] ; [  8 104],[ 6.19626168 95.80373832] ; [  6.80373832 105.19626168],0
a2,1,0.512153,0.429665,[15 89] ; [20 93],[16.77419355 87.22580645] ; [18.22580645 94.77419355],0
d3,1,0.522907,0.408155,[60 44] ; [70 43],[62.30414747 41.69585253] ; [67.69585253 45.30414747],0
