Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.507099,[45 70] ; [27  5],[56.32653061 58.67346939] ; [15.67346939 16.32653061],1
s4,1,0.000319,12.953868,[15 99] ; [13 18],[22.0137931 91.9862069] ; [ 5.9862069 25.0137931],1
p12,1,0.001105,10.643519,[  2 113] ; [ 5 27],[  5.47619048 109.52380952] ; [ 1.52380952 30.47619048],0
s8,1,0.002601,9.068411,[29 86] ; [17 15],[35.98639456 79.01360544] ; [10.01360544 21.98639456],0
r4,1,0.00954,6.718848,[73 42] ; [28  4],[79.01360544 35.98639456] ; [21.98639456 10.01360544],0
a5,1,0.010841,6.491168,[65 50] ; [26  6],[71.19047619 43.80952381] ; [19.80952381 12.19047619],0
s2,1,0.012796,6.197071,[37 78] ; [18 14],[43.02721088 71.97278912] ; [11.97278912 20.02721088],0
d4,1,0.018772,5.522649,[80 34] ; [29  3],[85.10958904 28.89041096] ; [23.89041096  8.10958904],0
r3,1,0.019007,5.50091,[85 29] ; [30  2],[89.79452055 24.20547945] ; [25.20547945  6.79452055],0
p1,1,0.025648,4.979586,[  7 108] ; [ 6 26],[ 10.17006803 104.82993197] ; [ 2.82993197 29.17006803],0
p5,1,0.03863,4.277081,[  2 110] ; [ 3 29],[  3.88888889 108.11111111] ; [ 1.11111111 30.88888889],0
p4,1,0.042234,4.125795,[21 93] ; [11 20],[25.15862069 88.84137931] ; [ 6.84137931 24.15862069],0
d2,1,0.044524,4.036576,[55 58] ; [22 10],[60.00689655 52.99310345] ; [16.99310345 15.00689655],0
p6,1,0.050632,3.820408,[  8 104] ; [ 6 26],[ 10.88888889 101.11111111] ; [ 3.11111111 28.88888889],0
v2,1,0.060933,3.511803,[41 68] ; [17 13],[45.48201439 63.51798561] ; [12.51798561 17.48201439],0
s3,1,0.068365,3.32185,[47 67] ; [19 13],[51.53424658 62.46575342] ; [14.46575342 17.53424658],0
p10,1,0.092453,2.831136,[50 63] ; [19 12],[54.14583333 58.85416667] ; [14.85416667 16.14583333],0
s7,1,0.094312,2.799189,[36 72] ; [15 15],[39.91304348 68.08695652] ; [11.08695652 18.91304348],0
r2,1,0.104043,2.642455,[91 20] ; [30  2],[93.92307692 17.07692308] ; [27.07692308  4.92307692],0
a4,1,0.130819,2.282763,[47 67] ; [18 14],[50.75342466 63.24657534] ; [14.24657534 17.75342466],0
p3,1,0.148701,2.085529,[22 92] ; [10 22],[24.98630137 89.01369863] ; [ 7.01369863 24.98630137],0
r1,1,0.15582,2.014328,[70 44] ; [24  8],[73.39726027 40.60273973] ; [20.60273973 11.39726027],0
n4,1,0.167202,1.90785,[79 35] ; [18 14],[75.73972603 38.26027397] ; [21.26027397 10.73972603],0
n6,1,0.184396,1.761835,[75 39] ; [25  7],[78.08219178 35.91780822] ; [21.91780822 10.08219178],0
p9,1,0.197196,1.663023,[53 57] ; [19 12],[56.17021277 53.82978723] ; [15.82978723 15.17021277],0
v4,1,0.21066,1.566882,[84 30] ; [27  5],[86.67123288 27.32876712] ; [24.32876712  7.67123288],0
n5,1,0.211529,1.560928,[77 36] ; [18 14],[74.03448276 38.96551724] ; [20.96551724 11.03448276],0
d5,1,0.214831,1.538568,[76 38] ; [25  7],[78.8630137 35.1369863] ; [22.1369863  9.8630137],0
u2,1,0.26762,1.228905,[21 20] ; [2 5],[19.64583333 21.35416667] ; [3.35416667 3.64583333],0
a3,1,0.28309,1.152196,[74 40] ; [24  8],[76.52054795 37.47945205] ; [21.47945205 10.52054795],0
v1,1,0.38961,0.740159,[36 75] ; [13 19],[38.03496503 72.96503497] ; [10.96503497 21.03496503],0
u3,1,0.402987,0.699395,[22 19] ; [3 5],[20.91836735 20.08163265] ; [4.08163265 3.91836735],0
a1,1,0.416775,0.659392,[ 12 103] ; [ 5 27],[ 13.29931973 101.70068027] ; [ 3.70068027 28.29931973],0
d3,1,0.445078,0.583155,[59 55] ; [19 13],[60.90410959 53.09589041] ; [17.09589041 14.90410959],0
n2,1,0.505887,0.442565,[29 18] ; [10  4],[30.04918033 16.95081967] ; [8.95081967 5.04918033],0
v3,1,0.576,0.312746,[35 73] ; [11 18],[36.26277372 71.73722628] ; [ 9.73722628 19.26277372],0
u1,1,0.579656,0.306792,[19 96] ; [ 4 28],[17.99319728 97.00680272] ; [ 5.00680272 26.99319728],0
a6,1,0.615816,0.251792,[62 52] ; [19 13],[63.24657534 50.75342466] ; [17.75342466 14.24657534],0
b1,1,0.620273,0.245484,[59 56] ; [18 14],[60.23809524 54.76190476] ; [16.76190476 15.23809524],0
p7,1,0.631685,0.229783,[25 85] ; [ 6 26],[24.01408451 85.98591549] ; [ 6.98591549 25.01408451],0
d1,1,0.657588,0.196467,[56 59] ; [17 15],[57.10884354 57.89115646] ; [15.89115646 16.10884354],0
s1,1,0.665079,0.187412,[  8 105] ; [ 3 29],[  8.57241379 104.42758621] ; [ 2.42758621 29.57241379],0
a7,1,0.729839,0.119259,[68 46] ; [18 14],[67.15068493 46.84931507] ; [18.84931507 13.15068493],0
n3,1,0.736486,0.113239,[26 18] ; [7 6],[25.47368421 18.52631579] ; [7.52631579 5.47368421],0
b2,1,0.758037,0.094901,[32 46] ; [ 9 15],[31.35294118 46.64705882] ; [ 9.64705882 14.35294118],0
b3,1,0.758037,0.094901,[32 46] ; [ 9 15],[31.35294118 46.64705882] ; [ 9.64705882 14.35294118],0
b4,1,0.769904,0.085556,[68 47] ; [18 14],[67.27891156 47.72108844] ; [18.72108844 13.27891156],0
p11,1,0.787729,0.072501,[58 57] ; [17 15],[58.67346939 56.32653061] ; [16.32653061 15.67346939],0
