Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,37.424599,[96 14] ; [12 22],[82.5 27.5] ; [25.5  8.5],1
d3,1,1e-06,24.07155,[83 27] ; [10 24],[71.04166667 38.95833333] ; [21.95833333 12.04166667],1
r1,1,9.2e-05,15.300286,[96 13] ; [19 14],[88.27464789 20.72535211] ; [26.72535211  6.27464789],1
d2,1,0.000521,12.037403,[60 50] ; [ 7 27],[51.18055556 58.81944444] ; [15.81944444 18.18055556],1
p1,1,0.000736,11.397063,[  5 105] ; [ 8 26],[  9.93055556 100.06944444] ; [ 3.06944444 30.93055556],1
r3,1,0.017318,5.663864,[104   6] ; [26  6],[100.70422535   9.29577465] ; [29.29577465  2.70422535],0
r4,1,0.022515,5.205561,[96 14] ; [24 10],[91.66666667 18.33333333] ; [28.33333333  5.66666667],0
a5,1,0.025194,5.010471,[86 24] ; [20 14],[80.97222222 29.02777778] ; [25.02777778  8.97222222],0
u1,1,0.027758,4.843019,[20 90] ; [ 1 33],[16.04166667 93.95833333] ; [ 4.95833333 29.04166667],0
a4,1,0.027893,4.834643,[56 54] ; [10 24],[50.41666667 59.58333333] ; [15.58333333 18.41666667],0
s2,1,0.02822,4.814586,[29 79] ; [ 3 31],[24.33802817 83.66197183] ; [ 7.66197183 26.33802817],0
s8,1,0.033432,4.523495,[33 77] ; [ 4 30],[28.26388889 81.73611111] ; [ 8.73611111 25.26388889],0
a3,1,0.037066,4.347365,[84 25] ; [20 14],[79.27272727 29.72727273] ; [24.72727273  9.27272727],0
s5,1,0.03959,4.235383,[23 85] ; [ 2 32],[19.01408451 88.98591549] ; [ 5.98591549 28.01408451],0
a6,1,0.040198,4.209502,[79 31] ; [18 16],[74.09722222 35.90277778] ; [22.90277778 11.09722222],0
p2,1,0.042513,4.114656,[95 13] ; [25  9],[91.26760563 16.73239437] ; [28.73239437  5.26760563],0
v2,1,0.060849,3.514096,[76 33] ; [16 15],[71.62857143 37.37142857] ; [20.37142857 10.62857143],0
v4,1,0.097361,2.74825,[103   7] ; [27  5],[100.70422535   9.29577465] ; [29.29577465  2.70422535],0
n6,1,0.117118,2.455442,[87 22] ; [22 11],[83.66901408 25.33098592] ; [25.33098592  7.66901408],0
p9,1,0.143014,2.145221,[88 19] ; [24 10],[84.9929078 22.0070922] ; [27.0070922  6.9929078],0
p10,1,0.157154,2.001397,[85 22] ; [23 11],[81.95744681 25.04255319] ; [26.04255319  7.95744681],0
v3,1,0.171317,1.871381,[52 52] ; [12 21],[48.58394161 55.41605839] ; [15.41605839 17.58394161],0
s7,1,0.175509,1.835245,[28 74] ; [ 5 27],[25.11940299 76.88059701] ; [ 7.88059701 24.11940299],0
p7,1,0.182561,1.776652,[72 37] ; [17 15],[68.80141844 40.19858156] ; [20.19858156 11.80141844],0
p11,1,0.186948,1.741506,[92 18] ; [25  9],[89.375 20.625] ; [27.625  6.375],0
a2,1,0.195469,1.675909,[24 86] ; [ 4 30],[21.38888889 88.61111111] ; [ 6.61111111 27.38888889],0
s1,1,0.207542,1.588493,[  4 105] ; [ 3 30],[  5.37323944 103.62676056] ; [ 1.62676056 31.37323944],0
n1,1,0.233762,1.417824,[ 5 11] ; [5 4],[6.4 9.6] ; [3.6 5.4],0
p8,1,0.239982,1.380699,[60 48] ; [14 18],[57.08571429 50.91428571] ; [16.91428571 15.08571429],0
u2,1,0.273381,1.199703,[14 12] ; [5 9],[12.35 13.65] ; [6.65 7.35],0
b4,1,0.287425,1.131644,[60 50] ; [15 19],[57.29166667 52.70833333] ; [17.70833333 16.29166667],0
p3,1,0.352317,0.865094,[57 50] ; [15 19],[54.63829787 52.36170213] ; [17.36170213 16.63829787],0
b5,1,0.388494,0.743652,[62 48] ; [22 12],[64.16666667 45.83333333] ; [19.83333333 14.16666667],0
