Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,111.738095,[355   9] ; [29 23],[336.  28.] ; [48.  4.],1
r1,1,0.0,70.911723,[298  66] ; [15 38],[273.21822542  90.78177458] ; [39.78177458 13.21822542],1
r2,1,0.0,69.952352,[352  12] ; [32 18],[337.62318841  26.37681159] ; [46.37681159  3.62318841],1
s6,1,5.1e-05,16.413408,[227 132] ; [18 35],[213.48300971 145.51699029] ; [31.51699029 21.48300971],1
p9,1,0.000104,15.069597,[284  73] ; [28 23],[273.  84.] ; [39. 12.],1
a5,1,0.000174,14.092061,[253 111] ; [23 30],[240.92086331 123.07913669] ; [35.07913669 17.92086331],1
p11,1,0.000728,11.415197,[274  91] ; [28 25],[263.70813397 101.29186603] ; [38.29186603 14.70813397],1
s5,1,0.001158,10.556841,[105 247] ; [ 4 46],[ 95.44278607 256.55721393] ; [13.55721393 36.44278607],0
a6,1,0.002084,9.47441,[255 108] ; [26 27],[245.19951923 117.80048077] ; [35.80048077 17.19951923],0
a7,1,0.003932,8.315035,[266  97] ; [28 24],[257.16144578 105.83855422] ; [36.83855422 15.16144578],0
s3,1,0.004257,8.170642,[194 166] ; [17 35],[184.36893204 175.63106796] ; [26.63106796 25.36893204],0
p7,1,0.007546,7.138291,[214 143] ; [20 30],[205.25307125 151.74692875] ; [28.74692875 21.25307125],0
p3,1,0.010641,6.524379,[156 207] ; [13 40],[147.46875 215.53125] ; [21.53125 31.46875],0
d1,1,0.012246,6.274913,[198 167] ; [19 34],[189.48564593 175.51435407] ; [27.51435407 25.48564593],0
d4,1,0.012263,6.27242,[287  76] ; [33 19],[279.90361446  83.09638554] ; [40.09638554 11.90361446],0
p10,1,0.014855,5.933622,[272  88] ; [31 21],[264.75728155  95.24271845] ; [38.24271845 13.75728155],0
u1,1,0.02067,5.354406,[ 57 308] ; [ 2 51],[ 51.51913876 313.48086124] ; [ 7.48086124 45.51913876],0
s2,1,0.027563,4.855198,[168 195] ; [16 37],[160.55769231 202.44230769] ; [23.44230769 29.55769231],0
n4,1,0.028451,4.80053,[260 104] ; [30 23],[253.14148681 110.85851319] ; [36.85851319 16.14148681],0
a3,1,0.031018,4.651941,[247 117] ; [28 25],[240.04796163 123.95203837] ; [34.95203837 18.04796163],0
a2,1,0.034855,4.452241,[ 80 285] ; [ 5 48],[ 74.22248804 290.77751196] ; [10.77751196 42.22248804],0
d3,1,0.035968,4.39864,[248 114] ; [28 24],[241.33333333 120.66666667] ; [34.66666667 17.33333333],0
a8,1,0.045269,4.008574,[ 39 301] ; [ 1 47],[ 35.05154639 304.94845361] ; [ 4.94845361 43.05154639],0
s8,1,0.051333,3.797383,[132 232] ; [12 41],[125.69784173 238.30215827] ; [18.30215827 34.69784173],0
s4,1,0.056381,3.640776,[ 68 292] ; [16 37],[ 73.22033898 286.77966102] ; [10.77966102 42.22033898],0
n3,1,0.063348,3.447479,[76 24] ; [15 11],[72.22222222 27.77777778] ; [18.77777778  7.22222222],0
p2,1,0.067333,3.346866,[288  76] ; [36 17],[282.82014388  81.17985612] ; [41.17985612 11.82014388],0
n6,1,0.078586,3.093898,[299  66] ; [38 15],[294.27033493  70.72966507] ; [42.72966507 10.27033493],0
p5,1,0.108661,2.573585,[ 29 334] ; [ 1 52],[ 26.17788462 336.82211538] ; [ 3.82211538 49.17788462],0
p4,1,0.119115,2.428915,[187 173] ; [21 31],[181.74757282 178.25242718] ; [26.25242718 25.74757282],0
a4,1,0.135009,2.233947,[149 215] ; [16 37],[144.02877698 219.97122302] ; [20.97122302 32.02877698],0
d5,1,0.142702,2.148578,[280  83] ; [36 17],[275.74038462  87.25961538] ; [40.25961538 12.74038462],0
u3,1,0.172781,1.858647,[66 50] ; [10 14],[62.97142857 53.02857143] ; [13.02857143 10.97142857],0
p6,1,0.243017,1.363007,[110 251] ; [12 41],[106.38164251 254.61835749] ; [15.61835749 37.38164251],0
v2,1,0.264346,1.245854,[145 204] ; [17 34],[141.345 207.655] ; [20.655 30.345],0
p8,1,0.346811,0.885093,[167 192] ; [21 32],[163.81553398 195.18446602] ; [24.18446602 28.81553398],0
d2,1,0.361792,0.831662,[164 199] ; [20 32],[160.94457831 202.05542169] ; [23.05542169 28.94457831],0
s1,1,0.381546,0.765715,[ 16 344] ; [ 1 52],[ 14.81840194 345.18159806] ; [ 2.18159806 50.81840194],0
s7,1,0.386673,0.74938,[152 196] ; [19 32],[149.14285714 198.85714286] ; [21.85714286 29.14285714],0
n2,1,0.471915,0.517488,[74 28] ; [17  9],[72.515625 29.484375] ; [18.484375  7.515625],0
b3,1,0.476588,0.506661,[ 57 146] ; [10 19],[ 58.625 144.375] ; [ 8.375 20.625],0
b2,1,0.476588,0.506661,[ 57 146] ; [10 19],[ 58.625 144.375] ; [ 8.375 20.625],0
b1,1,0.506663,0.440953,[141 224] ; [23 30],[143.20574163 221.79425837] ; [20.79425837 32.20574163],0
n1,1,0.532901,0.388857,[33 66] ; [ 7 19],[31.68 67.32] ; [ 8.32 17.68],0
v3,1,0.585234,0.297849,[ 99 253] ; [13 40],[ 97.34320988 254.65679012] ; [14.65679012 38.34320988],0
a1,1,0.603268,0.270096,[ 15 350] ; [ 3 50],[ 15.71770335 349.28229665] ; [ 2.28229665 50.71770335],0
p1,1,0.73561,0.114022,[ 25 337] ; [ 3 50],[ 24.42409639 337.57590361] ; [ 3.57590361 49.42409639],0
n5,1,0.745986,0.104935,[238 124] ; [33 19],[236.96135266 125.03864734] ; [34.03864734 17.96135266],0
b5,1,0.842767,0.039345,[205 160] ; [29 24],[204.33014354 160.66985646] ; [29.66985646 23.33014354],0
u2,1,0.939823,0.005699,[64 52] ; [14 11],[64.17021277 51.82978723] ; [13.82978723 11.17021277],0
b4,1,0.988109,0.000222,[207 158] ; [30 23],[206.94976077 158.05023923] ; [30.05023923 22.94976077],0
