Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,52.864279,[77  3] ; [16 27],[60.48780488 19.51219512] ; [32.51219512 10.48780488],1
r3,1,0.0,52.511735,[76  4] ; [15 28],[59.18699187 20.81300813] ; [31.81300813 11.18699187],1
r1,1,0.0,32.185356,[61 19] ; [10 33],[46.17886179 33.82113821] ; [24.82113821 18.17886179],1
r2,1,0.0,27.194609,[75  4] ; [23 18],[64.51666667 14.48333333] ; [33.48333333  7.51666667],1
p11,1,1e-06,23.813636,[53 27] ; [ 9 35],[40. 40.] ; [22. 22.],1
n6,1,3.3e-05,17.222388,[61 19] ; [16 26],[50.49180328 29.50819672] ; [26.50819672 15.49180328],1
s6,1,0.000175,14.080983,[37 41] ; [ 6 38],[27.49180328 50.50819672] ; [15.50819672 28.49180328],1
p9,1,0.000293,13.11572,[48 31] ; [11 31],[38.52066116 40.47933884] ; [20.47933884 21.52066116],1
a1,1,0.000965,10.893454,[ 3 77] ; [10 34],[ 8.38709677 71.61290323] ; [ 4.61290323 39.38709677],1
n3,1,0.001899,9.644484,[19  5] ; [ 7 14],[13.86666667 10.13333333] ; [12.13333333  8.86666667],0
p10,1,0.003999,8.284327,[43 35] ; [12 31],[35.45454545 42.54545455] ; [19.54545455 23.45454545],0
n2,1,0.00716,7.232288,[21  5] ; [ 9 12],[16.59574468  9.40425532] ; [13.40425532  7.59574468],0
d2,1,0.012222,6.278335,[24 55] ; [23 20],[30.43442623 48.56557377] ; [16.56557377 26.43442623],0
s1,1,0.017439,5.6516,[ 3 75] ; [ 7 36],[ 6.44628099 71.55371901] ; [ 3.55371901 39.44628099],0
b5,1,0.018783,5.521629,[52 28] ; [19 25],[45.80645161 34.19354839] ; [25.19354839 18.80645161],0
s5,1,0.021892,5.254361,[17 56] ; [ 3 41],[12.47863248 60.52136752] ; [ 7.52136752 36.47863248],0
p3,1,0.025377,4.998005,[26 54] ; [ 6 37],[20.81300813 59.18699187] ; [11.18699187 31.81300813],0
s8,1,0.025514,4.988638,[12 67] ; [ 1 43],[ 8.3495935 70.6504065] ; [ 4.6504065 39.3495935],0
p1,1,0.040928,4.17898,[ 4 76] ; [ 7 37],[ 7.09677419 72.90322581] ; [ 3.90322581 40.09677419],0
s2,1,0.048269,3.900582,[23 55] ; [ 6 38],[18.54098361 59.45901639] ; [10.45901639 33.54098361],0
p6,1,0.063144,3.452831,[13 66] ; [ 2 40],[ 9.79338843 69.20661157] ; [ 5.20661157 36.79338843],0
v1,1,0.090313,2.868785,[28 52] ; [ 9 35],[23.87096774 56.12903226] ; [13.12903226 30.87096774],0
p7,1,0.097633,2.743795,[26 52] ; [ 8 34],[22.1 55.9] ; [11.9 30.1],0
u3,1,0.110576,2.545964,[21 18] ; [ 6 13],[18.15517241 20.84482759] ; [ 8.84482759 10.15517241],0
v2,1,0.132306,2.265234,[35 41] ; [13 28],[31.17948718 44.82051282] ; [16.82051282 24.17948718],0
b2,1,0.145952,2.11406,[13 31] ; [13 15],[15.88888889 28.11111111] ; [10.11111111 17.88888889],0
b3,1,0.145952,2.11406,[13 31] ; [13 15],[15.88888889 28.11111111] ; [10.11111111 17.88888889],0
s3,1,0.149812,2.074161,[26 52] ; [ 9 34],[22.56198347 55.43801653] ; [12.43801653 30.56198347],0
a7,1,0.18497,1.75723,[49 31] ; [21 22],[45.52845528 34.47154472] ; [24.47154472 18.52845528],0
u2,1,0.186428,1.745625,[19 19] ; [ 6 13],[16.66666667 21.33333333] ; [ 8.33333333 10.66666667],0
p4,1,0.244778,1.352862,[24 54] ; [ 9 34],[21.27272727 56.72727273] ; [11.72727273 31.27272727],0
p8,1,0.273319,1.200011,[22 58] ; [ 8 35],[19.51219512 60.48780488] ; [10.48780488 32.51219512],0
b1,1,0.282566,1.154709,[32 48] ; [22 22],[34.83870968 45.16129032] ; [19.16129032 24.83870968],0
a6,1,0.296127,1.091557,[46 34] ; [21 23],[43.22580645 36.77419355] ; [23.77419355 20.22580645],0
n1,1,0.314267,1.012658,[12 13] ; [ 7 14],[10.32608696 14.67391304] ; [ 8.67391304 12.32608696],0
p12,1,0.323382,0.975218,[ 5 75] ; [ 1 43],[ 3.87096774 76.12903226] ; [ 2.12903226 41.87096774],0
d4,1,0.328026,0.956675,[56 24] ; [27 17],[53.5483871 26.4516129] ; [29.4516129 14.5483871],0
d3,1,0.331677,0.942339,[40 40] ; [18 26],[37.41935484 42.58064516] ; [20.58064516 23.41935484],0
p5,1,0.335311,0.928276,[ 5 75] ; [ 1 42],[ 3.90243902 76.09756098] ; [ 2.09756098 40.90243902],0
s4,1,0.335444,0.927766,[14 64] ; [ 5 39],[12.14754098 65.85245902] ; [ 6.85245902 37.14754098],0
n5,1,0.386827,0.748894,[47 32] ; [29 14],[49.21311475 29.78688525] ; [26.78688525 16.21311475],0
a3,1,0.508709,0.436721,[41 38] ; [25 18],[42.73770492 36.26229508] ; [23.26229508 19.73770492],0
a8,1,0.598831,0.276763,[ 8 70] ; [ 3 38],[ 7.21008403 70.78991597] ; [ 3.78991597 37.21008403],0
d1,1,0.60734,0.264067,[31 49] ; [15 29],[29.67741935 50.32258065] ; [16.32258065 27.67741935],0
a4,1,0.63313,0.22784,[26 53] ; [16 27],[27.19672131 51.80327869] ; [14.80327869 28.19672131],0
a5,1,0.670244,0.181317,[45 35] ; [23 21],[43.87096774 36.12903226] ; [24.12903226 19.87096774],0
b4,1,0.770619,0.08501,[44 36] ; [23 21],[43.22580645 36.77419355] ; [23.77419355 20.22580645],0
v3,1,0.800836,0.063638,[19 56] ; [10 33],[18.43220339 56.56779661] ; [10.56779661 32.43220339],0
u1,1,0.888647,0.019605,[ 6 74] ; [ 3 41],[ 5.80645161 74.19354839] ; [ 3.19354839 40.80645161],0
d5,1,0.941463,0.005392,[46 34] ; [25 19],[45.80645161 34.19354839] ; [25.19354839 18.80645161],0
n4,1,0.959928,0.002524,[48 32] ; [26 17],[48.1300813 31.8699187] ; [25.8699187 17.1300813],0
a2,1,0.984737,0.000366,[ 9 71] ; [ 5 39],[ 9.03225806 70.96774194] ; [ 4.96774194 39.03225806],0
