Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,35.65746,[233  96] ; [30 54],[209.50847458 119.49152542] ; [53.49152542 30.50847458],1
n4,1,0.0,26.001865,[247  84] ; [39 46],[227.5625 103.4375] ; [58.4375 26.5625],1
p11,1,7.8e-05,15.596843,[261  71] ; [49 36],[246.81055156  85.18944844] ; [63.18944844 21.81055156],1
p9,1,0.000155,14.308911,[265  61] ; [52 32],[252.05365854  73.94634146] ; [64.94634146 19.05365854],1
p10,1,0.000269,13.277435,[254  72] ; [49 35],[240.92195122  85.07804878] ; [62.07804878 21.92195122],1
s5,1,0.001204,10.484713,[ 99 223] ; [10 69],[ 87.52618454 234.47381546] ; [21.47381546 57.52618454],0
s7,1,0.005569,7.684667,[146 175] ; [22 56],[135.15789474 185.84210526] ; [32.84210526 45.15789474],0
v4,1,0.007801,7.078492,[312  19] ; [72 12],[306.2746988  24.7253012] ; [77.7253012  6.2746988],0
r4,1,0.010167,6.605332,[302  30] ; [69 16],[295.3764988  36.6235012] ; [75.6235012  9.3764988],0
p2,1,0.011223,6.429664,[263  67] ; [56 28],[254.27536232  75.72463768] ; [64.72463768 19.27536232],0
s6,1,0.020739,5.348572,[206 120] ; [42 43],[196.71046229 129.28953771] ; [51.28953771 33.71046229],0
s8,1,0.021762,5.264725,[122 210] ; [20 65],[113.05515588 218.94484412] ; [28.94484412 56.05515588],0
b3,1,0.026711,4.909383,[ 60 118] ; [ 8 39],[ 53.79555556 124.20444444] ; [14.20444444 32.79555556],0
b2,1,0.026711,4.909383,[ 60 118] ; [ 8 39],[ 53.79555556 124.20444444] ; [14.20444444 32.79555556],0
u2,1,0.048277,3.900334,[51 56] ; [24 12],[56.11888112 50.88111888] ; [18.88111888 17.11888112],0
b1,1,0.052766,3.751317,[122 210] ; [41 44],[129.77458034 202.22541966] ; [33.22541966 51.77458034],0
s1,1,0.083113,3.002943,[ 10 318] ; [ 6 78],[ 12.73786408 315.26213592] ; [ 3.26213592 80.73786408],0
a3,1,0.092758,2.825838,[223 108] ; [49 36],[216.42307692 114.57692308] ; [55.57692308 29.42307692],0
