Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,29.298051,[12 63] ; [92 82],[31.3253012 43.6746988] ; [ 72.6746988 101.3253012],1
a3,1,0.0,27.056151,[32 41] ; [136  39],[49.4516129 23.5483871] ; [118.5483871  56.4516129],1
d1,1,0.0,26.244153,[22 53] ; [113  62],[40.5 34.5] ; [94.5 80.5],1
a4,1,0.0,26.025303,[14 60] ; [94 80],[32.22580645 41.77419355] ; [75.77419355 98.22580645],1
d5,1,0.000734,11.400694,[48 27] ; [146  29],[58.2 16.8] ; [135.8  39.2],1
a6,1,0.001603,9.956726,[40 35] ; [129  46],[50.7 24.3] ; [118.3  56.7],0
d3,1,0.001603,9.956726,[40 35] ; [129  46],[50.7 24.3] ; [118.3  56.7],0
r1,1,0.001826,9.716788,[49 26] ; [144  29],[58.36693548 16.63306452] ; [134.63306452  38.36693548],0
p8,1,0.007251,7.209676,[26 46] ; [94 77],[35.55555556 36.44444444] ; [84.44444444 86.55555556],0
a7,1,0.01104,6.458864,[47 28] ; [136  38],[55.12048193 19.87951807] ; [127.87951807  46.12048193],0
n1,1,0.047928,3.91252,[10  9] ; [ 9 26],[ 6.68518519 12.31481481] ; [12.31481481 22.68518519],0
d4,1,0.050915,3.811072,[54 21] ; [145  30],[59.7 15.3] ; [139.3  35.7],0
r4,1,0.098735,2.725857,[60 15] ; [154  21],[64.2 10.8] ; [149.8  25.2],0
n6,1,0.104886,2.629639,[55 19] ; [144  29],[59.6194332 14.3805668] ; [139.3805668  33.6194332],0
p11,1,0.106982,2.598249,[53 22] ; [140  35],[57.9 17.1] ; [135.1  39.9],0
n4,1,0.110413,2.548297,[51 24] ; [135  39],[56.02409639 18.97590361] ; [129.97590361  44.02409639],0
p2,1,0.134975,2.23433,[58 16] ; [148  24],[61.96747967 12.03252033] ; [144.03252033  27.96747967],0
b1,1,0.138441,2.195204,[23 52] ; [ 71 104],[28.2 46.8] ; [ 65.8 109.2],0
p4,1,0.141196,2.164879,[37 37] ; [104  69],[42.24291498 31.75708502] ; [98.75708502 74.24291498],0
b5,1,0.200716,1.637157,[42 33] ; [113  62],[46.5 28.5] ; [108.5  66.5],0
p3,1,0.226793,1.460861,[31 43] ; [86 85],[35.33877551 38.66122449] ; [81.66122449 89.33877551],0
s4,1,0.256495,1.287577,[ 7 68] ; [ 25 146],[ 9.75609756 65.24390244] ; [ 22.24390244 148.75609756],0
v2,1,0.272934,1.20194,[43 30] ; [112  57],[46.75619835 26.24380165] ; [108.24380165  60.75619835],0
p1,1,0.308941,1.035197,[ 4 71] ; [ 16 159],[ 6. 69.] ; [ 14. 161.],0
s3,1,0.373601,0.791653,[32 42] ; [ 64 108],[28.87804878 45.12195122] ; [ 67.12195122 104.87804878],0
a1,1,0.381683,0.765274,[ 2 73] ; [  9 166],[ 3.3 71.7] ; [  7.7 167.3],0
r2,1,0.414018,0.667233,[68  7] ; [161  11],[69.53441296  5.46558704] ; [159.46558704  12.53441296],0
u2,1,0.447751,0.576338,[24 18] ; [19 20],[22.2962963 19.7037037] ; [20.7037037 18.2962963],0
p5,1,0.492053,0.472033,[ 8 66] ; [ 14 159],[ 6.59109312 67.40890688] ; [ 15.40890688 157.59109312],0
s7,1,0.503818,0.446886,[16 55] ; [ 44 121],[18.05084746 52.94915254] ; [ 41.94915254 123.05084746],0
n3,1,0.547114,0.362513,[15  4] ; [25 10],[14.07407407  4.92592593] ; [25.92592593  9.07407407],0
r3,1,0.607733,0.263489,[67  7] ; [160  13],[68.00809717  5.99190283] ; [158.99190283  14.00809717],0
p6,1,0.617292,0.249692,[23 47] ; [ 50 119],[21.38075314 48.61924686] ; [ 51.61924686 117.38075314],0
s1,1,0.630651,0.231178,[ 2 70] ; [  7 166],[ 2.64489796 69.35510204] ; [  6.35510204 166.64489796],0
n2,1,0.645885,0.211128,[13  6] ; [26  9],[13.72222222  5.27777778] ; [25.27777778  9.72222222],0
v4,1,0.646899,0.209832,[69  6] ; [161  11],[69.83805668  5.16194332] ; [160.16194332  11.83805668],0
n5,1,0.648008,0.208421,[54 20] ; [131  42],[55.42510121 18.57489879] ; [129.57489879  43.42510121],0
s6,1,0.656184,0.198192,[42 30] ; [95 77],[40.42622951 31.57377049] ; [96.57377049 75.42622951],0
a8,1,0.659462,0.194178,[ 6 65] ; [ 16 139],[ 6.91150442 64.08849558] ; [ 15.08849558 139.91150442],0
u3,1,0.709736,0.138541,[26 17] ; [22 17],[25.17073171 17.82926829] ; [22.82926829 16.17073171],0
p9,1,0.72385,0.124834,[58 15] ; [140  32],[58.99591837 14.00408163] ; [139.00408163  32.99591837],0
p10,1,0.759053,0.09408,[56 17] ; [135  37],[56.91020408 16.08979592] ; [134.08979592  37.91020408],0
p7,1,0.764022,0.090122,[43 28] ; [100  71],[41.95454545 29.04545455] ; [101.04545455  69.95454545],0
p12,1,0.766022,0.088555,[ 4 70] ; [ 11 161],[ 4.51219512 69.48780488] ; [ 10.48780488 161.51219512],0
b2,1,0.817968,0.052973,[14 25] ; [38 62],[14.58992806 24.41007194] ; [37.41007194 62.58992806],0
b3,1,0.817968,0.052973,[14 25] ; [38 62],[14.58992806 24.41007194] ; [37.41007194 62.58992806],0
s5,1,0.848018,0.036729,[18 57] ; [ 43 128],[18.59756098 56.40243902] ; [ 42.40243902 128.59756098],0
s2,1,0.906234,0.013875,[25 50] ; [ 59 114],[25.40322581 49.59677419] ; [ 58.59677419 114.40322581],0
b4,1,0.955458,0.00312,[43 32] ; [101  74],[43.2 31.8] ; [100.8  74.2],0
v3,1,0.96943,0.001469,[31 44] ; [69 99],[30.86419753 44.13580247] ; [69.13580247 98.86419753],0
