Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,87.475247,[121   9] ; [44 75],[86.14457831 43.85542169] ; [78.85542169 40.14457831],1
d2,1,0.0,79.525894,[92 38] ; [ 18 103],[56.97211155 73.02788845] ; [53.02788845 67.97211155],1
d4,1,0.0,70.40626,[126   3] ; [63 58],[97.524 31.476] ; [91.476 29.524],1
d5,1,0.0,68.099233,[127   3] ; [64 56],[99.32 30.68] ; [91.68 28.32],1
a2,1,0.0,45.475194,[48 83] ; [  3 118],[ 26.51190476 104.48809524] ; [24.48809524 96.51190476],1
a4,1,0.0,32.911411,[72 59] ; [24 97],[49.9047619 81.0952381] ; [46.0952381 74.9047619],1
u1,1,0.0,30.786565,[32 99] ; [  1 120],[ 17.1547619 113.8452381] ; [ 15.8452381 105.1547619],1
a3,1,0.0,30.321137,[107  24] ; [59 62],[86.29365079 44.70634921] ; [79.70634921 41.29365079],1
a5,1,0.0,27.12641,[110  21] ; [65 56],[90.97222222 40.02777778] ; [84.02777778 36.97222222],1
r1,1,0.000107,15.00133,[112  19] ; [78 43],[98.76984127 32.23015873] ; [91.23015873 29.76984127],1
r2,1,0.000175,14.082765,[126   3] ; [101  19],[117.60240964  11.39759036] ; [109.39759036  10.60240964],1
r4,1,0.000467,12.243678,[124   7] ; [97 24],[114.88492063  16.11507937] ; [106.11507937  14.88492063],1
a6,1,0.003174,8.704546,[98 32] ; [70 51],[87.01195219 42.98804781] ; [80.98804781 40.01195219],0
n4,1,0.008499,6.925191,[103  28] ; [77 44],[93.57142857 37.42857143] ; [86.42857143 34.57142857],0
p9,1,0.01521,5.892004,[112  19] ; [87 32],[104.276  26.724] ; [94.724 24.276],0
s8,1,0.017149,5.681103,[58 72] ; [36 84],[48.88 81.12] ; [45.12 74.88],0
p10,1,0.032197,4.588003,[108  23] ; [86 35],[100.84920635  30.15079365] ; [93.15079365 27.84920635],0
b2,1,0.04151,4.155074,[28 50] ; [14 54],[22.43835616 55.56164384] ; [19.56164384 48.43835616],0
b3,1,0.04151,4.155074,[28 50] ; [14 54],[22.43835616 55.56164384] ; [19.56164384 48.43835616],0
r3,1,0.044416,4.040661,[125   4] ; [109  11],[121.22891566   7.77108434] ; [112.77108434   7.22891566],0
b1,1,0.051156,3.803171,[49 82] ; [60 61],[56.66269841 74.33730159] ; [52.33730159 68.66269841],0
u2,1,0.066226,3.374166,[17  6] ; [31 29],[13.30120482  9.69879518] ; [34.69879518 25.30120482],0
n1,1,0.094703,2.792553,[ 4 23] ; [12 24],[ 6.85714286 20.14285714] ; [ 9.14285714 26.85714286],0
b4,1,0.105245,2.624205,[74 57] ; [56 65],[67.57936508 63.42063492] ; [62.42063492 58.57936508],0
b5,1,0.141081,2.16613,[76 55] ; [59 62],[70.17857143 60.82142857] ; [64.82142857 56.17857143],0
n3,1,0.143355,2.14157,[24  4] ; [26 11],[21.53846154  6.46153846] ; [28.46153846  8.53846154],0
p4,1,0.174114,1.847158,[85 45] ; [69 52],[79.76095618 50.23904382] ; [74.23904382 46.76095618],0
s7,1,0.18998,1.71777,[65 58] ; [51 64],[59.94957983 63.05042017] ; [56.05042017 58.94957983],0
p5,1,0.20736,1.589765,[ 11 120] ; [ 16 104],[ 14.09163347 116.90836653] ; [ 12.90836653 107.09163347],0
v3,1,0.213513,1.547448,[40 88] ; [29 91],[35.61290323 92.38709677] ; [33.38709677 86.61290323],0
v2,1,0.23345,1.419717,[60 67] ; [46 70],[55.39917695 71.60082305] ; [50.60082305 65.39917695],0
s6,1,0.254562,1.298092,[87 41] ; [72 46],[82.73170732 45.26829268] ; [76.26829268 41.73170732],0
