Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-05,19.521412,[52 10] ; [10 17],[43.19101124 18.80898876] ; [18.80898876  8.19101124],1
p10,1,0.00507,7.854281,[51 10] ; [15 12],[45.75 15.25] ; [20.25  6.75],0
s4,1,0.008163,6.997354,[ 8 55] ; [10 17],[12.6 50.4] ; [ 5.4 21.6],0
p11,1,0.012534,6.233766,[51 12] ; [15 12],[46.2 16.8] ; [19.8  7.2],0
p9,1,0.030754,4.666667,[56  7] ; [19  8],[52.5 10.5] ; [22.5  4.5],0
d5,1,0.044195,4.049098,[52 11] ; [17 10],[48.3 14.7] ; [20.7  6.3],0
v2,1,0.055286,3.67345,[32 30] ; [ 8 19],[27.86516854 34.13483146] ; [12.13483146 14.86516854],0
n3,1,0.05773,3.601441,[12  2] ; [5 5],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
u3,1,0.071735,3.242873,[ 7 14] ; [9 5],[ 9.6 11.4] ; [6.4 7.6],0
n6,1,0.08127,3.039327,[55  7] ; [20  7],[52.24719101  9.75280899] ; [22.75280899  4.24719101],0
v3,1,0.10065,2.695214,[23 39] ; [ 5 21],[19.72727273 42.27272727] ; [ 8.27272727 17.72727273],0
s5,1,0.11314,2.509798,[14 42] ; [11 15],[17.07317073 38.92682927] ; [ 7.92682927 18.07317073],0
a3,1,0.132969,2.257496,[41 22] ; [13 14],[37.8 25.2] ; [16.2 10.8],0
a2,1,0.143235,2.142857,[ 9 54] ; [ 1 26],[ 7. 56.] ; [ 3. 24.],0
a4,1,0.143235,2.142857,[24 39] ; [ 6 21],[21. 42.] ; [ 9. 18.],0
p5,1,0.154691,2.025374,[12 50] ; [ 2 25],[ 9.75280899 52.24719101] ; [ 4.24719101 22.75280899],0
s2,1,0.250099,1.322751,[29 34] ; [16 11],[31.5 31.5] ; [13.5 13.5],0
p2,1,0.264186,1.24669,[53 10] ; [20  7],[51.1 11.9] ; [21.9  5.1],0
a8,1,0.308825,1.035695,[ 6 53] ; [ 1 26],[ 4.80232558 54.19767442] ; [ 2.19767442 24.80232558],0
r4,1,0.410558,0.677185,[43 20] ; [16 11],[41.3 21.7] ; [17.7  9.3],0
p6,1,0.438794,0.599434,[28 33] ; [10 17],[26.34090909 34.65909091] ; [11.65909091 15.34090909],0
d3,1,0.456187,0.555234,[38 25] ; [14 13],[36.4 26.6] ; [15.6 11.4],0
v1,1,0.470006,0.521962,[35 27] ; [13 14],[33.43820225 28.56179775] ; [14.56179775 12.43820225],0
v4,1,0.471673,0.518053,[55  8] ; [22  5],[53.9  9.1] ; [23.1  3.9],0
p7,1,0.57274,0.31812,[45 17] ; [18  9],[43.88764045 18.11235955] ; [19.11235955  7.88764045],0
s6,1,0.591168,0.288525,[37 24] ; [18  9],[38.125 22.875] ; [16.875 10.125],0
a7,1,0.599541,0.275689,[41 22] ; [16 11],[39.9 23.1] ; [17.1  9.9],0
s1,1,0.6156,0.252101,[ 4 59] ; [ 1 26],[ 3.5 59.5] ; [ 1.5 25.5],0
p12,1,0.6156,0.252101,[ 4 59] ; [ 1 26],[ 3.5 59.5] ; [ 1.5 25.5],0
n2,1,0.632585,0.228571,[10  4] ; [8 2],[10.5  3.5] ; [7.5 2.5],0
a6,1,0.673944,0.177023,[38 25] ; [15 12],[37.1 25.9] ; [15.9 11.1],0
u2,1,0.677726,0.172697,[ 9 12] ; [7 7],[ 9.6 11.4] ; [6.4 7.6],0
s3,1,0.688396,0.160827,[35 27] ; [14 13],[34.13483146 27.86516854] ; [14.86516854 12.13483146],0
s7,1,0.69003,0.159053,[30 29] ; [12 14],[29.15294118 29.84705882] ; [12.84705882 13.15294118],0
b2,1,0.701527,0.146888,[15 29] ; [ 4 10],[14.4137931 29.5862069] ; [4.5862069 9.4137931],0
b3,1,0.701527,0.146888,[15 29] ; [ 4 10],[14.4137931 29.5862069] ; [4.5862069 9.4137931],0
b1,1,0.74646,0.10453,[28 35] ; [13 14],[28.7 34.3] ; [12.3 14.7],0
d1,1,0.782055,0.076531,[30 33] ; [12 15],[29.4 33.6] ; [12.6 14.4],0
p4,1,0.797351,0.065934,[46 17] ; [19  8],[45.5 17.5] ; [19.5  7.5],0
r2,1,0.806854,0.059774,[51 10] ; [22  5],[50.60227273 10.39772727] ; [22.39772727  4.60227273],0
u1,1,0.823353,0.049834,[ 3 60] ; [ 1 26],[ 2.8 60.2] ; [ 1.2 25.8],0
d4,1,0.830473,0.045837,[48 15] ; [20  7],[47.6 15.4] ; [20.4  6.6],0
s8,1,0.852221,0.034702,[27 36] ; [11 16],[26.6 36.4] ; [11.4 15.6],0
d2,1,0.888367,0.019704,[22 40] ; [10 17],[22.29213483 39.70786517] ; [ 9.70786517 17.29213483],0
n1,1,0.888683,0.019592,[6 8] ; [4 6],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
b4,1,0.889247,0.019392,[36 27] ; [15 12],[35.7 27.3] ; [15.3 11.7],0
p1,1,0.898994,0.016112,[10 53] ; [ 4 23],[ 9.8 53.2] ; [ 4.2 22.8],0
b5,1,0.924404,0.009004,[39 24] ; [17 10],[39.2 23.8] ; [16.8 10.2],0
a1,1,0.931557,0.007376,[ 5 58] ; [ 2 25],[ 4.9 58.1] ; [ 2.1 24.9],0
a5,1,0.961929,0.002278,[40 23] ; [17 10],[39.9 23.1] ; [17.1  9.9],0
p8,1,0.96327,0.002121,[33 30] ; [14 13],[32.9 30.1] ; [14.1 12.9],0
r3,1,1.0,0.0,[56  7] ; [24  3],[56.  7.] ; [24.  3.],0
