Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,53.496197,[ 3 21] ; [96 16],[17.47058824  6.52941176] ; [81.52941176 30.47058824],1
s2,1,0.00018,14.028883,[ 2 22] ; [56 56],[10.23529412 13.76470588] ; [47.76470588 64.23529412],1
s6,1,0.000184,13.983895,[ 5 19] ; [69 41],[13.25373134 10.74626866] ; [60.74626866 49.25373134],1
p11,1,0.000234,13.533039,[ 4 20] ; [65 47],[12.17647059 11.82352941] ; [56.82352941 55.17647059],1
n6,1,0.000315,12.976208,[ 9 14] ; [86 26],[16.18518519  6.81481481] ; [78.81481481 33.18518519],1
p9,1,0.000318,12.961949,[ 6 17] ; [72 36],[13.69465649  9.30534351] ; [64.30534351 43.69465649],1
v4,1,0.000364,12.70943,[14 10] ; [99 13],[19.94117647  4.05882353] ; [93.05882353 18.94117647],1
s8,1,0.000623,11.706991,[ 2 22] ; [51 60],[ 9.42222222 14.57777778] ; [43.57777778 67.42222222],1
p10,1,0.000743,11.379057,[ 6 18] ; [69 41],[13.43283582 10.56716418] ; [61.56716418 48.43283582],1
r2,1,0.002659,9.027537,[16  6] ; [103   7],[19.83333333  2.16666667] ; [99.16666667 10.83333333],0
r1,1,0.002718,8.987954,[10 14] ; [82 30],[16.23529412  7.76470588] ; [75.76470588 36.23529412],0
s7,1,0.002956,8.83452,[ 3 18] ; [52 53],[ 9.16666667 11.83333333] ; [45.83333333 59.16666667],0
v2,1,0.003415,8.57146,[ 6 18] ; [61 44],[12.46511628 11.53488372] ; [54.53488372 50.46511628],0
p4,1,0.023436,5.13587,[ 3 20] ; [42 70],[ 7.66666667 15.33333333] ; [37.33333333 74.66666667],0
s5,1,0.024884,5.031931,[ 2 22] ; [32 72],[ 6.375 17.625] ; [27.625 76.375],0
s3,1,0.036071,4.393744,[ 6 17] ; [56 56],[10.56296296 12.43703704] ; [51.43703704 60.56296296],0
n3,1,0.038214,4.295455,[4 8] ; [28 14],[7.11111111 4.88888889] ; [24.88888889 17.11111111],0
a1,1,0.038449,4.285059,[ 5 19] ; [  8 104],[ 2.29411765 21.70588235] ; [ 10.70588235 101.29411765],0
p6,1,0.044305,4.044885,[ 1 23] ; [24 86],[ 4.47761194 19.52238806] ; [20.52238806 89.47761194],0
u1,1,0.056269,3.644062,[ 1 23] ; [23 89],[ 4.23529412 19.76470588] ; [19.76470588 92.23529412],0
b1,1,0.071944,3.238095,[16  8] ; [52 60],[12. 12.] ; [56. 56.],0
v1,1,0.080371,3.057374,[ 5 19] ; [43 65],[ 8.72727273 15.27272727] ; [39.27272727 68.72727273],0
p3,1,0.091854,2.841574,[ 4 20] ; [38 73],[ 7.46666667 16.53333333] ; [34.53333333 76.46666667],0
n2,1,0.092617,2.828283,[5 7] ; [30 14],[7.5 4.5] ; [27.5 16.5],0
p7,1,0.132509,2.262857,[ 4 18] ; [38 72],[ 7. 15.] ; [35. 75.],0
p5,1,0.139952,2.178485,[ 3 21] ; [  5 104],[ 1.44360902 22.55639098] ; [  6.55639098 102.44360902],0
b5,1,0.191244,1.708006,[12 12] ; [72 40],[14.82352941  9.17647059] ; [69.17647059 42.82352941],0
s1,1,0.206431,1.596284,[ 3 21] ; [  6 105],[ 1.6 22.4] ; [  7.4 103.6],0
v3,1,0.350712,0.870878,[ 6 18] ; [36 67],[ 7.93700787 16.06299213] ; [34.06299213 68.93700787],0
u3,1,0.437813,0.602007,[3 3] ; [20 10],[3.83333333 2.16666667] ; [19.16666667 10.83333333],0
b4,1,0.481996,0.494343,[16  8] ; [66 46],[14.47058824  9.52941176] ; [67.52941176 44.47058824],0
n5,1,0.481996,0.494343,[16  8] ; [66 46],[14.47058824  9.52941176] ; [67.52941176 44.47058824],0
a8,1,0.536884,0.381346,[ 1 21] ; [ 9 98],[ 1.70542636 20.29457364] ; [ 8.29457364 98.70542636],0
d2,1,0.613404,0.255248,[13 10] ; [69 42],[14.07462687  8.92537313] ; [67.92537313 43.07462687],0
a4,1,0.627353,0.235667,[14  9] ; [62 50],[12.94814815 10.05185185] ; [63.05185185 48.94814815],0
s4,1,0.638744,0.220389,[ 4 20] ; [23 87],[ 4.8358209 19.1641791] ; [22.1641791 87.8358209],0
n4,1,0.642203,0.215873,[16  8] ; [69 43],[15.  9.] ; [70. 42.],0
d1,1,0.642203,0.215873,[16  8] ; [80 32],[16.94117647  7.05882353] ; [79.05882353 32.94117647],0
a2,1,0.665659,0.186722,[ 5 19] ; [28 84],[ 5.82352941 18.17647059] ; [27.17647059 84.82352941],0
u2,1,0.697713,0.150862,[3 3] ; [17 12],[3.42857143 2.57142857] ; [16.57142857 12.42857143],0
a6,1,0.703069,0.145299,[14 10] ; [70 42],[14.82352941  9.17647059] ; [69.17647059 42.82352941],0
p1,1,0.709461,0.138816,[ 2 22] ; [  7 105],[ 1.58823529 22.41176471] ; [  7.41176471 104.58823529],0
a7,1,0.738475,0.111472,[15  9] ; [74 38],[15.70588235  8.29411765] ; [73.29411765 38.70588235],0
d3,1,0.738475,0.111472,[15  9] ; [74 38],[15.70588235  8.29411765] ; [73.29411765 38.70588235],0
a5,1,0.811992,0.056576,[17  7] ; [82 30],[17.47058824  6.52941176] ; [81.52941176 30.47058824],0
a3,1,0.857194,0.032381,[18  6] ; [82 30],[17.64705882  6.35294118] ; [82.35294118 29.64705882],0
p8,1,0.894445,0.017604,[ 5 19] ; [22 90],[ 4.76470588 19.23529412] ; [22.23529412 89.76470588],0
d4,1,0.901948,0.015179,[21  3] ; [99 13],[21.17647059  2.82352941] ; [98.82352941 13.17647059],0
b2,1,0.926527,0.008504,[ 6 11] ; [27 47],[ 6.16483516 10.83516484] ; [26.83516484 47.16483516],0
b3,1,0.926527,0.008504,[ 6 11] ; [27 47],[ 6.16483516 10.83516484] ; [26.83516484 47.16483516],0
n1,1,0.990398,0.000145,[5 7] ; [18 25],[5.01818182 6.98181818] ; [17.98181818 25.01818182],0
