Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,38.541859,[53  7] ; [65 92],[32.62672811 27.37327189] ; [85.37327189 71.62672811],1
s8,1,0.0,34.510957,[36 25] ; [ 29 128],[18.18807339 42.81192661] ; [ 46.81192661 110.18807339],1
s7,1,0.0,26.170428,[37 18] ; [ 40 104],[21.28140704 33.71859296] ; [55.71859296 88.28140704],1
s2,1,2e-06,22.868489,[42 19] ; [ 52 105],[26.30275229 34.69724771] ; [67.69724771 89.30275229],1
p10,1,4e-06,21.27682,[45 15] ; [61 92],[29.85915493 30.14084507] ; [76.14084507 76.85915493],1
p9,1,6.1e-05,16.058824,[47 13] ; [72 78],[34. 26.] ; [85. 65.],1
s4,1,0.000271,13.262119,[22 39] ; [ 22 135],[12.31192661 48.68807339] ; [ 31.68807339 125.31192661],1
s3,1,0.000421,12.438559,[40 21] ; [60 94],[28.37209302 32.62790698] ; [71.62790698 82.37209302],1
r4,1,0.000779,11.29066,[53  8] ; [100  57],[42.81192661 18.18807339] ; [110.18807339  46.81192661],1
d5,1,0.000942,10.937457,[55  6] ; [106  49],[45.46759259 15.53240741] ; [115.53240741  39.46759259],1
p6,1,0.001812,9.731243,[24 37] ; [ 29 124],[15.10747664 45.89252336] ; [ 37.89252336 115.10747664],0
r2,1,0.00226,9.325659,[60  1] ; [127  26],[53.30373832  7.69626168] ; [133.69626168  19.30373832],0
d2,1,0.002704,8.997252,[39 22] ; [64 91],[29.08796296 31.91203704] ; [73.91203704 81.08796296],0
p4,1,0.002708,8.994176,[34 27] ; [ 52 103],[24.28703704 36.71296296] ; [61.71296296 93.28703704],0
r3,1,0.00473,7.979962,[55  5] ; [115  40],[47.44186047 12.55813953] ; [122.55813953  32.44186047],0
n6,1,0.006887,7.302132,[47 12] ; [93 62],[38.59813084 20.40186916] ; [101.40186916  53.59813084],0
d4,1,0.007032,7.264891,[53  8] ; [107  48],[45.18518519 15.81481481] ; [114.81481481  40.18518519],0
a5,1,0.010601,6.53094,[46 15] ; [89 68],[37.77522936 23.22477064] ; [97.22477064 59.77522936],0
a3,1,0.013175,6.145413,[47 13] ; [93 61],[39.25233645 20.74766355] ; [100.74766355  53.25233645],0
d1,1,0.015,5.916485,[38 23] ; [69 88],[29.94036697 31.05963303] ; [77.05963303 79.94036697],0
d3,1,0.018988,5.502663,[45 16] ; [87 67],[37.45116279 23.54883721] ; [94.54883721 59.45116279],0
a8,1,0.021378,5.29568,[ 9 44] ; [  9 134],[ 4.86734694 48.13265306] ; [ 13.13265306 129.86734694],0
p3,1,0.021849,5.257746,[28 33] ; [ 46 110],[20.80184332 40.19815668] ; [ 53.19815668 102.80184332],0
v4,1,0.028817,4.778487,[56  5] ; [123  32],[50.55092593 10.44907407] ; [128.44907407  26.55092593],0
p2,1,0.029205,4.755499,[44 17] ; [88 69],[36.93577982 24.06422018] ; [95.06422018 61.93577982],0
a4,1,0.035002,4.445092,[32 29] ; [57 98],[25.13425926 35.86574074] ; [63.86574074 91.13425926],0
v1,1,0.037763,4.315684,[30 30] ; [ 54 102],[23.33333333 36.66666667] ; [60.66666667 95.33333333],0
v2,1,0.054506,3.697125,[33 28] ; [59 90],[26.72380952 34.27619048] ; [65.27619048 83.72380952],0
u1,1,0.061674,3.491782,[13 48] ; [ 18 139],[ 8.67431193 52.32568807] ; [ 22.32568807 134.67431193],0
n2,1,0.075246,3.164716,[19  5] ; [37 26],[15.44827586  8.55172414] ; [40.55172414 22.44827586],0
r1,1,0.086932,2.930289,[46 14] ; [100  55],[40.74418605 19.25581395] ; [105.25581395  49.74418605],0
p7,1,0.095761,2.774756,[33 28] ; [64 90],[27.52093023 33.47906977] ; [69.47906977 84.52093023],0
p1,1,0.13463,2.23829,[ 7 53] ; [  9 148],[ 4.42396313 55.57603687] ; [ 11.57603687 145.42396313],0
b4,1,0.208557,1.581413,[38 23] ; [83 74],[33.85779817 27.14220183] ; [87.14220183 69.85779817],0
n3,1,0.229747,1.442424,[17  7] ; [34 26],[14.57142857  9.42857143] ; [36.42857143 23.57142857],0
s1,1,0.249903,1.323848,[ 2 57] ; [ 12 143],[ 3.85981308 55.14018692] ; [ 10.14018692 144.85981308],0
p12,1,0.322127,0.980293,[ 2 59] ; [  2 155],[ 1.11926606 59.88073394] ; [  2.88073394 154.11926606],0
b1,1,0.32374,0.973776,[36 25] ; [81 76],[32.73853211 28.26146789] ; [84.26146789 72.73853211],0
u2,1,0.33311,0.936768,[ 4 10] ; [26 35],[5.6 8.4] ; [24.4 36.6],0
b2,1,0.346328,0.886866,[ 8 22] ; [30 53],[10.08849558 19.91150442] ; [27.91150442 55.08849558],0
b3,1,0.346328,0.886866,[ 8 22] ; [30 53],[10.08849558 19.91150442] ; [27.91150442 55.08849558],0
n4,1,0.370752,0.801142,[38 21] ; [90 66],[35.1255814 23.8744186] ; [92.8744186 63.1255814],0
n1,1,0.376013,0.783695,[11 13] ; [22 40],[ 9.20930233 14.79069767] ; [23.79069767 38.20930233],0
a1,1,0.475469,0.509238,[ 3 58] ; [ 12 145],[ 4.19724771 56.80275229] ; [ 10.80275229 146.19724771],0
v3,1,0.542862,0.370262,[20 40] ; [ 43 105],[18.17307692 41.82692308] ; [ 44.82692308 103.17307692],0
n5,1,0.629938,0.232145,[37 23] ; [90 65],[35.44186047 24.55813953] ; [91.55813953 63.44186047],0
a7,1,0.669012,0.18276,[42 19] ; [102  53],[40.66666667 20.33333333] ; [103.33333333  51.66666667],0
a2,1,0.75554,0.096934,[14 47] ; [ 33 124],[13.15137615 47.84862385] ; [ 33.84862385 123.15137615],0
u3,1,0.790561,0.070534,[6 8] ; [29 33],[6.44736842 7.55263158] ; [28.55263158 33.44736842],0
p8,1,0.792354,0.069303,[17 44] ; [ 46 109],[17.79166667 43.20833333] ; [ 45.20833333 109.79166667],0
a6,1,0.820602,0.051425,[37 24] ; [92 64],[36.26267281 24.73732719] ; [92.73732719 63.26267281],0
b5,1,0.875696,0.02447,[38 23] ; [96 61],[37.49541284 23.50458716] ; [96.50458716 60.49541284],0
u4,1,0.893343,0.017976,[ 1 60] ; [  3 154],[ 1.11926606 59.88073394] ; [  2.88073394 154.11926606],0
