Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,31.854839,[116  42] ; [28 51],[96. 62.] ; [48. 31.],1
p8,1,1e-06,23.404926,[110  47] ; [28 48],[92.98712446 64.01287554] ; [45.01287554 30.98712446],1
p6,1,6e-06,20.469344,[93 64] ; [21 55],[76.81545064 80.18454936] ; [37.18454936 38.81545064],1
p5,1,0.000123,14.738806,[ 34 124] ; [ 2 77],[ 24. 134.] ; [12. 67.],1
p2,1,0.000657,11.606201,[144  14] ; [59 20],[135.33333333  22.66666667] ; [67.66666667 11.33333333],1
n5,1,0.0048,7.953201,[136  21] ; [55 22],[128.14957265  28.85042735] ; [62.85042735 14.14957265],0
p7,1,0.009001,6.822579,[123  33] ; [47 28],[114.80519481  41.19480519] ; [55.19480519 19.80519481],0
a5,1,0.009354,6.753886,[136  22] ; [57 22],[128.66666667  29.33333333] ; [64.33333333 14.66666667],0
a2,1,0.0097,6.689171,[ 51 107] ; [13 66],[ 42.66666667 115.33333333] ; [21.33333333 57.66666667],0
d1,1,0.013215,6.140151,[117  41] ; [46 33],[108.66666667  49.33333333] ; [54.33333333 24.66666667],0
u1,1,0.026536,4.920763,[ 47 111] ; [13 66],[ 40. 118.] ; [20. 59.],0
d3,1,0.035963,4.398864,[117  41] ; [48 31],[110.  48.] ; [55. 24.],0
v1,1,0.040958,4.177744,[118  38] ; [47 28],[111.42857143  44.57142857] ; [53.57142857 21.42857143],0
p12,1,0.057112,3.619313,[ 24 134] ; [ 5 72],[ 19.49787234 138.50212766] ; [ 9.50212766 67.49787234],0
d2,1,0.061725,3.490427,[100  58] ; [40 39],[93.33333333 64.66666667] ; [46.66666667 32.33333333],0
a3,1,0.086069,2.946398,[134  24] ; [59 19],[129.21186441  28.78813559] ; [63.78813559 14.21186441],0
u4,1,0.109742,2.55793,[  9 149] ; [ 1 78],[  6.66666667 151.33333333] ; [ 3.33333333 75.66666667],0
p11,1,0.12462,2.358278,[133  25] ; [60 19],[128.66666667  29.33333333] ; [64.33333333 14.66666667],0
n1,1,0.140467,2.17284,[13 13] ; [ 5 13],[10.63636364 15.36363636] ; [ 7.36363636 10.63636364],0
d5,1,0.16103,1.964523,[142  16] ; [66 13],[138.66666667  19.33333333] ; [69.33333333  9.66666667],0
n6,1,0.170294,1.880357,[143  13] ; [67 11],[140.  16.] ; [70.  8.],0
a6,1,0.175455,1.835706,[113  45] ; [49 29],[108.45762712  49.54237288] ; [53.54237288 24.45762712],0
s5,1,0.186715,1.743349,[76 75] ; [29 42],[71.41891892 79.58108108] ; [33.58108108 37.41891892],0
