Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.1e-05,18.136443,[13 15] ; [85 15],[21.4375  6.5625] ; [76.5625 23.4375],1
r4,1,2.7e-05,17.644873,[11 17] ; [80 20],[19.90625  8.09375] ; [71.09375 28.90625],1
s6,1,0.000211,13.73178,[ 6 22] ; [61 39],[14.65625 13.34375] ; [52.34375 47.65625],1
v4,1,0.000218,13.672088,[16 12] ; [88 12],[22.75  5.25] ; [81.25 18.75],1
s8,1,0.000686,11.5277,[ 3 25] ; [46 54],[10.71875 17.28125] ; [38.28125 61.71875],1
p11,1,0.000902,11.018809,[ 9 19] ; [67 33],[16.625 11.375] ; [59.375 40.625],1
b5,1,0.001685,9.864557,[ 8 20] ; [62 38],[15.3125 12.6875] ; [54.6875 45.3125],0
p10,1,0.00528,7.781053,[10 17] ; [66 33],[16.28571429 10.71428571] ; [59.71428571 39.28571429],0
a1,1,0.013436,6.110773,[ 7 21] ; [ 8 92],[ 3.28125 24.71875] ; [11.71875 88.28125],0
p3,1,0.018166,5.580079,[ 4 24] ; [38 62],[ 9.1875 18.8125] ; [32.8125 67.1875],0
s5,1,0.021005,5.326342,[ 2 26] ; [27 69],[ 6.5483871 21.4516129] ; [22.4516129 73.5483871],0
p6,1,0.021986,5.246881,[ 1 26] ; [23 76],[ 5.14285714 21.85714286] ; [18.85714286 80.14285714],0
d4,1,0.025978,4.957498,[13 14] ; [71 29],[17.85826772  9.14173228] ; [66.14173228 33.85826772],0
u3,1,0.027755,4.843252,[1 7] ; [21 17],[3.82608696 4.17391304] ; [18.17391304 19.82608696],0
a8,1,0.038071,4.301839,[ 7 21] ; [ 9 83],[ 3.73333333 24.26666667] ; [12.26666667 79.73333333],0
u1,1,0.046879,3.949714,[ 1 27] ; [19 81],[ 4.375 23.625] ; [15.625 84.375],0
p4,1,0.046967,3.946553,[ 4 24] ; [33 65],[ 8.22222222 19.77777778] ; [28.77777778 69.22222222],0
d1,1,0.050943,3.810149,[ 9 19] ; [53 47],[13.5625 14.4375] ; [48.4375 51.5625],0
s4,1,0.066193,3.375,[ 1 27] ; [17 81],[ 4. 24.] ; [14. 84.],0
r2,1,0.066193,3.375,[21  7] ; [87 11],[24.  4.] ; [84. 14.],0
p9,1,0.067011,3.354769,[13 14] ; [66 32],[17.064  9.936] ; [61.936 36.064],0
v1,1,0.097925,2.739012,[ 7 21] ; [41 56],[10.752 17.248] ; [37.248 59.752],0
v2,1,0.120108,2.415917,[ 8 18] ; [45 49],[11.48333333 14.51666667] ; [41.51666667 52.48333333],0
r1,1,0.128687,2.308275,[15 13] ; [69 31],[18.375  9.625] ; [65.625 34.375],0
