Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,45.642933,[113   7] ; [26 26],[96.97674419 23.02325581] ; [42.02325581  9.97674419],1
p6,1,5e-06,20.883403,[82 38] ; [16 36],[68.37209302 51.62790698] ; [29.62790698 22.37209302],1
s1,1,0.000752,11.354954,[  1 121] ; [ 6 44],[  4.96511628 117.03488372] ; [ 2.03488372 47.96511628],1
p11,1,0.000814,11.209299,[108  14] ; [35 17],[100.26436782  21.73563218] ; [42.73563218  9.26436782],1
p10,1,0.001132,10.598396,[117   5] ; [42 10],[111.48275862  10.51724138] ; [47.51724138  4.48275862],0
b5,1,0.00115,10.568775,[54 68] ; [37 15],[63.8045977 58.1954023] ; [27.1954023 24.8045977],0
p4,1,0.011135,6.443582,[108  14] ; [38 14],[102.36781609  19.63218391] ; [43.63218391  8.36781609],0
p2,1,0.011979,6.313949,[114   8] ; [42 10],[109.37931034  12.62068966] ; [46.62068966  5.37931034],0
s8,1,0.0223,5.222212,[79 43] ; [24 28],[72.2183908 49.7816092] ; [30.7816092 21.2183908],0
p5,1,0.037707,4.318202,[40 82] ; [ 9 43],[34.35632184 87.64367816] ; [14.64367816 37.35632184],0
v3,1,0.039472,4.240448,[65 57] ; [18 32],[58.87209302 63.12790698] ; [24.12790698 25.87209302],0
r3,1,0.046528,3.962387,[119   2] ; [48  4],[116.80346821   4.19653179] ; [50.19653179  1.80346821],0
n5,1,0.049867,3.845928,[104  18] ; [37 14],[99.43352601 22.56647399] ; [41.56647399  9.43352601],0
p12,1,0.072164,3.23309,[ 19 102] ; [ 3 49],[ 15.38728324 105.61271676] ; [ 6.61271676 45.38728324],0
r4,1,0.084051,2.984776,[118   4] ; [47  5],[115.68965517   6.31034483] ; [49.31034483  2.68965517],0
r1,1,0.085153,2.963696,[108  14] ; [40 11],[104.3699422  17.6300578] ; [43.6300578  7.3699422],0
n3,1,0.113846,2.5,[10  8] ; [10  2],[12.  6.] ; [8. 4.],0
p9,1,0.11466,2.488791,[116   6] ; [46  6],[113.5862069   8.4137931] ; [48.4137931  3.5862069],0
b1,1,0.131715,2.272179,[46 76] ; [26 26],[50.48275862 71.51724138] ; [21.51724138 30.48275862],0
a8,1,0.169664,1.885913,[ 16 100] ; [ 3 45],[ 13.43902439 102.56097561] ; [ 5.56097561 42.43902439],0
a5,1,0.180027,1.797402,[106  16] ; [41 11],[103.06896552  18.93103448] ; [43.93103448  8.06896552],0
a1,1,0.183618,1.768094,[ 12 110] ; [ 2 50],[  9.81609195 112.18390805] ; [ 4.18390805 47.81609195],0
b4,1,0.240935,1.375114,[73 49] ; [36 16],[76.42528736 45.57471264] ; [32.57471264 19.42528736],0
