Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.001774,9.769693,[ 7 45] ; [10 11],[12.10958904 39.89041096] ; [ 4.89041096 16.10958904],0
p4,1,0.004989,7.883523,[13 39] ; [13  9],[18.27027027 33.72972973] ; [ 7.72972973 14.27027027],0
n6,1,0.006726,7.344792,[23 27] ; [17  4],[28.16901408 21.83098592] ; [11.83098592  9.16901408],0
p5,1,0.011931,6.321039,[ 3 47] ; [ 6 16],[ 6.25 43.75] ; [ 2.75 19.25],0
b1,1,0.032076,4.594426,[19 33] ; [14  8],[23.18918919 28.81081081] ; [ 9.81081081 12.18918919],0
p7,1,0.035015,4.444444,[17 32] ; [13  8],[21. 28.] ; [ 9. 12.],0
p8,1,0.047509,3.927273,[15 35] ; [12 10],[18.75 31.25] ; [ 8.25 13.75],0
p2,1,0.071285,3.253171,[28 23] ; [17  5],[31.43835616 19.56164384] ; [13.56164384  8.43835616],0
d4,1,0.088536,2.900802,[38 14] ; [20  2],[40.75675676 11.24324324] ; [17.24324324  4.75675676],0
p9,1,0.116802,2.45969,[29 21] ; [17  5],[31.94444444 18.05555556] ; [14.05555556  7.94444444],0
v4,1,0.119881,2.418873,[29 19] ; [16  4],[31.76470588 16.23529412] ; [13.23529412  6.76470588],0
r1,1,0.13205,2.268236,[19 32] ; [ 4 17],[16.29166667 34.70833333] ; [ 6.70833333 14.29166667],0
d3,1,0.143721,2.137665,[33 18] ; [18  4],[35.63013699 15.36986301] ; [15.36986301  6.63013699],0
d5,1,0.214276,1.542301,[38 14] ; [19  3],[40.05405405 11.94594595] ; [16.94594595  5.05405405],0
r2,1,0.218223,1.516019,[27 20] ; [14  5],[29.1969697 17.8030303] ; [11.8030303  7.1969697],0
u2,1,0.228421,1.450667,[11  9] ; [2 5],[ 9.62962963 10.37037037] ; [3.37037037 3.62962963],0
d1,1,0.24241,1.366525,[23 29] ; [13  9],[25.2972973 26.7027027] ; [10.7027027 11.2972973],0
v1,1,0.243563,1.359852,[14 35] ; [ 9 12],[16.1 32.9] ; [ 6.9 14.1],0
p1,1,0.268378,1.225018,[ 3 48] ; [ 3 19],[ 4.19178082 46.80821918] ; [ 1.80821918 20.19178082],0
n4,1,0.281987,1.157487,[26 26] ; [14  8],[28.10810811 23.89189189] ; [11.89189189 10.10810811],0
a6,1,0.284198,1.146903,[31 21] ; [16  6],[33.02702703 18.97297297] ; [13.97297297  8.02702703],0
s2,1,0.303686,1.057936,[14 37] ; [ 8 12],[15.8028169 35.1971831] ; [ 6.1971831 13.8028169],0
p11,1,0.354171,0.858455,[27 25] ; [14  8],[28.81081081 23.18918919] ; [12.18918919  9.81081081],0
b4,1,0.357823,0.845519,[32 20] ; [11 11],[30.21621622 21.78378378] ; [12.78378378  9.21621622],0
n5,1,0.358671,0.842542,[25 25] ; [13  8],[26.76056338 23.23943662] ; [11.23943662  9.76056338],0
n2,1,0.365241,0.819792,[14  9] ; [7 2],[15.09375  7.90625] ; [5.90625 3.09375],0
v2,1,0.384488,0.756303,[21 30] ; [11 10],[22.66666667 28.33333333] ; [ 9.33333333 11.66666667],0
a5,1,0.398195,0.713769,[30 22] ; [15  7],[31.62162162 20.37837838] ; [13.37837838  8.62162162],0
s8,1,0.40006,0.708147,[12 40] ; [ 3 18],[10.68493151 41.31506849] ; [ 4.31506849 16.68493151],0
u1,1,0.444833,0.583785,[ 6 46] ; [ 4 18],[ 7.02702703 44.97297297] ; [ 2.97297297 19.02702703],0
d2,1,0.48737,0.482327,[21 31] ; [ 7 15],[19.67567568 32.32432432] ; [ 8.32432432 13.67567568],0
n1,1,0.490691,0.475011,[ 8 15] ; [2 7],[ 7.1875 15.8125] ; [2.8125 6.1875],0
p12,1,0.534762,0.385334,[ 1 50] ; [ 1 21],[ 1.39726027 49.60273973] ; [ 0.60273973 21.39726027],0
a8,1,0.55474,0.348893,[ 5 44] ; [ 1 17],[ 4.3880597 44.6119403] ; [ 1.6119403 16.3880597],0
a4,1,0.5874,0.294423,[20 32] ; [ 7 15],[18.97297297 33.02702703] ; [ 8.02702703 13.97297297],0
s5,1,0.593239,0.285315,[ 9 42] ; [ 4 13],[ 9.75 41.25] ; [ 3.25 13.75],0
s1,1,0.602835,0.270741,[ 3 49] ; [ 2 20],[ 3.51351351 48.48648649] ; [ 1.48648649 20.51351351],0
s6,1,0.65558,0.198937,[20 31] ; [ 9 11],[20.83098592 30.16901408] ; [ 8.16901408 11.83098592],0
b5,1,0.686189,0.163242,[31 21] ; [12 10],[30.21621622 21.78378378] ; [12.78378378  9.21621622],0
p10,1,0.697837,0.150732,[30 20] ; [13  7],[30.71428571 19.28571429] ; [12.28571429  7.71428571],0
a2,1,0.732372,0.116945,[10 42] ; [ 5 17],[10.54054054 41.45945946] ; [ 4.45945946 17.54054054],0
a1,1,0.756625,0.096048,[ 6 46] ; [ 2 20],[ 5.62162162 46.37837838] ; [ 2.37837838 19.62162162],0
a3,1,0.818132,0.052876,[31 20] ; [14  8],[31.43835616 19.56164384] ; [13.56164384  8.43835616],0
u3,1,0.823218,0.049911,[ 8 13] ; [3 4],[ 8.25 12.75] ; [2.75 4.25],0
v3,1,0.881004,0.022409,[13 38] ; [ 5 16],[12.75 38.25] ; [ 5.25 15.75],0
b2,1,0.883708,0.021395,[ 8 21] ; [3 7],[ 8.17948718 20.82051282] ; [2.82051282 7.17948718],0
b3,1,0.883708,0.021395,[ 8 21] ; [3 7],[ 8.17948718 20.82051282] ; [2.82051282 7.17948718],0
s3,1,0.924668,0.008941,[19 30] ; [ 8 12],[19.17391304 29.82608696] ; [ 7.82608696 12.17391304],0
r3,1,0.937127,0.006222,[32 18] ; [13  7],[32.14285714 17.85714286] ; [12.85714286  7.14285714],0
n3,1,0.960492,0.002454,[13 10] ; [5 4],[12.9375 10.0625] ; [5.0625 3.9375],0
s7,1,0.973256,0.001124,[16 34] ; [ 6 13],[15.94202899 34.05797101] ; [ 6.05797101 12.94202899],0
