Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.96811,[94  2] ; [38 18],[83.36842105 12.63157895] ; [48.63157895  7.36842105],1
r2,1,4e-06,21.400848,[87  9] ; [31 22],[76.02684564 19.97315436] ; [41.97315436 11.02684564],1
r3,1,0.00012,14.795723,[93  3] ; [44 13],[85.96078431 10.03921569] ; [51.03921569  5.96078431],1
p10,1,0.000545,11.954772,[86 10] ; [36 18],[78.08 17.92] ; [43.92 10.08],1
n6,1,0.004503,8.068809,[85 11] ; [40 17],[78.43137255 17.56862745] ; [46.56862745 10.43137255],0
p9,1,0.005676,7.650279,[88  8] ; [43 14],[82.19607843 13.80392157] ; [48.80392157  8.19607843],0
a7,1,0.011586,6.37312,[66 30] ; [28 30],[58.5974026 37.4025974] ; [35.4025974 22.5974026],0
v3,1,0.013034,6.164473,[34 59] ; [10 47],[27.28 65.72] ; [16.72 40.28],0
b3,1,0.039957,4.219713,[24 38] ; [ 7 30],[19.41414141 42.58585859] ; [11.58585859 25.41414141],0
b2,1,0.039957,4.219713,[24 38] ; [ 7 30],[19.41414141 42.58585859] ; [11.58585859 25.41414141],0
b1,1,0.041063,4.173402,[29 67] ; [27 31],[34.90909091 61.09090909] ; [21.09090909 36.90909091],0
s6,1,0.049016,3.874815,[60 33] ; [28 30],[54.1986755 38.8013245] ; [33.8013245 24.1986755],0
d5,1,0.052991,3.744208,[75 21] ; [37 21],[69.81818182 26.18181818] ; [42.18181818 15.81818182],0
s5,1,0.077732,3.11169,[26 64] ; [ 9 47],[21.57534247 68.42465753] ; [13.42465753 42.57534247],0
d3,1,0.079294,3.079322,[57 39] ; [26 32],[51.74025974 44.25974026] ; [31.25974026 26.74025974],0
s4,1,0.0828,3.009073,[14 82] ; [15 43],[18.07792208 77.92207792] ; [10.92207792 47.07792208],0
p12,1,0.098973,2.722019,[ 8 88] ; [ 1 55],[ 5.68421053 90.31578947] ; [ 3.31578947 52.68421053],0
n4,1,0.104591,2.6341,[70 26] ; [35 23],[65.45454545 30.54545455] ; [39.54545455 18.45454545],0
b4,1,0.11849,2.43717,[65 31] ; [32 26],[60.46753247 35.53246753] ; [36.53246753 21.46753247],0
p3,1,0.121359,2.399697,[46 50] ; [20 37],[41.41176471 54.58823529] ; [24.58823529 32.41176471],0
a4,1,0.143143,2.143846,[34 62] ; [14 44],[29.92207792 66.07792208] ; [18.07792208 39.92207792],0
p6,1,0.164848,1.929184,[38 56] ; [16 39],[34.06711409 59.93288591] ; [19.93288591 35.06711409],0
d4,1,0.180591,1.792752,[74 22] ; [39 19],[70.44155844 25.55844156] ; [42.55844156 15.44155844],0
b5,1,0.196065,1.671444,[63 33] ; [32 26],[59.22077922 36.77922078] ; [35.77922078 22.22077922],0
s8,1,0.197341,1.661941,[38 58] ; [17 41],[34.28571429 61.71428571] ; [20.71428571 37.28571429],0
a6,1,0.235974,1.404484,[59 37] ; [30 28],[55.48051948 40.51948052] ; [33.51948052 24.48051948],0
v1,1,0.302369,1.063715,[43 51] ; [20 34],[40.01351351 53.98648649] ; [22.98648649 31.01351351],0
a8,1,0.325645,0.966139,[11 79] ; [ 4 52],[ 9.24657534 80.75342466] ; [ 5.75342466 50.24657534],0
