Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000602,11.769298,[38  9] ; [15 19],[30.75308642 16.24691358] ; [22.24691358 11.75308642],1
p6,1,0.001278,10.374359,[33 15] ; [12 24],[25.71428571 22.28571429] ; [19.28571429 16.71428571],0
p7,1,0.00628,7.468214,[38  9] ; [19 17],[32.27710843 14.72289157] ; [24.72289157 11.27710843],0
p9,1,0.013521,6.099647,[46  3] ; [27  9],[42.08235294  6.91764706] ; [30.91764706  5.08235294],0
s6,1,0.015362,5.874449,[48  1] ; [30  6],[44.96470588  4.03529412] ; [33.03529412  2.96470588],0
r4,1,0.015362,5.874449,[48  1] ; [30  6],[44.96470588  4.03529412] ; [33.03529412  2.96470588],0
s8,1,0.023653,5.119869,[35 14] ; [17 19],[29.97647059 19.02352941] ; [22.02352941 13.97647059],0
v1,1,0.035527,4.419686,[29 20] ; [13 23],[24.21176471 24.78823529] ; [17.78823529 18.21176471],0
s2,1,0.036644,4.366887,[41  8] ; [23 13],[36.89411765 12.10588235] ; [27.10588235  8.89411765],0
n2,1,0.054319,3.702857,[11  3] ; [4 6],[8.75 5.25] ; [6.25 3.75],0
p5,1,0.072587,3.22353,[ 7 42] ; [ 1 35],[ 4.61176471 44.38823529] ; [ 3.38823529 32.61176471],0
b4,1,0.077541,3.115708,[35 14] ; [19 17],[31.12941176 17.87058824] ; [22.87058824 13.12941176],0
a4,1,0.095464,2.779733,[32 17] ; [17 19],[28.24705882 20.75294118] ; [20.75294118 15.24705882],0
p4,1,0.107354,2.592748,[39 10] ; [23 13],[35.74117647 13.25882353] ; [26.25882353  9.74117647],0
p1,1,0.196161,1.670728,[ 7 42] ; [ 2 34],[ 5.18823529 43.81176471] ; [ 3.81176471 32.18823529],0
v3,1,0.220073,1.503893,[20 28] ; [10 25],[17.34939759 30.65060241] ; [12.65060241 22.34939759],0
r3,1,0.22133,1.495726,[46  2] ; [32  4],[44.57142857  3.42857143] ; [33.42857143  2.57142857],0
p10,1,0.229239,1.445578,[45  4] ; [30  6],[43.23529412  5.76470588] ; [31.76470588  4.23529412],0
a5,1,0.229239,1.445578,[45  4] ; [30  6],[43.23529412  5.76470588] ; [31.76470588  4.23529412],0
d2,1,0.245276,1.350009,[37 12] ; [23 13],[34.58823529 14.41176471] ; [25.41176471 10.58823529],0
a6,1,0.250867,1.318467,[31 18] ; [27  9],[33.43529412 15.56470588] ; [24.56470588 11.43529412],0
s3,1,0.264381,1.245671,[38 11] ; [24 12],[35.74117647 13.25882353] ; [26.25882353  9.74117647],0
b5,1,0.331502,0.943022,[29 20] ; [25 11],[31.12941176 17.87058824] ; [22.87058824 13.12941176],0
a7,1,0.337865,0.918517,[32 17] ; [27  9],[34.01176471 14.98823529] ; [24.98823529 11.01176471],0
p8,1,0.462225,0.540502,[28 19] ; [18 17],[26.36585366 20.63414634] ; [19.63414634 15.36585366],0
p12,1,0.471824,0.517701,[ 3 46] ; [ 1 35],[ 2.30588235 46.69411765] ; [ 1.69411765 34.30588235],0
p3,1,0.47342,0.513983,[31 18] ; [20 16],[29.4 19.6] ; [21.6 14.4],0
p2,1,0.492031,0.472083,[41  8] ; [28  8],[39.77647059  9.22352941] ; [29.22352941  6.77647059],0
n5,1,0.552215,0.353364,[33 16] ; [22 14],[31.70588235 17.29411765] ; [23.29411765 12.70588235],0
n6,1,0.562927,0.334661,[43  6] ; [30  6],[42.08235294  6.91764706] ; [30.91764706  5.08235294],0
b2,1,0.597182,0.279266,[11 21] ; [ 4 11],[10.21276596 21.78723404] ; [ 4.78723404 10.21276596],0
b3,1,0.597182,0.279266,[11 21] ; [ 4 11],[10.21276596 21.78723404] ; [ 4.78723404 10.21276596],0
n4,1,0.629807,0.232323,[33 16] ; [26 10],[34.01176471 14.98823529] ; [24.98823529 11.01176471],0
u2,1,0.639994,0.21875,[3 5] ; [3 3],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
u1,1,0.683765,0.165919,[13 36] ; [11 25],[13.83529412 35.16470588] ; [10.16470588 25.83529412],0
n1,1,0.769698,0.085714,[5 9] ; [3 7],[4.66666667 9.33333333] ; [3.33333333 6.66666667],0
a2,1,0.837383,0.042124,[16 33] ; [11 25],[15.56470588 33.43529412] ; [11.43529412 24.56470588],0
r1,1,0.838956,0.041302,[40  9] ; [30  6],[40.35294118  8.64705882] ; [29.64705882  6.35294118],0
v2,1,0.852492,0.034573,[25 23] ; [17 17],[24.58536585 23.41463415] ; [17.41463415 16.58536585],0
u3,1,0.872081,0.025926,[5 3] ; [4 2],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
b1,1,0.892532,0.018252,[17 32] ; [13 23],[17.29411765 31.70588235] ; [12.70588235 23.29411765],0
s1,1,0.912603,0.012046,[ 3 46] ; [ 2 34],[ 2.88235294 46.11764706] ; [ 2.11764706 33.88235294],0
v4,1,0.912603,0.012046,[46  3] ; [34  2],[46.11764706  2.88235294] ; [33.88235294  2.11764706],0
p11,1,0.935984,0.006451,[35 14] ; [26 10],[35.16470588 13.83529412] ; [25.83529412 10.16470588],0
n3,1,0.939491,0.005762,[10  4] ; [7 3],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
a3,1,0.966678,0.001745,[41  8] ; [30  6],[40.92941176  8.07058824] ; [30.07058824  5.92941176],0
d3,1,0.977516,0.000794,[45  4] ; [33  3],[44.96470588  4.03529412] ; [33.03529412  2.96470588],0
