Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,25.262548,[ 1 40] ; [19 17],[10.64935065 30.35064935] ; [ 9.35064935 26.64935065],1
s2,1,1e-06,24.889112,[ 5 37] ; [24 12],[15.61538462 26.38461538] ; [13.38461538 22.61538462],1
r4,1,4e-06,21.500902,[13 29] ; [30  6],[23.15384615 18.84615385] ; [19.84615385 16.15384615],1
p4,1,5e-06,20.972569,[ 7 33] ; [25 11],[16.84210526 23.15789474] ; [15.15789474 20.84210526],1
s8,1,2.1e-05,18.09667,[ 3 39] ; [18 18],[11.30769231 30.69230769] ; [ 9.69230769 26.30769231],1
r3,1,5.4e-05,16.31912,[19 23] ; [32  4],[27.46153846 14.53846154] ; [23.53846154 12.46153846],1
p3,1,8.3e-05,15.491667,[ 7 35] ; [21 14],[15.27272727 26.72727273] ; [12.72727273 22.27272727],1
s7,1,0.000106,15.030653,[ 5 32] ; [19 14],[12.68571429 24.31428571] ; [11.31428571 21.68571429],1
v2,1,0.001335,10.29418,[ 8 32] ; [20 16],[14.73684211 25.26315789] ; [13.26315789 22.73684211],0
a5,1,0.001474,10.111111,[14 28] ; [25 11],[21. 21.] ; [18. 18.],0
p7,1,0.001586,9.976091,[11 30] ; [22 13],[17.80263158 23.19736842] ; [15.19736842 19.80263158],0
d1,1,0.001896,9.647711,[10 32] ; [21 15],[16.69230769 25.30769231] ; [14.30769231 21.69230769],0
d5,1,0.002174,9.396199,[17 25] ; [27  9],[23.69230769 18.30769231] ; [20.30769231 15.69230769],0
r1,1,0.005708,7.640362,[16 26] ; [25 11],[22.07692308 19.92307692] ; [18.92307692 17.07692308],0
u3,1,0.006228,7.482993,[ 4 17] ; [8 4],[ 7.63636364 13.36363636] ; [4.36363636 7.63636364],0
p9,1,0.00814,7.002315,[13 26] ; [23 13],[18.72 20.28] ; [17.28 18.72],0
d3,1,0.008243,6.9799,[11 31] ; [20 16],[16.69230769 25.30769231] ; [14.30769231 21.69230769],0
d2,1,0.009151,6.793158,[14 27] ; [23 13],[19.7012987 21.2987013] ; [17.2987013 18.7012987],0
p6,1,0.012727,6.206667,[ 4 36] ; [12 24],[ 8.42105263 31.57894737] ; [ 7.57894737 28.42105263],0
r2,1,0.01445,5.98229,[26 14] ; [32  4],[30.52631579  9.47368421] ; [27.47368421  8.52631579],0
v1,1,0.019305,5.473669,[ 9 32] ; [17 19],[13.84415584 27.15584416] ; [12.15584416 23.84415584],0
p10,1,0.019525,5.453877,[12 29] ; [20 16],[17.03896104 23.96103896] ; [14.96103896 21.03896104],0
d4,1,0.022205,5.229684,[23 18] ; [29  7],[27.68831169 13.31168831] ; [24.31168831 11.68831169],0
n6,1,0.023368,5.140967,[20 21] ; [26  9],[24.81578947 16.18421053] ; [21.18421053 13.81578947],0
v4,1,0.02344,5.135576,[26 15] ; [31  5],[30.35064935 10.64935065] ; [26.64935065  9.35064935],0
s3,1,0.023726,5.114566,[13 27] ; [21 15],[17.89473684 22.10526316] ; [16.10526316 19.89473684],0
p8,1,0.034066,4.491364,[ 8 33] ; [15 21],[12.24675325 28.75324675] ; [10.75324675 25.24675325],0
a8,1,0.035946,4.399644,[ 1 38] ; [ 6 30],[ 3.64 35.36] ; [ 3.36 32.64],0
a4,1,0.036179,4.388644,[10 31] ; [17 19],[14.37662338 26.62337662] ; [12.62337662 23.37662338],0
p1,1,0.057247,3.61541,[ 1 41] ; [ 5 31],[ 3.23076923 38.76923077] ; [ 2.76923077 33.23076923],0
s4,1,0.067497,3.342857,[ 4 38] ; [ 9 27],[ 7. 35.] ; [ 6. 30.],0
p2,1,0.072371,3.228413,[19 23] ; [23 12],[22.90909091 19.09090909] ; [19.09090909 15.90909091],0
b2,1,0.091825,2.842079,[12 12] ; [ 6 17],[ 9.19148936 14.80851064] ; [ 8.80851064 14.19148936],0
b3,1,0.091825,2.842079,[12 12] ; [ 6 17],[ 9.19148936 14.80851064] ; [ 8.80851064 14.19148936],0
v3,1,0.096804,2.757427,[ 9 30] ; [14 20],[12.28767123 26.71232877] ; [10.71232877 23.28767123],0
a6,1,0.098412,2.731092,[18 24] ; [ 9 27],[14.53846154 27.46153846] ; [12.46153846 23.53846154],0
a2,1,0.116584,2.462622,[ 1 41] ; [ 4 32],[ 2.69230769 39.30769231] ; [ 2.30769231 33.69230769],0
u2,1,0.12471,2.357143,[ 5 16] ; [6 6],[ 7. 14.] ; [4. 8.],0
n1,1,0.132967,2.257514,[ 7 15] ; [8 6],[ 9.16666667 12.83333333] ; [5.83333333 8.16666667],0
n3,1,0.163359,1.942857,[ 8 12] ; [9 5],[10. 10.] ; [7. 7.],0
a3,1,0.169963,1.883266,[21 20] ; [24 12],[23.96103896 17.03896104] ; [21.03896104 14.96103896],0
b4,1,0.21751,1.520722,[21 21] ; [23 13],[23.69230769 18.30769231] ; [20.30769231 15.69230769],0
b1,1,0.262418,1.255957,[24 18] ; [25 11],[26.38461538 15.61538462] ; [22.61538462 13.38461538],0
b5,1,0.363607,0.825397,[19 23] ; [20 16],[21. 21.] ; [18. 18.],0
n2,1,0.563341,0.333952,[12 10] ; [9 5],[12.83333333  9.16666667] ; [8.16666667 5.83333333],0
a1,1,0.604257,0.268622,[ 5 37] ; [ 3 33],[ 4.30769231 37.69230769] ; [ 3.69230769 32.30769231],0
u1,1,0.649644,0.206349,[ 2 40] ; [ 1 35],[ 1.61538462 40.38461538] ; [ 1.38461538 34.61538462],0
n4,1,0.692132,0.156787,[27 15] ; [24 11],[27.81818182 14.18181818] ; [23.18181818 11.81818182],0
n5,1,0.72933,0.119728,[26 16] ; [23 12],[26.72727273 15.27272727] ; [22.27272727 12.72727273],0
s1,1,0.854495,0.03363,[ 4 38] ; [ 3 33],[ 3.76923077 38.23076923] ; [ 3.23076923 32.76923077],0
p12,1,0.911985,0.012218,[ 1 41] ; [ 1 35],[ 1.07692308 40.92307692] ; [ 0.92307692 35.07692308],0
