Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.701627,[ 6 40] ; [28 19],[16.8172043 29.1827957] ; [17.1827957 29.8172043],1
p11,1,0.000227,13.59042,[10 37] ; [29 21],[18.89690722 28.10309278] ; [20.10309278 29.89690722],1
p10,1,0.000918,10.985272,[13 33] ; [31 19],[21.08333333 24.91666667] ; [22.91666667 27.08333333],1
p9,1,0.001427,10.170814,[16 28] ; [34 15],[23.65591398 20.34408602] ; [26.34408602 22.65591398],0
d4,1,0.002045,9.508604,[26 21] ; [42  8],[32.94845361 14.05154639] ; [35.05154639 14.94845361],0
n6,1,0.002242,9.34001,[18 29] ; [34 15],[25.45833333 21.54166667] ; [26.54166667 22.45833333],0
p2,1,0.005724,7.635149,[17 29] ; [32 17],[23.72631579 22.27368421] ; [25.27368421 23.72631579],0
s2,1,0.010239,6.592829,[ 7 40] ; [19 31],[12.59793814 34.40206186] ; [13.40206186 36.59793814],0
s6,1,0.011707,6.35477,[11 36] ; [24 26],[16.95876289 30.04123711] ; [18.04123711 31.95876289],0
d1,1,0.028244,4.813119,[15 32] ; [27 23],[20.35051546 26.64948454] ; [21.64948454 28.35051546],0
a7,1,0.02994,4.712754,[16 31] ; [28 22],[21.31958763 25.68041237] ; [22.68041237 27.31958763],0
n5,1,0.039292,4.248217,[34 13] ; [26 24],[29.07216495 17.92783505] ; [30.92783505 19.07216495],0
p6,1,0.044509,4.037147,[ 3 43] ; [10 38],[ 6.36170213 39.63829787] ; [ 6.63829787 41.36170213],0
a1,1,0.049337,3.863854,[ 9 38] ; [ 3 47],[ 5.81443299 41.18556701] ; [ 6.18556701 43.81443299],0
s8,1,0.066304,3.372231,[ 4 43] ; [11 39],[ 7.26804124 39.73195876] ; [ 7.73195876 42.26804124],0
d3,1,0.06716,3.351092,[20 27] ; [30 19],[24.47916667 22.52083333] ; [25.52083333 23.47916667],0
v4,1,0.067802,3.335442,[22 25] ; [32 17],[26.4375 20.5625] ; [27.5625 21.4375],0
n3,1,0.071314,3.252525,[10 14] ; [15  7],[13.04347826 10.95652174] ; [11.95652174 10.04347826],0
d5,1,0.085486,2.957394,[27 20] ; [37 13],[31.01030928 15.98969072] ; [32.98969072 17.01030928],0
p4,1,0.087534,2.919141,[ 8 39] ; [16 34],[11.62886598 35.37113402] ; [12.37113402 37.62886598],0
s3,1,0.092959,2.822363,[13 33] ; [22 27],[16.94736842 29.05263158] ; [18.05263158 30.94736842],0
v1,1,0.106699,2.602451,[12 35] ; [19 27],[15.66666667 31.33333333] ; [15.33333333 30.66666667],0
p1,1,0.116769,2.460131,[ 6 41] ; [ 2 48],[ 3.87628866 43.12371134] ; [ 4.12371134 45.87628866],0
b1,1,0.116782,2.459957,[30 17] ; [24 26],[26.16494845 20.83505155] ; [27.83505155 22.16494845],0
b4,1,0.135389,2.229599,[25 22] ; [34 16],[28.58762887 18.41237113] ; [30.41237113 19.58762887],0
p7,1,0.165479,1.923433,[ 9 37] ; [16 34],[11.97916667 34.02083333] ; [13.02083333 36.97916667],0
b5,1,0.189593,1.720777,[21 26] ; [29 21],[24.22680412 22.77319588] ; [25.77319588 24.22680412],0
s4,1,0.20005,1.642006,[ 9 38] ; [ 5 45],[ 6.78350515 40.21649485] ; [ 7.21649485 42.78350515],0
s7,1,0.214754,1.539087,[ 9 34] ; [15 31],[11.59550562 31.40449438] ; [12.40449438 33.59550562],0
n4,1,0.220726,1.499642,[32 15] ; [28 22],[29.07216495 17.92783505] ; [30.92783505 19.07216495],0
a4,1,0.245841,1.346783,[20 26] ; [16 34],[17.25 28.75] ; [18.75 31.25],0
u1,1,0.27451,1.194073,[ 2 45] ; [ 5 45],[ 3.39175258 43.60824742] ; [ 3.60824742 46.39175258],0
b3,1,0.316093,1.005044,[14 17] ; [ 8 17],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
b2,1,0.316093,1.005044,[14 17] ; [ 8 17],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
a3,1,0.382339,0.763167,[27 19] ; [33 16],[29.05263158 16.94736842] ; [30.94736842 18.05263158],0
p3,1,0.396369,0.719314,[ 8 38] ; [12 37],[ 9.68421053 36.31578947] ; [10.31578947 38.68421053],0
n1,1,0.401429,0.704042,[ 9 15] ; [ 6 17],[ 7.65957447 16.34042553] ; [ 7.34042553 15.65957447],0
n2,1,0.463705,0.536937,[11 13] ; [13 10],[12.25531915 11.74468085] ; [11.74468085 11.25531915],0
a8,1,0.476861,0.506034,[ 2 43] ; [ 4 46],[ 2.84210526 42.15789474] ; [ 3.15789474 46.84210526],0
a6,1,0.478959,0.501233,[25 22] ; [23 27],[23.25773196 23.74226804] ; [24.74226804 25.25773196],0
v3,1,0.562084,0.336109,[ 9 38] ; [12 38],[10.17525773 36.82474227] ; [10.82474227 39.17525773],0
s1,1,0.595786,0.281399,[ 3 44] ; [ 2 48],[ 2.42268041 44.57731959] ; [ 2.57731959 47.42268041],0
u2,1,0.635256,0.225,[ 6 14] ; [ 6 10],[ 6.66666667 13.33333333] ; [ 5.33333333 10.66666667],0
a2,1,0.667663,0.184348,[ 6 41] ; [ 5 45],[ 5.32989691 41.67010309] ; [ 5.67010309 44.32989691],0
s5,1,0.681816,0.168089,[ 7 39] ; [ 9 40],[ 7.74736842 38.25263158] ; [ 8.25263158 40.74736842],0
d2,1,0.718582,0.129855,[21 25] ; [21 29],[20.125 25.875] ; [21.875 28.125],0
u3,1,0.794944,0.067546,[ 4 16] ; [ 4 13],[ 4.32432432 15.67567568] ; [ 3.67567568 13.32432432],0
p5,1,0.932103,0.007259,[ 2 44] ; [ 2 48],[ 1.91666667 44.08333333] ; [ 2.08333333 47.91666667],0
a5,1,0.936397,0.006368,[25 22] ; [27 23],[25.19587629 21.80412371] ; [26.80412371 23.19587629],0
r2,1,0.974383,0.001031,[26 19] ; [27 20],[25.92391304 19.07608696] ; [27.07608696 19.92391304],0
r1,1,0.98175,0.000523,[14 33] ; [15 35],[14.05154639 32.94845361] ; [14.94845361 35.05154639],0
