Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.041167,4.169118,[12 22] ; [6 2],[14.57142857 19.42857143] ; [3.42857143 4.57142857],0
p2,1,0.07293,3.215822,[30 49] ; [11  7],[33.39175258 45.60824742] ; [ 7.60824742 10.39175258],0
a6,1,0.08666,2.935341,[44 35] ; [ 6 12],[40.72164948 38.27835052] ; [9.27835052 8.72164948],0
s2,1,0.15862,1.987333,[18 61] ; [ 7 11],[20.36082474 58.63917526] ; [ 4.63917526 13.36082474],0
p3,1,0.180296,1.795183,[22 56] ; [ 8 10],[24.375 53.625] ; [ 5.625 12.375],0
s6,1,0.184844,1.758242,[30 48] ; [10  8],[32.5 45.5] ; [ 7.5 10.5],0
b2,1,0.222143,1.490472,[18 30] ; [2 9],[16.27118644 31.72881356] ; [3.72881356 7.27118644],0
b3,1,0.222143,1.490472,[18 30] ; [2 9],[16.27118644 31.72881356] ; [3.72881356 7.27118644],0
s3,1,0.224257,1.476923,[27 51] ; [9 9],[29.25 48.75] ; [ 6.75 11.25],0
p4,1,0.235109,1.409683,[23 54] ; [ 8 10],[25.12631579 51.87368421] ; [ 5.87368421 12.12631579],0
s1,1,0.239017,1.386384,[ 6 72] ; [ 3 15],[ 7.3125 70.6875] ; [ 1.6875 16.3125],0
d3,1,0.256052,1.289978,[41 38] ; [12  6],[43.16494845 35.83505155] ; [9.83505155 8.16494845],0
p10,1,0.308336,1.037791,[10 68] ; [ 4 14],[11.375 66.625] ; [ 2.625 15.375],0
d5,1,0.3263,0.963528,[52 27] ; [14  4],[53.75257732 25.24742268] ; [12.24742268  5.75257732],0
n4,1,0.426269,0.632967,[47 31] ; [9 9],[45.5 32.5] ; [10.5  7.5],0
a2,1,0.427659,0.629172,[15 64] ; [ 2 16],[13.84536082 65.15463918] ; [ 3.15463918 14.84536082],0
v2,1,0.430941,0.620287,[29 48] ; [ 5 13],[27.55789474 49.44210526] ; [ 6.44210526 11.55789474],0
r3,1,0.437927,0.601709,[55 23] ; [11  7],[53.625 24.375] ; [12.375  5.625],0
d1,1,0.461828,0.541462,[32 47] ; [9 9],[33.39175258 45.60824742] ; [ 7.60824742 10.39175258],0
n5,1,0.471699,0.517993,[42 36] ; [ 8 10],[40.625 37.375] ; [9.375 8.625],0
d2,1,0.471699,0.517993,[36 42] ; [10  8],[37.375 40.625] ; [8.625 9.375],0
n6,1,0.511823,0.430339,[41 37] ; [11  7],[42.25 35.75] ; [9.75 8.25],0
s7,1,0.512544,0.42887,[14 59] ; [ 4 11],[14.93181818 58.06818182] ; [ 3.06818182 11.93181818],0
v4,1,0.517202,0.419469,[54 23] ; [14  4],[55.11578947 21.88421053] ; [12.88421053  5.11578947],0
b1,1,0.573691,0.316546,[47 32] ; [12  6],[48.05154639 30.94845361] ; [10.94845361  7.05154639],0
r4,1,0.606618,0.265129,[43 36] ; [11  7],[43.97938144 35.02061856] ; [10.02061856  7.97938144],0
p1,1,0.624557,0.239515,[ 6 73] ; [ 2 16],[ 6.51546392 72.48453608] ; [ 1.48453608 16.51546392],0
n1,1,0.634153,0.226471,[13 21] ; [3 7],[12.36363636 21.63636364] ; [3.63636364 6.36363636],0
a5,1,0.661326,0.191917,[44 35] ; [9 9],[43.16494845 35.83505155] ; [9.83505155 8.16494845],0
n2,1,0.6885,0.160714,[20 15] ; [5 5],[19.44444444 15.55555556] ; [5.55555556 4.44444444],0
r2,1,0.70674,0.141555,[62 15] ; [13  4],[61.43617021 15.56382979] ; [13.56382979  3.43617021],0
p7,1,0.73176,0.117502,[29 48] ; [ 6 12],[28.36842105 48.63157895] ; [ 6.63157895 11.36842105],0
r1,1,0.732563,0.116771,[51 27] ; [11  7],[50.375 27.625] ; [11.625  6.375],0
d4,1,0.748712,0.102617,[55 23] ; [12  6],[54.4375 23.5625] ; [12.5625  5.4375],0
a7,1,0.790857,0.07033,[46 32] ; [10  8],[45.5 32.5] ; [10.5  7.5],0
u2,1,0.79978,0.064329,[14 19] ; [3 5],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
v1,1,0.806709,0.059865,[24 55] ; [ 6 12],[24.43298969 54.56701031] ; [ 5.56701031 12.43298969],0
a4,1,0.812125,0.056494,[28 50] ; [ 7 11],[28.4375 49.5625] ; [ 6.5625 11.4375],0
p8,1,0.85229,0.03467,[20 58] ; [ 5 13],[20.3125 57.6875] ; [ 4.6875 13.3125],0
b5,1,0.854349,0.033699,[42 37] ; [10  8],[42.35051546 36.64948454] ; [9.64948454 8.35051546],0
b4,1,0.854349,0.033699,[42 37] ; [10  8],[42.35051546 36.64948454] ; [9.64948454 8.35051546],0
u1,1,0.857222,0.032368,[10 69] ; [ 2 16],[ 9.77319588 69.22680412] ; [ 2.22680412 15.77319588],0
a3,1,0.86879,0.02729,[45 33] ; [10  8],[44.6875 33.3125] ; [10.3125  7.6875],0
v3,1,0.870433,0.026604,[22 52] ; [ 5 13],[21.7173913 52.2826087] ; [ 5.2826087 12.7173913],0
s8,1,0.892587,0.018234,[12 66] ; [ 3 15],[12.1875 65.8125] ; [ 2.8125 15.1875],0
s5,1,0.892587,0.018234,[12 66] ; [ 3 15],[12.1875 65.8125] ; [ 2.8125 15.1875],0
a1,1,0.901342,0.015368,[ 8 71] ; [ 2 16],[ 8.1443299 70.8556701] ; [ 1.8556701 16.1443299],0
p6,1,0.909741,0.012852,[12 65] ; [ 3 15],[12.15789474 64.84210526] ; [ 2.84210526 15.15789474],0
n3,1,1.0,0.0,[16 16] ; [5 5],[16. 16.] ; [5. 5.],0
