Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,75.021883,[76 56] ; [ 37 211],[39.25263158 92.74736842] ; [ 73.74736842 174.25263158],1
s6,1,9e-06,19.818266,[94 38] ; [117 130],[73.48812665 58.51187335] ; [137.51187335 109.48812665],1
s2,1,1e-05,19.590515,[75 55] ; [ 84 163],[54.82758621 75.17241379] ; [104.17241379 142.82758621],1
p2,1,2.1e-05,18.092852,[104  28] ; [141 107],[85.10526316 46.89473684] ; [159.89473684  88.10526316],1
s7,1,0.000142,14.471567,[60 63] ; [ 68 170],[43.61218837 79.38781163] ; [ 84.38781163 153.61218837],1
p5,1,0.000165,14.197052,[ 13 115] ; [  4 243],[  5.80266667 122.19733333] ; [ 11.19733333 235.80266667],1
r4,1,0.000505,12.096488,[116  16] ; [180  69],[102.5511811  29.4488189] ; [193.4488189  55.5511811],1
r3,1,0.000857,11.113874,[126   6] ; [205  40],[115.8938992  16.1061008] ; [215.1061008  29.8938992],1
s8,1,0.001011,10.807296,[55 77] ; [ 63 186],[40.88188976 91.11811024] ; [ 77.11811024 171.88188976],0
v4,1,0.001911,9.632815,[125   7] ; [204  40],[115.5  16.5] ; [213.5  30.5],0
u1,1,0.00614,7.508801,[ 28 104] ; [ 27 222],[ 19.05511811 112.94488189] ; [ 35.94488189 213.05511811],0
n6,1,0.011126,6.44501,[108  24] ; [171  74],[97.68700265 34.31299735] ; [181.31299735  63.68700265],0
d5,1,0.012259,6.273067,[110  22] ; [178  70],[100.04210526  31.95789474] ; [187.95789474  60.04210526],0
d1,1,0.016131,5.78858,[77 55] ; [113 136],[65.82677165 66.17322835] ; [124.17322835 124.82677165],0
a6,1,0.017494,5.646081,[95 37] ; [148 100],[84.41052632 47.58947368] ; [158.58947368  89.41052632],0
s5,1,0.023933,5.099452,[40 88] ; [ 50 192],[31.13513514 96.86486486] ; [ 58.86486486 183.13513514],0
p7,1,0.025796,4.969666,[53 78] ; [ 71 173],[43.31733333 87.68266667] ; [ 80.68266667 163.31733333],0
a5,1,0.027839,4.838034,[95 37] ; [151  98],[85.22834646 46.77165354] ; [160.77165354  88.22834646],0
p10,1,0.034451,4.472165,[94 36] ; [151  95],[84.70744681 45.29255319] ; [160.29255319  85.70744681],0
s3,1,0.036975,4.351582,[76 54] ; [116 130],[66.38297872 63.61702128] ; [125.61702128 120.38297872],0
d3,1,0.045127,4.013887,[91 41] ; [145 103],[81.97894737 50.02105263] ; [154.02105263  93.97894737],0
p9,1,0.04856,3.890497,[100  31] ; [161  81],[91.66487936 39.33512064] ; [169.33512064  72.66487936],0
a2,1,0.049605,3.854746,[34 98] ; [ 43 206],[ 26.67716535 105.32283465] ; [ 50.32283465 198.67716535],0
a7,1,0.071162,3.256015,[94 38] ; [153  94],[86.02638522 45.97361478] ; [160.97361478  86.02638522],0
d2,1,0.107564,2.58965,[68 64] ; [105 140],[60.5729443 71.4270557] ; [112.4270557 132.5729443],0
n4,1,0.169201,1.890008,[95 36] ; [162  85],[89.06613757 41.93386243] ; [167.93386243  79.06613757],0
n2,1,0.179914,1.798338,[26  7] ; [63 32],[22.9453125 10.0546875] ; [66.0546875 28.9453125],0
n5,1,0.184748,1.759014,[93 39] ; [156  89],[87.18302387 44.81697613] ; [161.81697613  83.18302387],0
b3,1,0.191472,1.706253,[25 64] ; [51 89],[29.5371179 59.4628821] ; [46.4628821 93.5371179],0
b2,1,0.191472,1.706253,[25 64] ; [51 89],[29.5371179 59.4628821] ; [46.4628821 93.5371179],0
v1,1,0.235032,1.410148,[57 67] ; [ 96 147],[51.69482289 72.30517711] ; [101.30517711 141.69482289],0
s1,1,0.2608,1.264508,[  8 121] ; [  9 237],[  5.848 123.152] ; [ 11.152 234.848],0
