Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000492,12.144976,[24  8] ; [ 8 19],[17.3559322 14.6440678] ; [14.6440678 12.3559322],1
r3,1,0.001841,9.701654,[ 7 24] ; [17 10],[12.82758621 18.17241379] ; [11.17241379 15.82758621],0
r2,1,0.027062,4.886847,[21 10] ; [10 16],[16.85964912 14.14035088] ; [14.14035088 11.85964912],0
d5,1,0.034104,4.489466,[15 17] ; [20  7],[18.98305085 13.01694915] ; [16.01694915 10.98305085],0
d4,1,0.038625,4.2773,[16 15] ; [21  6],[19.77586207 11.22413793] ; [17.22413793  9.77586207],0
p4,1,0.126687,2.332635,[ 5 26] ; [ 9 18],[ 7.48275862 23.51724138] ; [ 6.51724138 20.48275862],0
p1,1,0.131207,2.278167,[ 5 27] ; [ 1 26],[ 3.25423729 28.74576271] ; [ 2.74576271 24.25423729],0
p3,1,0.163487,1.941675,[ 4 28] ; [ 7 19],[ 6.06896552 25.93103448] ; [ 4.93103448 21.06896552],0
u2,1,0.181709,1.783591,[ 4 10] ; [7 6],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
v1,1,0.196006,1.67189,[ 5 27] ; [ 8 19],[ 7.05084746 24.94915254] ; [ 5.94915254 21.05084746],0
a7,1,0.199512,1.645945,[12 19] ; [15 12],[14.43103448 16.56896552] ; [12.56896552 14.43103448],0
d2,1,0.217429,1.521257,[16 14] ; [10 17],[13.68421053 16.31578947] ; [12.31578947 14.68421053],0
d3,1,0.252544,1.309176,[13 19] ; [15 12],[15.18644068 16.81355932] ; [12.81355932 14.18644068],0
n3,1,0.278092,1.176389,[ 7 13] ; [8 7],[ 8.57142857 11.42857143] ; [6.42857143 8.57142857],0
u3,1,0.280828,1.163077,[ 3 12] ; [5 8],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
d1,1,0.283297,1.151206,[11 21] ; [13 14],[13.01694915 18.98305085] ; [10.98305085 16.01694915],0
n6,1,0.283832,1.148649,[17 14] ; [11 16],[14.96551724 16.03448276] ; [13.03448276 13.96551724],0
p2,1,0.296417,1.090244,[10 22] ; [12 15],[11.93220339 20.06779661] ; [10.06779661 16.93220339],0
r1,1,0.307786,1.040152,[ 9 23] ; [11 16],[10.84745763 21.15254237] ; [ 9.15254237 17.84745763],0
p10,1,0.327427,0.959045,[ 5 27] ; [ 7 20],[ 6.50847458 25.49152542] ; [ 5.49152542 21.50847458],0
s2,1,0.327754,0.957753,[ 6 26] ; [ 8 19],[ 7.59322034 24.40677966] ; [ 6.40677966 20.59322034],0
b1,1,0.342591,0.900712,[15 17] ; [16 11],[16.81355932 15.18644068] ; [14.18644068 12.81355932],0
n1,1,0.342782,0.9,[ 8 12] ; [ 4 12],[ 6.66666667 13.33333333] ; [ 5.33333333 10.66666667],0
p8,1,0.361697,0.831991,[ 6 25] ; [ 8 19],[ 7.48275862 23.51724138] ; [ 6.51724138 20.48275862],0
s5,1,0.387077,0.748104,[ 6 25] ; [ 3 24],[ 4.81034483 26.18965517] ; [ 4.18965517 22.81034483],0
a5,1,0.409594,0.679978,[12 20] ; [13 14],[13.55932203 18.44067797] ; [11.44067797 15.55932203],0
p11,1,0.481352,0.495798,[ 8 24] ; [ 9 18],[ 9.22033898 22.77966102] ; [ 7.77966102 19.22033898],0
p6,1,0.513193,0.427551,[ 3 28] ; [ 4 22],[ 3.80701754 27.19298246] ; [ 3.19298246 22.80701754],0
a2,1,0.519738,0.414412,[ 3 29] ; [ 4 23],[ 3.79661017 28.20338983] ; [ 3.20338983 23.79661017],0
a6,1,0.534679,0.385491,[14 18] ; [14 13],[15.18644068 16.81355932] ; [12.81355932 14.18644068],0
s4,1,0.549559,0.358107,[ 8 24] ; [ 5 22],[ 7.05084746 24.94915254] ; [ 5.94915254 21.05084746],0
b3,1,0.628745,0.233766,[ 8 14] ; [ 4 10],[ 7.33333333 14.66666667] ; [4.66666667 9.33333333],0
b2,1,0.628745,0.233766,[ 8 14] ; [ 4 10],[ 7.33333333 14.66666667] ; [4.66666667 9.33333333],0
v2,1,0.639903,0.218869,[10 22] ; [10 17],[10.84745763 21.15254237] ; [ 9.15254237 17.84745763],0
s6,1,0.652811,0.202374,[10 22] ; [ 7 20],[ 9.22033898 22.77966102] ; [ 7.77966102 19.22033898],0
n2,1,0.708959,0.139319,[10 10] ; [7 9],[ 9.44444444 10.55555556] ; [7.55555556 8.44444444],0
s3,1,0.718825,0.129621,[10 22] ; [ 7 19],[ 9.37931034 22.62068966] ; [ 7.62068966 18.37931034],0
p7,1,0.723959,0.124731,[ 9 22] ; [ 9 18],[ 9.62068966 21.37931034] ; [ 8.37931034 18.62068966],0
a3,1,0.820056,0.051744,[17 14] ; [14 13],[16.56896552 14.43103448] ; [14.43103448 12.56896552],0
b4,1,0.8519,0.034855,[17 15] ; [15 12],[17.3559322 14.6440678] ; [14.6440678 12.3559322],0
s8,1,0.860152,0.03104,[ 2 30] ; [ 2 25],[ 2.16949153 29.83050847] ; [ 1.83050847 25.16949153],0
a4,1,0.863534,0.029542,[11 20] ; [ 9 18],[10.68965517 20.31034483] ; [ 9.31034483 17.68965517],0
s1,1,0.869447,0.027015,[ 4 28] ; [ 3 24],[ 3.79661017 28.20338983] ; [ 3.20338983 23.79661017],0
s7,1,0.876347,0.024212,[ 7 24] ; [ 5 19],[ 6.76363636 24.23636364] ; [ 5.23636364 18.76363636],0
b5,1,0.887276,0.020094,[16 16] ; [13 14],[15.72881356 16.27118644] ; [13.27118644 13.72881356],0
v4,1,0.887276,0.020094,[16 16] ; [14 13],[16.27118644 15.72881356] ; [13.72881356 13.27118644],0
v3,1,0.981854,0.000517,[ 6 26] ; [ 5 22],[ 5.96610169 26.03389831] ; [ 5.03389831 21.96610169],0
