Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000108,14.983359,[282  36] ; [25 13],[274.23033708  43.76966292] ; [32.76966292  5.23033708],1
s7,1,0.0003,13.07263,[229  88] ; [16 21],[219.39265537  97.60734463] ; [25.60734463 11.39265537],1
r1,1,0.000476,12.207551,[270  52] ; [23 15],[262.07222222  59.92777778] ; [30.92777778  7.07222222],1
r2,1,0.001915,9.628839,[310   9] ; [33  5],[306.49019608  12.50980392] ; [36.50980392  1.49019608],0
s8,1,0.004287,8.158193,[211 110] ; [16 22],[202.97214485 118.02785515] ; [24.02785515 13.97214485],0
n1,1,0.01251,6.237057,[27 27] ; [ 1 10],[23.26153846 30.73846154] ; [4.73846154 6.26153846],0
s5,1,0.020604,5.359995,[155 156] ; [11 26],[148.35057471 162.64942529] ; [17.64942529 19.35057471],0
p12,1,0.047046,3.943739,[ 45 276] ; [ 1 37],[ 41.13091922 279.86908078] ; [ 4.86908078 33.13091922],0
n3,1,0.069602,3.292374,[41 15] ; [5 6],[38.44776119 17.55223881] ; [7.55223881 3.44776119],0
u2,1,0.078204,3.101846,[47 26] ; [5 8],[44.13953488 28.86046512] ; [7.86046512 5.13953488],0
a3,1,0.11462,2.489335,[249  73] ; [25 13],[245.07777778  76.92222222] ; [28.92222222  9.07777778],0
v3,1,0.125624,2.345763,[137 170] ; [12 26],[132.5884058 174.4115942] ; [16.4115942 21.5884058],0
b1,1,0.165476,1.923456,[122 201] ; [10 28],[118.10526316 204.89473684] ; [13.89473684 24.10526316],0
p9,1,0.184354,1.762168,[292  29] ; [32  6],[289.70473538  31.29526462] ; [34.29526462  3.70473538],0
r4,1,0.219182,1.509717,[299  24] ; [33  5],[297.05263158  25.94736842] ; [34.94736842  3.05263158],0
d2,1,0.240277,1.378967,[168 154] ; [16 22],[164.57777778 157.42222222] ; [19.42222222 18.57777778],0
u3,1,0.242393,1.366622,[52 22] ; [7 6],[50.18390805 23.81609195] ; [8.81609195 4.18390805],0
p6,1,0.26246,1.255735,[137 181] ; [20 18],[140.24157303 177.75842697] ; [16.75842697 21.24157303],0
p3,1,0.264505,1.245025,[182 138] ; [18 20],[178.77094972 141.22905028] ; [21.22905028 16.77094972],0
b4,1,0.297382,1.085896,[190 133] ; [19 19],[187. 136.] ; [22. 16.],0
p8,1,0.312227,1.02123,[182 136] ; [25 13],[184.90449438 133.09550562] ; [22.09550562 15.90449438],0
r3,1,0.324245,0.971746,[314   8] ; [36  2],[313.05555556   8.94444444] ; [36.94444444  1.05555556],0
n4,1,0.362431,0.829453,[266  57] ; [29  9],[263.94736842  59.05263158] ; [31.05263158  6.94736842],0
s4,1,0.373986,0.790378,[ 74 245] ; [ 6 30],[ 71.88732394 247.11267606] ; [ 8.11267606 27.88732394],0
p10,1,0.411704,0.673875,[292  29] ; [33  5],[290.59888579  30.40111421] ; [34.40111421  3.59888579],0
a2,1,0.436024,0.606723,[ 87 236] ; [ 8 30],[ 85. 238.] ; [10. 28.],0
b5,1,0.44979,0.571181,[192 131] ; [25 13],[194.15789474 128.84210526] ; [22.84210526 15.15789474],0
n6,1,0.4628,0.539114,[281  38] ; [35  3],[282.36414566  36.63585434] ; [33.63585434  4.36414566],0
a4,1,0.492116,0.471895,[155 168] ; [16 22],[153. 170.] ; [18. 20.],0
p1,1,0.497737,0.459759,[ 27 293] ; [ 2 36],[ 25.92178771 294.07821229] ; [ 3.07821229 34.92178771],0
d4,1,0.52166,0.41061,[282  39] ; [32  6],[280.7632312  40.2367688] ; [33.2367688  4.7632312],0
p5,1,0.531051,0.39238,[ 45 271] ; [ 4 34],[ 43.74011299 272.25988701] ; [ 5.25988701 32.74011299],0
n5,1,0.582761,0.301793,[265  56] ; [30  8],[263.77437326  57.22562674] ; [31.22562674  6.77437326],0
p4,1,0.618105,0.24854,[215 105] ; [24 14],[213.63128492 106.36871508] ; [25.36871508 12.63128492],0
a1,1,0.623774,0.240598,[ 19 304] ; [ 3 35],[ 19.68421053 303.31578947] ; [ 2.31578947 35.68421053],0
a6,1,0.712476,0.135816,[210 111] ; [26 12],[211.01949861 109.98050139] ; [24.98050139 13.01949861],0
p2,1,0.731675,0.11758,[276  44] ; [32  6],[275.30726257  44.69273743] ; [32.69273743  5.30726257],0
p7,1,0.739847,0.110261,[219  89] ; [28 10],[219.87283237  88.12716763] ; [27.12716763 10.87283237],0
a7,1,0.770416,0.085165,[230  92] ; [28 10],[230.76666667  91.23333333] ; [27.23333333 10.76666667],0
