Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000144,14.444586,[38  9] ; [10 17],[30.48648649 16.51351351] ; [17.51351351  9.48648649],1
d2,1,0.000346,12.80367,[27 20] ; [ 4 23],[19.68918919 27.31081081] ; [11.31081081 15.68918919],1
p9,1,0.001191,10.503599,[45  2] ; [17  8],[40.47222222  6.52777778] ; [21.52777778  3.47222222],0
a4,1,0.002981,8.818771,[21 26] ; [ 3 24],[15.24324324 31.75675676] ; [ 8.75675676 18.24324324],0
v1,1,0.003237,8.668896,[29 17] ; [ 7 19],[23. 23.] ; [13. 13.],0
d1,1,0.004603,8.029037,[30 17] ; [ 8 19],[24.13513514 22.86486486] ; [13.86486486 13.13513514],0
p7,1,0.006234,7.481509,[33 11] ; [11 15],[27.65714286 16.34285714] ; [16.34285714  9.65714286],0
p11,1,0.008605,6.903029,[38  9] ; [14 13],[33.02702703 13.97297297] ; [18.97297297  8.02702703],0
p10,1,0.010891,6.483064,[43  4] ; [17  8],[39.16666667  7.83333333] ; [20.83333333  4.16666667],0
b3,1,0.023789,5.109917,[16 13] ; [ 2 10],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
b2,1,0.023789,5.109917,[16 13] ; [ 2 10],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
d3,1,0.028605,4.791242,[36 11] ; [14 13],[31.75675676 15.24324324] ; [18.24324324  8.75675676],0
s5,1,0.033076,4.541833,[25 21] ; [ 7 18],[20.73239437 25.26760563] ; [11.26760563 13.73239437],0
r4,1,0.044771,4.027229,[44  3] ; [21  6],[41.28378378  5.71621622] ; [23.71621622  3.28378378],0
p3,1,0.045733,3.991415,[27 20] ; [ 9 18],[22.86486486 24.13513514] ; [13.13513514 13.86486486],0
u1,1,0.061359,3.500276,[ 9 38] ; [ 1 26],[ 6.35135135 40.64864865] ; [ 3.64864865 23.35135135],0
v3,1,0.073116,3.211636,[16 28] ; [ 4 21],[12.75362319 31.24637681] ; [ 7.24637681 17.75362319],0
a6,1,0.09432,2.799054,[35 12] ; [15 12],[31.75675676 15.24324324] ; [18.24324324  8.75675676],0
d4,1,0.108316,2.578618,[39  8] ; [18  9],[36.2027027 10.7972973] ; [20.7972973  6.2027027],0
b4,1,0.133064,2.256384,[31 16] ; [13 14],[27.94594595 19.05405405] ; [16.05405405 10.94594595],0
v2,1,0.174643,1.842628,[24 18] ; [10 15],[21.31343284 20.68656716] ; [12.68656716 12.31343284],0
p4,1,0.257232,1.283594,[29 18] ; [13 14],[26.67567568 20.32432432] ; [15.32432432 11.67567568],0
r2,1,0.25802,1.27935,[45  2] ; [24  3],[43.82432432  3.17567568] ; [25.17567568  1.82432432],0
r1,1,0.354521,0.85721,[36 11] ; [18  9],[34.2972973 12.7027027] ; [19.7027027  7.2972973],0
d5,1,0.354521,0.85721,[36 11] ; [18  9],[34.2972973 12.7027027] ; [19.7027027  7.2972973],0
s2,1,0.354521,0.85721,[36 11] ; [18  9],[34.2972973 12.7027027] ; [19.7027027  7.2972973],0
u3,1,0.366444,0.815686,[6 3] ; [14  3],[6.92307692 2.07692308] ; [13.07692308  3.92307692],0
p2,1,0.37627,0.782852,[36 11] ; [23  4],[37.47297297  9.52702703] ; [21.52702703  5.47297297],0
n6,1,0.41245,0.671728,[30 16] ; [15 12],[28.35616438 17.64383562] ; [16.64383562 10.35616438],0
p5,1,0.41497,0.664516,[ 4 42] ; [ 1 26],[ 3.15068493 42.84931507] ; [ 1.84931507 25.15068493],0
n2,1,0.4176,0.657059,[14  4] ; [5 3],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
b5,1,0.56448,0.332006,[31 16] ; [16 11],[29.85135135 17.14864865] ; [17.14864865  9.85135135],0
s4,1,0.607218,0.264246,[13 34] ; [ 9 18],[13.97297297 33.02702703] ; [ 8.02702703 18.97297297],0
p1,1,0.62229,0.242662,[ 7 39] ; [ 3 24],[ 6.30136986 39.69863014] ; [ 3.69863014 23.30136986],0
s6,1,0.632087,0.229241,[40  7] ; [21  5],[39.2739726  7.7260274] ; [21.7260274  4.2739726],0
p12,1,0.648339,0.208001,[ 3 44] ; [ 1 25],[ 2.57534247 44.42465753] ; [ 1.42465753 24.57534247],0
v4,1,0.687338,0.161982,[46  1] ; [26  1],[45.72972973  1.27027027] ; [26.27027027  0.72972973],0
p6,1,0.696259,0.152393,[16 31] ; [ 8 19],[15.24324324 31.75675676] ; [ 8.75675676 18.24324324],0
s3,1,0.702388,0.146,[35 12] ; [19  8],[34.2972973 12.7027027] ; [19.7027027  7.2972973],0
s7,1,0.723545,0.125121,[30 15] ; [17  7],[30.65217391 14.34782609] ; [16.34782609  7.65217391],0
a7,1,0.749385,0.102049,[35 12] ; [21  6],[35.56756757 11.43243243] ; [20.43243243  6.56756757],0
p8,1,0.773257,0.083011,[26 21] ; [14 13],[25.40540541 21.59459459] ; [14.59459459 12.40540541],0
n3,1,0.836701,0.042484,[12  6] ; [5 3],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
n1,1,0.861052,0.030637,[ 7 10] ; [3 5],[ 6.8 10.2] ; [3.2 4.8],0
n5,1,0.879089,0.023142,[20 27] ; [11 16],[19.68918919 27.31081081] ; [11.31081081 15.68918919],0
u2,1,0.914641,0.011489,[6 3] ; [11  5],[6.12 2.88] ; [10.88  5.12],0
b1,1,0.97879,0.000707,[19 28] ; [11 16],[19.05405405 27.94594595] ; [10.94594595 16.05405405],0
