Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.7e-05,15.887667,[ 96 142] ; [42 19],[109.84615385 128.15384615] ; [28.15384615 32.84615385],1
s6,1,0.000373,12.662708,[137  99] ; [49 10],[148.8  87.2] ; [37.2 21.8],1
a8,1,0.001679,9.870694,[ 39 182] ; [ 1 59],[ 31.45907473 189.54092527] ; [ 8.54092527 51.45907473],0
s3,1,0.003778,8.387561,[122 115] ; [44 17],[132.02013423 104.97986577] ; [33.97986577 27.02013423],0
s5,1,0.004986,7.884686,[ 63 174] ; [26 31],[ 71.74489796 165.25510204] ; [17.25510204 39.74489796],0
b3,1,0.0076,7.125434,[66 87] ; [ 6 27],[59.22580645 93.77419355] ; [12.77419355 20.22580645],0
b2,1,0.0076,7.125434,[66 87] ; [ 6 27],[59.22580645 93.77419355] ; [12.77419355 20.22580645],0
s7,1,0.012341,6.261171,[ 98 131] ; [36 23],[106.54861111 122.45138889] ; [27.45138889 31.54861111],0
n4,1,0.014107,6.02466,[210  29] ; [46 15],[203.94666667  35.05333333] ; [52.05333333  8.94666667],0
p2,1,0.02172,5.268075,[178  60] ; [54  7],[184.66889632  53.33110368] ; [47.33110368 13.66889632],0
s8,1,0.046051,3.979734,[ 88 151] ; [31 30],[ 94.80333333 144.19666667] ; [24.19666667 36.80333333],0
p4,1,0.04808,3.907194,[127 112] ; [41 20],[133.84 105.16] ; [34.16 26.84],0
b1,1,0.085968,2.948298,[116 124] ; [22 39],[110.03322259 129.96677741] ; [27.96677741 33.03322259],0
p8,1,0.088106,2.908638,[107 130] ; [35 26],[112.93288591 124.06711409] ; [29.06711409 31.93288591],0
n1,1,0.096202,2.767406,[33 30] ; [ 7 15],[29.64705882 33.35294118] ; [10.35294118 11.64705882],0
p6,1,0.125841,2.343073,[ 73 165] ; [25 36],[ 78.00668896 159.99331104] ; [19.99331104 41.00668896],0
n3,1,0.141947,2.156729,[34 28] ; [16  6],[36.9047619 25.0952381] ; [13.0952381  8.9047619],0
a1,1,0.151775,2.05432,[ 15 225] ; [ 1 60],[ 12.75747508 227.24252492] ; [ 3.24252492 57.75747508],0
v3,1,0.152439,2.047674,[ 50 185] ; [ 8 53],[ 46.0472973 188.9527027] ; [11.9527027 49.0472973],0
p3,1,0.156426,2.008439,[ 97 141] ; [31 30],[101.88628763 136.11371237] ; [26.11371237 34.88628763],0
p7,1,0.158504,1.988444,[125 110] ; [38 22],[129.84745763 105.15254237] ; [33.15254237 26.84745763],0
d4,1,0.233012,1.42238,[178  60] ; [41 20],[174.32107023  63.67892977] ; [44.67892977 16.32107023],0
b4,1,0.245788,1.347088,[134 106] ; [29 32],[129.96677741 110.03322259] ; [33.03322259 27.96677741],0
p11,1,0.27649,1.184262,[168  72] ; [47 14],[171.42857143  68.57142857] ; [43.57142857 17.42857143],0
v4,1,0.281601,1.159347,[213  27] ; [57  4],[215.28239203  24.71760797] ; [54.71760797  6.28239203],0
d3,1,0.308045,1.039038,[139  99] ; [40 21],[142.48160535  95.51839465] ; [36.51839465 24.48160535],0
a4,1,0.323665,0.974078,[106 131] ; [23 38],[102.59395973 134.40604027] ; [26.40604027 34.59395973],0
n6,1,0.323885,0.973195,[203  35] ; [55  6],[205.36454849  32.63545151] ; [52.63545151  8.36454849],0
n2,1,0.329865,0.949429,[43 22] ; [17  5],[44.82758621 20.17241379] ; [15.17241379  6.82758621],0
p5,1,0.345733,0.889058,[ 34 201] ; [ 6 55],[ 31.75675676 203.24324324] ; [ 8.24324324 52.75675676],0
p10,1,0.399648,0.709384,[174  63] ; [48 13],[176.55704698  60.44295302] ; [45.44295302 15.55704698],0
d2,1,0.5174,0.419072,[112 125] ; [26 35],[109.75167785 127.24832215] ; [28.24832215 32.75167785],0
p9,1,0.530317,0.393784,[184  51] ; [50 11],[185.77702703  49.22297297] ; [48.22297297 12.77702703],0
r2,1,0.607996,0.263103,[220  19] ; [54  6],[219.01672241  19.98327759] ; [54.98327759  5.01672241],0
u2,1,0.630329,0.231614,[39 41] ; [ 9 12],[38.01980198 41.98019802] ; [ 9.98019802 11.01980198],0
r1,1,0.644622,0.212748,[171  67] ; [42 19],[169.5451505  68.4548495] ; [43.4548495 17.5451505],0
u1,1,0.660242,0.19323,[ 34 206] ; [10 51],[ 35.08305648 204.91694352] ; [ 8.91694352 52.08305648],0
a6,1,0.664185,0.18848,[156  83] ; [38 23],[154.55333333  84.44666667] ; [39.44666667 21.55333333],0
d1,1,0.728672,0.120334,[124 116] ; [30 31],[122.79069767 117.20930233] ; [31.20930233 29.79069767],0
a7,1,0.744705,0.106034,[151  89] ; [37 24],[149.90033223  90.09966777] ; [38.09966777 22.90033223],0
p1,1,0.744795,0.105956,[ 27 212] ; [ 6 55],[ 26.29 212.71] ; [ 6.71 54.29],0
r4,1,0.751389,0.100368,[197  43] ; [49 12],[196.1461794  43.8538206] ; [49.8538206 11.1461794],0
s1,1,0.759059,0.094075,[ 13 222] ; [ 4 57],[ 13.49662162 221.50337838] ; [ 3.50337838 57.49662162],0
a5,1,0.768767,0.086429,[166  74] ; [41 20],[165.04983389  74.95016611] ; [41.95016611 19.04983389],0
a3,1,0.774002,0.082451,[160  77] ; [40 21],[159.06040268  77.93959732] ; [40.93959732 20.06040268],0
a2,1,0.786776,0.07317,[ 51 189] ; [12 49],[ 50.23255814 189.76744186] ; [12.76744186 48.23255814],0
p12,1,0.84324,0.039105,[ 14 224] ; [ 4 57],[ 14.3277592 223.6722408] ; [ 3.6722408 57.3277592],0
d5,1,0.870401,0.026618,[178  60] ; [45 16],[177.50501672  60.49498328] ; [45.49498328 15.50501672],0
v1,1,0.908263,0.013278,[ 94 140] ; [25 36],[ 94.39322034 139.60677966] ; [24.60677966 36.39322034],0
r3,1,0.923941,0.009115,[206  33] ; [52  8],[206.22742475  32.77257525] ; [51.77257525  8.22742475],0
