Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-06,21.160594,[25 15] ; [ 1 23],[16.25 23.75] ; [ 9.75 14.25],1
d4,1,0.000757,11.344703,[33  7] ; [10 14],[26.875 13.125] ; [16.125  7.875],1
a5,1,0.001017,10.796221,[30 10] ; [ 8 16],[23.75 16.25] ; [14.25  9.75],0
d2,1,0.002309,9.28578,[24 16] ; [ 5 19],[18.125 21.875] ; [10.875 13.125],0
a4,1,0.007374,7.179446,[22 18] ; [ 5 19],[16.875 23.125] ; [10.125 13.875],0
a3,1,0.012351,6.259806,[30 10] ; [10 13],[25.3968254 14.6031746] ; [14.6031746  8.3968254],0
d3,1,0.016871,5.709743,[24 16] ; [ 7 17],[19.375 20.625] ; [11.625 12.375],0
a6,1,0.038867,4.266667,[24 16] ; [ 8 16],[20. 20.] ; [12. 12.],0
a8,1,0.049441,3.860317,[ 2 38] ; [ 5 19],[ 4.375 35.625] ; [ 2.625 21.375],0
a2,1,0.077734,3.11165,[ 8 32] ; [ 1 23],[ 5.625 34.375] ; [ 3.375 20.625],0
a7,1,0.081212,3.040469,[24 16] ; [ 9 15],[20.625 19.375] ; [12.375 11.625],0
n5,1,0.09653,2.761957,[14 26] ; [13 10],[17.14285714 22.85714286] ; [ 9.85714286 13.14285714],0
u3,1,0.09769,2.742857,[7 3] ; [5 9],[5. 5.] ; [7. 7.],0
n1,1,0.15115,2.060606,[ 9 13] ; [8 4],[11. 11.] ; [6. 6.],0
s5,1,0.153545,2.03667,[ 6 30] ; [ 1 22],[ 4.27118644 31.72881356] ; [ 2.72881356 20.27118644],0
v4,1,0.164775,1.929846,[27 13] ; [12 12],[24.375 15.625] ; [14.625  9.375],0
s7,1,0.165372,1.924404,[10 25] ; [ 3 20],[ 7.84482759 27.15517241] ; [ 5.15517241 17.84482759],0
b4,1,0.175033,1.839296,[22 18] ; [ 9 15],[19.375 20.625] ; [11.625 12.375],0
n2,1,0.190732,1.711957,[12 11] ; [9 3],[13.8  9.2] ; [7.2 4.8],0
s8,1,0.213336,1.548642,[ 8 32] ; [ 2 22],[ 6.25 33.75] ; [ 3.75 20.25],0
v2,1,0.219928,1.504839,[16 21] ; [ 6 16],[13.79661017 23.20338983] ; [ 8.20338983 13.79661017],0
n4,1,0.270375,1.214844,[16 24] ; [13 11],[18.125 21.875] ; [10.875 13.125],0
s6,1,0.286181,1.1375,[13 26] ; [ 5 19],[11.14285714 27.85714286] ; [ 6.85714286 17.14285714],0
u2,1,0.327187,0.96,[7 3] ; [7 7],[5.83333333 4.16666667] ; [8.16666667 5.83333333],0
b5,1,0.330787,0.945813,[20 20] ; [ 9 15],[18.125 21.875] ; [10.875 13.125],0
b1,1,0.365218,0.819869,[23 17] ; [11 13],[21.25 18.75] ; [12.75 11.25],0
b2,1,0.374753,0.787843,[ 8 16] ; [8 9],[ 9.36585366 14.63414634] ; [ 6.63414634 10.36585366],0
b3,1,0.374753,0.787843,[ 8 16] ; [8 9],[ 9.36585366 14.63414634] ; [ 6.63414634 10.36585366],0
r2,1,0.433533,0.613341,[31  8] ; [17  7],[29.71428571  9.28571429] ; [18.28571429  5.71428571],0
p9,1,0.463686,0.536981,[19 20] ; [ 9 14],[17.61290323 21.38709677] ; [10.38709677 12.61290323],0
p11,1,0.536149,0.382724,[12 28] ; [ 9 15],[13.125 26.875] ; [ 7.875 16.125],0
p1,1,0.605125,0.267335,[ 5 35] ; [ 2 22],[ 4.375 35.625] ; [ 2.625 21.375],0
s3,1,0.620085,0.245748,[17 22] ; [12 12],[17.95238095 21.04761905] ; [11.04761905 12.95238095],0
p4,1,0.629514,0.232721,[ 9 31] ; [ 4 19],[ 8.25396825 31.74603175] ; [ 4.74603175 18.25396825],0
a1,1,0.642499,0.215488,[ 5 35] ; [ 4 20],[ 5.625 34.375] ; [ 3.375 20.625],0
r4,1,0.746766,0.104268,[20 20] ; [11 13],[19.375 20.625] ; [11.625 12.375],0
p3,1,0.77706,0.080175,[ 7 32] ; [ 5 19],[ 7.42857143 31.57142857] ; [ 4.57142857 19.42857143],0
v1,1,0.78061,0.077576,[12 28] ; [ 8 16],[12.5 27.5] ; [ 7.5 16.5],0
s1,1,0.783182,0.075721,[ 4 35] ; [ 3 21],[ 4.33333333 34.66666667] ; [ 2.66666667 21.33333333],0
p6,1,0.810959,0.057211,[ 4 34] ; [ 3 21],[ 4.29032258 33.70967742] ; [ 2.70967742 21.29032258],0
r3,1,0.840077,0.040721,[26 14] ; [15  9],[25.625 14.375] ; [15.375  8.625],0
p8,1,0.869554,0.02697,[ 8 32] ; [ 5 18],[ 8.25396825 31.74603175] ; [ 4.74603175 18.25396825],0
v3,1,0.878159,0.023502,[ 9 28] ; [ 6 17],[ 9.25 27.75] ; [ 5.75 17.25],0
s2,1,0.945198,0.004725,[13 27] ; [ 8 16],[13.125 26.875] ; [ 7.875 16.125],0
r1,1,0.947893,0.004271,[23 17] ; [14 10],[23.125 16.875] ; [13.875 10.125],0
p10,1,0.958342,0.002728,[15 24] ; [ 9 14],[15.09677419 23.90322581] ; [ 8.90322581 14.09677419],0
p7,1,0.98429,0.000388,[10 28] ; [ 6 17],[ 9.96721311 28.03278689] ; [ 6.03278689 16.96721311],0
n3,1,1.0,0.0,[12 10] ; [6 5],[12. 10.] ; [6. 5.],0
