Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,1e-05,19.59375,[55 21] ; [11 27],[44. 32.] ; [22. 16.],1
a6,1,0.004437,8.095652,[53 23] ; [16 22],[46. 30.] ; [23. 15.],0
d3,1,0.006372,7.441953,[59 17] ; [20 18],[52.66666667 23.33333333] ; [26.33333333 11.66666667],0
v4,1,0.007602,7.125,[75  1] ; [33  5],[72.  4.] ; [36.  2.],0
d4,1,0.019459,5.45977,[63 13] ; [24 14],[58. 18.] ; [29.  9.],0
a2,1,0.020868,5.337793,[20 56] ; [ 3 35],[15.33333333 60.66666667] ; [ 7.66666667 30.33333333],0
r4,1,0.062998,3.45664,[68  8] ; [29  9],[64.66666667 11.33333333] ; [32.33333333  5.66666667],0
p4,1,0.067799,3.335526,[55 21] ; [21 17],[50.66666667 25.33333333] ; [25.33333333 12.66666667],0
v2,1,0.085759,2.952236,[38 37] ; [12 24],[33.78378378 41.21621622] ; [16.21621622 19.78378378],0
d5,1,0.11448,2.491259,[62 14] ; [26 12],[58.66666667 17.33333333] ; [29.33333333  8.66666667],0
r2,1,0.122204,2.388842,[70  5] ; [32  6],[67.69911504  7.30088496] ; [34.30088496  3.69911504],0
r3,1,0.128305,2.312896,[69  5] ; [32  6],[66.73214286  7.26785714] ; [34.26785714  3.73214286],0
s2,1,0.136249,2.21982,[55 20] ; [22 15],[51.5625 23.4375] ; [25.4375 11.5625],0
p1,1,0.140596,2.171429,[ 4 72] ; [ 5 33],[ 6. 70.] ; [ 3. 35.],0
s7,1,0.143387,2.141232,[40 34] ; [26 12],[43.60714286 30.39285714] ; [22.39285714 15.60714286],0
b4,1,0.14357,2.139268,[45 31] ; [17 21],[41.33333333 34.66666667] ; [20.66666667 17.33333333],0
s1,1,0.161352,1.961514,[ 3 72] ; [ 4 33],[ 4.6875 70.3125] ; [ 2.3125 34.6875],0
u1,1,0.163622,1.940426,[16 60] ; [ 4 34],[13.33333333 62.66666667] ; [ 6.66666667 31.33333333],0
b1,1,0.173708,1.850649,[26 50] ; [18 20],[29.33333333 46.66666667] ; [14.66666667 23.33333333],0
d1,1,0.184242,1.763068,[44 32] ; [17 21],[40.66666667 35.33333333] ; [20.33333333 17.66666667],0
p11,1,0.186765,1.742953,[58 18] ; [33  5],[60.66666667 15.33333333] ; [30.33333333  7.66666667],0
a5,1,0.199746,1.644231,[55 21] ; [23 15],[52. 24.] ; [26. 12.],0
p7,1,0.229616,1.44324,[47 26] ; [28  9],[49.77272727 23.22727273] ; [25.22727273 11.77272727],0
p6,1,0.246094,1.345345,[35 40] ; [13 24],[32.14285714 42.85714286] ; [15.85714286 21.14285714],0
