Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6.9e-05,15.850611,[21  6] ; [ 9 25],[13.27868852 13.72131148] ; [16.72131148 17.27868852],1
p10,1,0.000183,13.996542,[19  8] ; [ 8 27],[11.75806452 15.24193548] ; [15.24193548 19.75806452],1
p6,1,0.000253,13.3875,[11 17] ; [ 1 34],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],1
p4,1,0.00068,11.544012,[15 13] ; [ 5 31],[ 8.75 19.25] ; [11.25 24.75],1
r3,1,0.000983,10.858974,[23  4] ; [16 20],[16.71428571 10.28571429] ; [22.28571429 13.71428571],1
p11,1,0.003012,8.800249,[19  9] ; [11 25],[13.125 14.875] ; [16.875 19.125],0
n6,1,0.003856,8.350237,[20  7] ; [13 22],[14.37096774 12.62903226] ; [18.62903226 16.37096774],0
s8,1,0.006915,7.29498,[10 18] ; [ 3 33],[ 5.6875 22.3125] ; [ 7.3125 28.6875],0
r4,1,0.009732,6.683375,[13 15] ; [ 6 30],[ 8.3125 19.6875] ; [10.6875 25.3125],0
s6,1,0.011094,6.450132,[13 13] ; [ 7 29],[ 8.38709677 17.61290323] ; [11.61290323 24.38709677],0
p3,1,0.01993,5.417989,[11 17] ; [ 5 31],[ 7. 21.] ; [ 9. 27.],0
p7,1,0.020866,5.337951,[13 15] ; [ 7 29],[ 8.75 19.25] ; [11.25 24.75],0
v2,1,0.023669,5.11875,[15 13] ; [ 9 26],[10.66666667 17.33333333] ; [13.33333333 21.66666667],0
v1,1,0.024768,5.04,[12 16] ; [ 6 29],[ 8. 20.] ; [10. 25.],0
s2,1,0.032779,4.557292,[10 17] ; [ 5 31],[ 6.42857143 20.57142857] ; [ 8.57142857 27.42857143],0
n3,1,0.033179,4.536526,[6 1] ; [ 6 10],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
n1,1,0.046547,3.961685,[1 6] ; [10  7],[3.20833333 3.79166667] ; [7.79166667 9.20833333],0
p8,1,0.047221,3.9375,[10 18] ; [ 5 30],[ 6.66666667 21.33333333] ; [ 8.33333333 26.66666667],0
r1,1,0.056811,3.628118,[16 12] ; [12 24],[12.25 15.75] ; [15.75 20.25],0
s3,1,0.062045,3.481853,[14 13] ; [10 25],[10.4516129 16.5483871] ; [13.5483871 21.4516129],0
p5,1,0.095407,2.78069,[ 4 24] ; [ 1 34],[ 2.22222222 25.77777778] ; [ 2.77777778 32.22222222],0
