Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000144,14.449747,[141  37] ; [11 14],[133.28078818  44.71921182] ; [18.71921182  6.28078818],1
r4,1,0.001148,10.572415,[165  13] ; [18  7],[160.46305419  17.53694581] ; [22.53694581  2.46305419],0
s2,1,0.002508,9.134597,[131  47] ; [11 14],[124.51231527  53.48768473] ; [17.48768473  7.51231527],0
r3,1,0.002696,9.002601,[173   5] ; [21  4],[170.10837438   7.89162562] ; [23.89162562  1.10837438],0
r1,1,0.003994,8.286744,[148  28] ; [15 10],[142.72636816  33.27363184] ; [20.27363184  4.72636816],0
p9,1,0.016658,5.732074,[163  15] ; [19  6],[159.5862069  18.4137931] ; [22.4137931  2.5862069],0
r2,1,0.045968,3.982759,[168   6] ; [21  3],[166.09090909   7.90909091] ; [22.90909091  1.09090909],0
s5,1,0.046082,3.978577,[74 96] ; [ 5 18],[ 69.58549223 100.41450777] ; [ 9.41450777 13.58549223],0
p2,1,0.075299,3.163559,[152  25] ; [18  7],[148.96039604  28.03960396] ; [21.03960396  3.96039604],0
d5,1,0.083053,3.004118,[147  31] ; [17  8],[143.80295567  34.19704433] ; [20.19704433  4.80295567],0
s7,1,0.085064,2.965387,[129  43] ; [14 10],[125.48979592  46.51020408] ; [17.51020408  6.48979592],0
a8,1,0.097517,2.745693,[ 31 135] ; [ 1 21],[ 28.25531915 137.74468085] ; [ 3.74468085 18.25531915],0
p10,1,0.097761,2.741697,[155  21] ; [19  6],[152.35820896  23.64179104] ; [21.64179104  3.35820896],0
b5,1,0.108145,2.581116,[115  63] ; [12 13],[111.35960591  66.64039409] ; [15.64039409  9.35960591],0
n4,1,0.128793,2.306988,[137  39] ; [16  9],[133.97014925  42.02985075] ; [19.02985075  5.97014925],0
a7,1,0.156636,2.006407,[131  47] ; [15 10],[128.01970443  49.98029557] ; [17.98029557  7.01970443],0
p11,1,0.157461,1.998445,[143  35] ; [17  8],[140.2955665  37.7044335] ; [19.7044335  5.2955665],0
b1,1,0.161621,1.95899,[ 76 102] ; [ 7 18],[ 72.77832512 105.22167488] ; [10.22167488 14.77832512],0
a6,1,0.161904,1.95635,[118  60] ; [13 12],[114.86699507  63.13300493] ; [16.13300493  8.86699507],0
p3,1,0.191575,1.705461,[96 82] ; [10 15],[92.94581281 85.05418719] ; [13.05418719 11.94581281],0
p7,1,0.226241,1.464337,[122  51] ; [14 10],[119.43147208  53.56852792] ; [16.56852792  7.43147208],0
p4,1,0.242655,1.365103,[120  57] ; [14 11],[117.41584158  59.58415842] ; [16.58415842  8.41584158],0
p5,1,0.257011,1.284788,[ 21 156] ; [ 1 23],[ 19.37313433 157.62686567] ; [ 2.62686567 21.37313433],0
v1,1,0.259869,1.269457,[88 81] ; [10 15],[85.37113402 83.62886598] ; [12.62886598 12.37113402],0
s1,1,0.271877,1.207254,[  6 170] ; [ 2 23],[  7.00497512 168.99502488] ; [ 0.99502488 24.00497512],0
p6,1,0.436917,0.604365,[85 91] ; [10 15],[83.1840796 92.8159204] ; [11.8159204 13.1840796],0
b3,1,0.452464,0.564471,[49 73] ; [8 8],[50.39130435 71.60869565] ; [6.60869565 9.39130435],0
b2,1,0.452464,0.564471,[49 73] ; [8 8],[50.39130435 71.60869565] ; [6.60869565 9.39130435],0
a2,1,0.492117,0.471895,[ 47 131] ; [ 5 20],[ 45.59605911 132.40394089] ; [ 6.40394089 18.59605911],0
a5,1,0.539474,0.376516,[138  40] ; [18  7],[136.78817734  41.21182266] ; [19.21182266  5.78817734],0
a3,1,0.584217,0.299466,[137  41] ; [18  7],[135.91133005  42.08866995] ; [19.08866995  5.91133005],0
v4,1,0.600144,0.274779,[173   4] ; [24  1],[172.61881188   4.38118812] ; [24.38118812  0.61881188],0
d2,1,0.60423,0.268664,[97 81] ; [15 10],[98.20689655 79.79310345] ; [13.79310345 11.20689655],0
n5,1,0.604314,0.268538,[134  43] ; [17  7],[132.97014925  44.02985075] ; [18.02985075  5.97014925],0
d3,1,0.612985,0.255851,[116  62] ; [15 10],[114.86699507  63.13300493] ; [16.13300493  8.86699507],0
d4,1,0.612999,0.25583,[143  35] ; [19  6],[142.04926108  35.95073892] ; [19.95073892  5.04926108],0
n2,1,0.629558,0.232661,[30 13] ; [7 2],[30.59615385 12.40384615] ; [6.40384615 2.59615385],0
a4,1,0.641258,0.2171,[80 98] ; [10 15],[78.91625616 99.08374384] ; [11.08374384 13.91625616],0
p8,1,0.649549,0.206469,[100  76] ; [13 12],[98.94527363 77.05472637] ; [14.05472637 10.94527363],0
d1,1,0.654948,0.199718,[108  70] ; [14 11],[106.97536946  71.02463054] ; [15.02463054  9.97536946],0
n3,1,0.743855,0.106767,[31 12] ; [6 3],[30.59615385 12.40384615] ; [6.40384615 2.59615385],0
u2,1,0.751412,0.100348,[26 15] ; [4 3],[25.625 15.375] ; [4.375 2.625],0
n1,1,0.761544,0.092084,[19 24] ; [4 4],[19.39215686 23.60784314] ; [3.60784314 4.39215686],0
v2,1,0.839573,0.040982,[ 72 100] ; [11 14],[72.46700508 99.53299492] ; [10.53299492 14.46700508],0
u1,1,0.864301,0.029208,[ 40 138] ; [ 6 19],[ 40.33497537 137.66502463] ; [ 5.66502463 19.33497537],0
u3,1,0.868604,0.027368,[28 13] ; [5 2],[28.1875 12.8125] ; [4.8125 2.1875],0
s4,1,0.913813,0.011714,[ 44 132] ; [ 6 19],[ 43.78109453 132.21890547] ; [ 6.21890547 18.78109453],0
n6,1,0.922854,0.009378,[150  27] ; [21  4],[149.83663366  27.16336634] ; [21.16336634  3.83663366],0
b4,1,0.944143,0.004909,[101  77] ; [14 11],[100.83743842  77.16256158] ; [14.16256158 10.83743842],0
