Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001233,10.439587,[26  8] ; [18 27],[18.93670886 15.06329114] ; [25.06329114 19.93670886],0
b4,1,0.016903,5.706379,[28  8] ; [24 22],[22.82926829 13.17073171] ; [29.17073171 16.82926829],0
r2,1,0.032799,4.55625,[35  1] ; [37  8],[32.  4.] ; [40.  5.],0
r4,1,0.035907,4.401503,[32  4] ; [32 14],[28.09756098  7.90243902] ; [35.90243902 10.09756098],0
n2,1,0.077121,3.124546,[11  2] ; [8 7],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
p9,1,0.089292,2.887092,[30  5] ; [32 14],[26.79012346  8.20987654] ; [35.20987654 10.79012346],0
p12,1,0.09326,2.817191,[ 4 32] ; [ 1 45],[ 2.19512195 33.80487805] ; [ 2.80487805 43.19512195],0
u1,1,0.104072,2.642002,[ 2 34] ; [ 8 38],[ 4.3902439 31.6097561] ; [ 5.6097561 40.3902439],0
v3,1,0.13424,2.242773,[12 23] ; [ 9 37],[ 9.07407407 25.92592593] ; [11.92592593 34.07407407],0
s2,1,0.142967,2.145733,[26 10] ; [26 20],[22.82926829 13.17073171] ; [29.17073171 16.82926829],0
a5,1,0.164294,1.934254,[25 11] ; [25 21],[21.95121951 14.04878049] ; [28.04878049 17.95121951],0
b5,1,0.16511,1.92679,[18 18] ; [30 16],[21.07317073 14.92682927] ; [26.92682927 19.07317073],0
a4,1,0.191185,1.70846,[16 20] ; [14 32],[13.17073171 22.82926829] ; [16.82926829 29.17073171],0
b1,1,0.203581,1.6165,[10 26] ; [19 27],[12.73170732 23.26829268] ; [16.26829268 29.73170732],0
p6,1,0.203928,1.614015,[15 21] ; [13 33],[12.29268293 23.70731707] ; [15.70731707 30.29268293],0
s1,1,0.243165,1.362149,[ 4 32] ; [ 2 44],[ 2.63414634 33.36585366] ; [ 3.36585366 42.63414634],0
p4,1,0.254246,1.299819,[21 15] ; [21 25],[18.43902439 17.56097561] ; [23.56097561 22.43902439],0
