Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,3e-05,17.435167,[63 12] ; [12 16],[54.61165049 20.38834951] ; [20.38834951  7.61165049],1
p9,1,0.000429,12.402281,[66  8] ; [15 11],[59.94 14.06] ; [21.06  4.94],1
p10,1,0.009294,6.765433,[62 12] ; [16 11],[57.14851485 16.85148515] ; [20.85148515  6.14851485],0
a4,1,0.009904,6.652047,[18 58] ; [14 14],[23.38461538 52.61538462] ; [ 8.61538462 19.38461538],0
a6,1,0.01511,5.903542,[57 19] ; [14 14],[51.88461538 24.11538462] ; [19.11538462  8.88461538],0
d3,1,0.016991,5.697253,[56 19] ; [14 14],[50.97087379 24.02912621] ; [19.02912621  8.97087379],0
u3,1,0.099205,2.718274,[26  7] ; [4 4],[24.14634146  8.85365854] ; [5.85365854 2.14634146],0
p7,1,0.104198,2.640086,[45 25] ; [13 15],[41.42857143 28.57142857] ; [16.57142857 11.42857143],0
a3,1,0.108332,2.578394,[41 35] ; [20  8],[44.57692308 31.42307692] ; [16.42307692 11.57692308],0
p11,1,0.109989,2.554386,[51 25] ; [14 14],[47.5 28.5] ; [17.5 10.5],0
s1,1,0.118774,2.433416,[ 1 74] ; [ 2 26],[ 2.18446602 72.81553398] ; [ 0.81553398 27.18446602],0
p8,1,0.134065,2.244788,[36 38] ; [ 9 19],[32.64705882 41.35294118] ; [12.35294118 15.64705882],0
d1,1,0.148253,2.090131,[42 34] ; [11 17],[38.73076923 37.26923077] ; [14.26923077 13.73076923],0
u2,1,0.178239,1.812249,[21 12] ; [3 5],[19.31707317 13.68292683] ; [4.68292683 3.31707317],0
a1,1,0.189244,1.723492,[ 3 73] ; [ 3 25],[ 4.38461538 71.61538462] ; [ 1.61538462 26.38461538],0
v4,1,0.189244,1.723492,[73  3] ; [25  3],[71.61538462  4.38461538] ; [26.38461538  1.61538462],0
p3,1,0.208263,1.583459,[32 44] ; [ 8 20],[29.23076923 46.76923077] ; [10.76923077 17.23076923],0
n3,1,0.229766,1.442308,[19  7] ; [7 6],[17.33333333  8.66666667] ; [8.66666667 4.33333333],0
n6,1,0.238494,1.389471,[49 25] ; [15 13],[46.43137255 27.56862745] ; [17.56862745 10.43137255],0
d2,1,0.253619,1.303258,[26 50] ; [13 15],[28.5 47.5] ; [10.5 17.5],0
s8,1,0.261357,1.261554,[42 34] ; [12 16],[39.46153846 36.53846154] ; [14.53846154 13.46153846],0
b4,1,0.276702,1.183217,[47 29] ; [14 14],[44.57692308 31.42307692] ; [16.42307692 11.57692308],0
p6,1,0.290865,1.115614,[27 48] ; [ 7 21],[24.75728155 50.24271845] ; [ 9.24271845 18.75728155],0
p4,1,0.315617,1.007024,[41 35] ; [12 16],[38.73076923 37.26923077] ; [14.26923077 13.73076923],0
r2,1,0.32505,0.968518,[72  4] ; [25  3],[70.88461538  5.11538462] ; [26.11538462  1.88461538],0
r1,1,0.335522,0.927467,[53 22] ; [17 11],[50.97087379 24.02912621] ; [19.02912621  8.97087379],0
b1,1,0.346551,0.886047,[25 51] ; [12 16],[27.03846154 48.96153846] ; [ 9.96153846 18.03846154],0
n1,1,0.363426,0.826019,[ 7 19] ; [5 7],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
d4,1,0.364873,0.821053,[63 13] ; [21  7],[61.38461538 14.61538462] ; [22.61538462  5.38461538],0
v2,1,0.377041,0.780327,[38 32] ; [11 14],[36.10526316 33.89473684] ; [12.89473684 12.10526316],0
