Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.2e-05,16.041667,[30 33] ; [186  66],[43.2 19.8] ; [172.8  79.2],1
v4,1,0.000371,12.673457,[57  6] ; [250   3],[61.2056962  1.7943038] ; [245.7943038   7.2056962],1
p10,1,0.000448,12.320996,[45 18] ; [224  28],[53.8  9.2] ; [215.2  36.8],1
p4,1,0.000652,11.621518,[40 23] ; [210  43],[49.84177215 13.15822785] ; [200.15822785  52.84177215],1
p9,1,0.001246,10.421111,[50 13] ; [235  18],[56.81962025  6.18037975] ; [228.18037975  24.81962025],0
p2,1,0.003573,8.488957,[49 14] ; [231  23],[55.6466877  7.3533123] ; [224.3533123  29.6466877],0
n6,1,0.00776,7.088071,[50 12] ; [232  20],[55.68152866  6.31847134] ; [226.31847134  25.68152866],0
d2,1,0.016384,5.761208,[42 21] ; [126 127],[33.49367089 29.50632911] ; [134.50632911 118.49367089],0
p7,1,0.019012,5.500395,[46 16] ; [216  34],[52.06410256  9.93589744] ; [209.93589744  40.06410256],0
p12,1,0.021323,5.300179,[ 2 61] ; [ 34 218],[ 7.2 55.8] ; [ 28.8 223.2],0
n4,1,0.024675,5.04652,[47 16] ; [219  35],[52.86435331 10.13564669] ; [213.13564669  40.86435331],0
n5,1,0.030403,4.686379,[44 18] ; [211  43],[50.03164557 11.96835443] ; [204.96835443  49.03164557],0
v1,1,0.040683,4.189152,[32 31] ; [162  88],[39.04792332 23.95207668] ; [154.95207668  95.04792332],0
b5,1,0.064758,3.411138,[44 19] ; [145 109],[37.5615142 25.4384858] ; [151.4384858 102.5615142],0
b1,1,0.069573,3.293076,[33 30] ; [101 153],[26.63091483 36.36908517] ; [107.36908517 146.63091483],0
p5,1,0.076843,3.130448,[ 7 56] ; [ 53 201],[11.92429022 51.07570978] ; [ 48.07570978 205.92429022],0
s1,1,0.090689,2.862104,[ 5 58] ; [  8 243],[ 2.60828025 60.39171975] ; [ 10.39171975 240.60828025],0
r4,1,0.187269,1.738975,[57  6] ; [241  13],[59.22397476  3.77602524] ; [238.77602524  15.22397476],0
u1,1,0.189138,1.724319,[18 45] ; [ 53 201],[14.11041009 48.88958991] ; [ 56.88958991 197.11041009],0
v3,1,0.19556,1.675224,[21 40] ; [108 140],[25.46601942 35.53398058] ; [103.53398058 144.46601942],0
d4,1,0.247517,1.337264,[50 13] ; [215  37],[53. 10.] ; [212.  40.],0
s8,1,0.258953,1.274345,[31 31] ; [146 106],[34.94904459 27.05095541] ; [142.05095541 109.94904459],0
s7,1,0.272979,1.201716,[40 18] ; [150  95],[36.36963696 21.63036304] ; [153.63036304  91.36963696],0
n3,1,0.281443,1.160109,[15  3] ; [33 14],[13.29230769  4.70769231] ; [34.70769231 12.29230769],0
a2,1,0.291721,1.111661,[20 43] ; [ 64 190],[16.69400631 46.30599369] ; [ 67.30599369 186.69400631],0
n1,1,0.346727,0.885399,[10  8] ; [20 27],[8.30769231 9.69230769] ; [21.69230769 25.30769231],0
