Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.010247,6.591379,[25 22] ; [12  1],[28.98333333 18.01666667] ; [8.01666667 4.98333333],0
v1,1,0.011073,6.453525,[12 37] ; [8 5],[15.80645161 33.19354839] ; [4.19354839 8.80645161],0
s1,1,0.01255,6.231475,[ 3 46] ; [4 9],[ 5.53225806 43.46774194] ; [ 1.46774194 11.53225806],0
v2,1,0.054708,3.690969,[ 7 41] ; [5 8],[ 9.44262295 38.55737705] ; [ 2.55737705 10.44262295],0
d2,1,0.064801,3.410025,[16 32] ; [8 5],[18.8852459 29.1147541] ; [5.1147541 7.8852459],0
a2,1,0.066041,3.378784,[ 3 46] ; [ 3 10],[ 4.74193548 44.25806452] ; [ 1.25806452 11.74193548],0
p2,1,0.093385,2.815027,[21 28] ; [ 2 10],[18.47540984 30.52459016] ; [4.52459016 7.47540984],0
p8,1,0.09739,2.747765,[11 37] ; [6 7],[13.37704918 34.62295082] ; [3.62295082 9.37704918],0
r1,1,0.119591,2.422663,[15 34] ; [7 6],[17.38709677 31.61290323] ; [4.61290323 8.38709677],0
d3,1,0.181977,1.781407,[20 29] ; [8 5],[22.12903226 26.87096774] ; [5.87096774 7.12903226],0
a5,1,0.193276,1.692465,[24 25] ; [9 4],[26.08064516 22.91935484] ; [6.91935484 6.08064516],0
s7,1,0.218428,1.514668,[ 5 40] ; [3 9],[ 6.31578947 38.68421053] ; [ 1.68421053 10.31578947],0
p6,1,0.230316,1.43891,[ 5 43] ; [ 3 10],[ 6.29508197 41.70491803] ; [ 1.70491803 11.29508197],0
s3,1,0.235419,1.407819,[11 35] ; [ 1 11],[ 9.51724138 36.48275862] ; [2.48275862 9.51724138],0
s6,1,0.240807,1.375862,[11 38] ; [5 8],[12.64516129 36.35483871] ; [3.35483871 9.64516129],0
d5,1,0.240831,1.375724,[25 24] ; [9 4],[26.87096774 22.12903226] ; [7.12903226 5.87096774],0
p5,1,0.242908,1.363636,[ 3 45] ; [ 2 10],[ 4. 44.] ; [ 1. 11.],0
p9,1,0.27369,1.198159,[17 29] ; [7 6],[18.71186441 27.28813559] ; [5.28813559 7.71186441],0
d1,1,0.292528,1.107948,[15 34] ; [6 7],[16.59677419 32.40322581] ; [4.40322581 8.59677419],0
p12,1,0.305236,1.051177,[ 1 48] ; [ 1 12],[ 1.58064516 47.41935484] ; [ 0.41935484 12.58064516],0
u1,1,0.305236,1.051177,[ 1 48] ; [ 1 12],[ 1.58064516 47.41935484] ; [ 0.41935484 12.58064516],0
p1,1,0.324312,0.971476,[ 6 43] ; [ 3 10],[ 7.11290323 41.88709677] ; [ 1.88709677 11.11290323],0
r2,1,0.348425,0.879187,[29 19] ; [9 3],[30.4 17.6] ; [7.6 4.4],0
a4,1,0.422543,0.643231,[16 31] ; [6 7],[17.23333333 29.76666667] ; [4.76666667 8.23333333],0
a1,1,0.443588,0.586982,[ 7 42] ; [ 3 10],[ 7.90322581 41.09677419] ; [ 2.09677419 10.90322581],0
s2,1,0.443588,0.586982,[ 7 42] ; [ 3 10],[ 7.90322581 41.09677419] ; [ 2.09677419 10.90322581],0
n1,1,0.462037,0.540954,[12 15] ; [1 3],[11.32258065 15.67741935] ; [1.67741935 2.32258065],0
a6,1,0.479074,0.50097,[21 28] ; [7 6],[22.12903226 26.87096774] ; [5.87096774 7.12903226],0
p11,1,0.505538,0.443292,[16 33] ; [ 3 10],[15.01612903 33.98387097] ; [3.98387097 9.01612903],0
p3,1,0.532506,0.389607,[12 37] ; [4 8],[12.85245902 36.14754098] ; [3.14754098 8.85245902],0
p7,1,0.552125,0.353524,[18 31] ; [3 8],[17.15 31.85] ; [3.85 7.15],0
p10,1,0.571001,0.321011,[18 30] ; [6 7],[18.8852459 29.1147541] ; [5.1147541 7.8852459],0
d4,1,0.585058,0.298128,[26 23] ; [8 5],[26.87096774 22.12903226] ; [7.12903226 5.87096774],0
r4,1,0.599793,0.275308,[ 5 44] ; [ 2 11],[ 5.53225806 43.46774194] ; [ 1.46774194 11.53225806],0
n6,1,0.607826,0.263352,[22 26] ; [7 6],[22.81967213 25.18032787] ; [6.18032787 6.81967213],0
a7,1,0.629722,0.232438,[19 30] ; [6 7],[19.75806452 29.24193548] ; [5.24193548 7.75806452],0
s4,1,0.683591,0.166112,[10 39] ; [ 2 11],[ 9.48387097 39.51612903] ; [ 2.51612903 10.48387097],0
b4,1,0.728809,0.120208,[29 20] ; [7 6],[28.4516129 20.5483871] ; [7.5483871 5.4516129],0
b2,1,0.776258,0.080769,[13 22] ; [3 4],[13.33333333 21.66666667] ; [2.66666667 4.33333333],0
b3,1,0.776258,0.080769,[13 22] ; [3 4],[13.33333333 21.66666667] ; [2.66666667 4.33333333],0
p4,1,0.804667,0.061163,[14 35] ; [3 9],[13.6557377 35.3442623] ; [3.3442623 8.6557377],0
n2,1,0.834941,0.043417,[12 15] ; [2 2],[12.19354839 14.80645161] ; [1.80645161 2.19354839],0
b1,1,0.908775,0.013129,[31 18] ; [8 5],[30.82258065 18.17741935] ; [8.17741935 4.82258065],0
s5,1,0.934577,0.006738,[ 8 41] ; [ 2 11],[ 7.90322581 41.09677419] ; [ 2.09677419 10.90322581],0
n3,1,0.944857,0.004784,[13 14] ; [2 2],[13.06451613 13.93548387] ; [1.93548387 2.06451613],0
b5,1,0.959784,0.002543,[23 26] ; [6 7],[22.91935484 26.08064516] ; [6.08064516 6.91935484],0
v4,1,0.959784,0.002543,[26 23] ; [7 6],[26.08064516 22.91935484] ; [6.91935484 6.08064516],0
n4,1,0.983516,0.000427,[30 19] ; [8 5],[30.03225806 18.96774194] ; [7.96774194 5.03225806],0
n5,1,0.991291,0.000119,[34 15] ; [9 4],[33.98387097 15.01612903] ; [9.01612903 3.98387097],0
