Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.002406,9.210526,[ 4 36] ; [14 21],[ 9.6 30.4] ; [ 8.4 26.6],0
p2,1,0.014652,5.957838,[20 26] ; [26 11],[25.4939759 20.5060241] ; [20.5060241 16.4939759],0
n1,1,0.0275,4.859167,[ 3 17] ; [7 7],[ 5.88235294 14.11764706] ; [4.11764706 9.88235294],0
r3,1,0.058611,3.576246,[37  9] ; [35  2],[39.90361446  6.09638554] ; [32.09638554  4.90361446],0
p7,1,0.078257,3.100744,[16 30] ; [20 17],[19.95180723 26.04819277] ; [16.04819277 20.95180723],0
v4,1,0.089464,2.883985,[34 12] ; [32  4],[37.02439024  8.97560976] ; [28.97560976  7.02439024],0
d1,1,0.107196,2.595085,[23 23] ; [12 25],[19.39759036 26.60240964] ; [15.60240964 21.39759036],0
d2,1,0.107196,2.595085,[23 23] ; [12 25],[19.39759036 26.60240964] ; [15.60240964 21.39759036],0
p3,1,0.132823,2.259197,[18 27] ; [ 9 28],[14.81707317 30.18292683] ; [12.18292683 24.81707317],0
n4,1,0.137767,2.202723,[15 31] ; [18 19],[18.28915663 27.71084337] ; [14.71084337 22.28915663],0
a2,1,0.140138,2.176447,[ 9 37] ; [ 3 34],[ 6.65060241 39.34939759] ; [ 5.34939759 31.65060241],0
s6,1,0.152106,2.051005,[19 26] ; [10 27],[15.91463415 29.08536585] ; [13.08536585 23.91463415],0
r4,1,0.152388,2.048179,[28 18] ; [28  9],[31.03614458 14.96385542] ; [24.96385542 12.03614458],0
a5,1,0.174965,1.839882,[28 18] ; [17 20],[24.93975904 21.06024096] ; [20.06024096 16.93975904],0
p6,1,0.179513,1.801654,[ 7 38] ; [10 26],[ 9.44444444 35.55555556] ; [ 7.55555556 28.44444444],0
p10,1,0.184317,1.762466,[ 6 40] ; [ 9 28],[ 8.31325301 37.68674699] ; [ 6.68674699 30.31325301],0
s4,1,0.186318,1.746495,[10 36] ; [ 4 33],[ 7.75903614 38.24096386] ; [ 6.24096386 30.75903614],0
d5,1,0.262337,1.256383,[35 11] ; [24 13],[32.69879518 13.30120482] ; [26.30120482 10.69879518],0
n3,1,0.265683,1.238901,[11  8] ; [10  3],[12.46875  6.53125] ; [8.53125 4.46875],0
d4,1,0.281808,1.158351,[37  9] ; [26 11],[34.91566265 11.08433735] ; [28.08433735  8.91566265],0
v1,1,0.354601,0.856923,[13 33] ; [14 23],[14.96385542 31.03614458] ; [12.03614458 24.96385542],0
r2,1,0.360393,0.836524,[34 11] ; [31  6],[35.67073171  9.32926829] ; [29.32926829  7.67073171],0
u3,1,0.368209,0.809699,[10 10] ; [11  6],[11.35135135  8.64864865] ; [9.64864865 7.35135135],0
a4,1,0.371932,0.797199,[18 28] ; [11 26],[16.07228916 29.92771084] ; [12.92771084 24.07228916],0
s1,1,0.37325,0.792817,[ 5 41] ; [ 2 35],[ 3.87951807 42.12048193] ; [ 3.12048193 33.87951807],0
u2,1,0.401812,0.702898,[ 9 11] ; [10  7],[10.27027027  9.72972973] ; [8.72972973 8.27027027],0
n2,1,0.413645,0.668299,[11  9] ; [9 4],[12.12121212  7.87878788] ; [7.87878788 5.12121212],0
p4,1,0.440127,0.595952,[20 26] ; [13 24],[18.28915663 27.71084337] ; [14.71084337 22.28915663],0
n6,1,0.475017,0.510283,[20 26] ; [19 18],[21.61445783 24.38554217] ; [17.38554217 19.61445783],0
s8,1,0.499686,0.455603,[ 5 40] ; [ 6 31],[ 6.03658537 38.96341463] ; [ 4.96341463 32.03658537],0
b2,1,0.508923,0.436281,[ 5 21] ; [ 6 16],[ 5.95833333 20.04166667] ; [ 5.04166667 16.95833333],0
b3,1,0.508923,0.436281,[ 5 21] ; [ 6 16],[ 5.95833333 20.04166667] ; [ 5.04166667 16.95833333],0
b4,1,0.565989,0.32944,[27 19] ; [24 13],[28.26506024 17.73493976] ; [22.73493976 14.26506024],0
v3,1,0.669823,0.18181,[12 30] ; [ 9 28],[11.16455696 30.83544304] ; [ 9.83544304 27.16455696],0
b1,1,0.67148,0.179876,[27 19] ; [20 17],[26.04819277 19.95180723] ; [20.95180723 16.04819277],0
d3,1,0.67148,0.179876,[27 19] ; [20 17],[26.04819277 19.95180723] ; [20.95180723 16.04819277],0
b5,1,0.677016,0.173505,[24 22] ; [21 16],[24.93975904 21.06024096] ; [20.06024096 16.93975904],0
s5,1,0.687109,0.162233,[ 7 38] ; [ 7 30],[ 7.68292683 37.31707317] ; [ 6.31707317 30.68292683],0
a7,1,0.787633,0.072569,[26 20] ; [22 15],[26.60240964 19.39759036] ; [21.39759036 15.60240964],0
p1,1,0.801073,0.063483,[ 2 44] ; [ 2 34],[ 2.24390244 43.75609756] ; [ 1.75609756 34.24390244],0
a3,1,0.822122,0.050543,[26 20] ; [20 17],[25.4939759 20.5060241] ; [20.5060241 16.4939759],0
p8,1,0.845365,0.038039,[14 32] ; [12 25],[14.40963855 31.59036145] ; [11.59036145 25.40963855],0
a6,1,0.864547,0.029101,[24 22] ; [20 17],[24.38554217 21.61445783] ; [19.61445783 17.38554217],0
a1,1,0.875914,0.024383,[ 1 45] ; [ 1 36],[ 1.10843373 44.89156627] ; [ 0.89156627 36.10843373],0
s2,1,0.883359,0.021525,[13 33] ; [11 26],[13.30120482 32.69879518] ; [10.69879518 26.30120482],0
u1,1,0.923725,0.009167,[ 4 42] ; [ 3 34],[ 3.87951807 42.12048193] ; [ 3.12048193 33.87951807],0
v2,1,0.930281,0.007655,[20 26] ; [16 20],[20.19512195 25.80487805] ; [15.80487805 20.19512195],0
r1,1,0.986407,0.00029,[31 15] ; [25 12],[31.03614458 14.96385542] ; [24.96385542 12.03614458],0
s3,1,0.995547,3.1e-05,[17 28] ; [14 23],[17.01219512 27.98780488] ; [13.98780488 23.01219512],0
