Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,47.105053,[298  10] ; [5 5],[293.47169811  14.52830189] ; [9.52830189 0.47169811],1
r4,1,0.000215,13.693988,[299  13] ; [7 3],[296.49689441  15.50310559] ; [9.50310559 0.49689441],1
d1,1,0.00616,7.502868,[196 116] ; [2 8],[191.85093168 120.14906832] ; [6.14906832 3.85093168],0
n5,1,0.012516,6.236281,[254  57] ; [5 5],[250.93146417  60.06853583] ; [8.06853583 1.93146417],0
n4,1,0.020871,5.337551,[250  62] ; [5 5],[247.08074534  64.91925466] ; [7.91925466 2.08074534],0
a4,1,0.033124,4.539366,[136 174] ; [1 9],[132.71875 177.28125] ; [4.28125 5.71875],0
p10,1,0.071839,3.240497,[275  35] ; [7 3],[273.1875  36.8125] ; [8.8125 1.1875],0
d5,1,0.074022,3.191493,[255  55] ; [6 4],[252.84375  57.15625] ; [8.15625 1.84375],0
a7,1,0.076474,3.138289,[233  78] ; [5 5],[230.58566978  80.41433022] ; [7.41433022 2.58566978],0
s7,1,0.115767,2.473668,[193 107] ; [4 6],[190.64516129 109.35483871] ; [6.35483871 3.64516129],0
a8,1,0.137957,2.200605,[ 43 242] ; [3 6],[ 44.59183673 240.40816327] ; [1.40816327 7.59183673],0
p11,1,0.149113,2.081303,[269  43] ; [7 3],[267.42857143  44.57142857] ; [8.57142857 1.42857143],0
v1,1,0.179104,1.805042,[187 119] ; [4 6],[184.9556962 121.0443038] ; [6.0443038 3.9556962],0
p2,1,0.179789,1.799366,[286  25] ; [8 2],[284.8411215  26.1588785] ; [9.1588785 0.8411215],0
p7,1,0.198181,1.655729,[260  46] ; [7 3],[258.55063291  47.44936709] ; [8.44936709 1.55063291],0
r1,1,0.199243,1.647913,[265  47] ; [7 3],[263.55279503  48.44720497] ; [8.44720497 1.55279503],0
s5,1,0.244862,1.352383,[147 155] ; [3 7],[145.19230769 156.80769231] ; [4.80769231 5.19230769],0
r3,1,0.245701,1.347582,[301  10] ; [9 1],[300.34267913  10.65732087] ; [9.65732087 0.34267913],0
a6,1,0.259343,1.272262,[208 102] ; [5 5],[206.34375 103.65625] ; [6.65625 3.34375],0
s2,1,0.283319,1.1511,[207 105] ; [5 5],[205.41614907 106.58385093] ; [6.58385093 3.41614907],0
p9,1,0.30386,1.057176,[280  31] ; [8 2],[279.02803738  31.97196262] ; [8.97196262 1.02803738],0
d3,1,0.378369,0.775995,[226  85] ; [6 4],[224.77258567  86.22741433] ; [7.22741433 2.77258567],0
p6,1,0.392008,0.732704,[166 143] ; [4 6],[164.67084639 144.32915361] ; [5.32915361 4.67084639],0
n6,1,0.422429,0.643549,[273  36] ; [8 2],[272.19122257  36.80877743] ; [8.80877743 1.19122257],0
s3,1,0.443185,0.588021,[220  89] ; [6 4],[218.9153605  90.0846395] ; [7.0846395 2.9153605],0
p12,1,0.483702,0.490504,[ 39 273] ; [2 8],[ 39.72670807 272.27329193] ; [1.27329193 8.72670807],0
s8,1,0.531343,0.391822,[185 124] ; [5 5],[184.04388715 124.95611285] ; [5.95611285 4.04388715],0
d4,1,0.583177,0.301127,[267  43] ; [8 2],[266.40625  43.59375] ; [8.59375 1.40625],0
b1,1,0.601403,0.272885,[119 193] ; [3 7],[118.21118012 193.78881988] ; [3.78881988 6.21118012],0
v2,1,0.655762,0.198712,[173 130] ; [5 5],[172.31309904 130.68690096] ; [5.68690096 4.31309904],0
d2,1,0.664801,0.187743,[146 165] ; [4 6],[145.3271028 165.6728972] ; [4.6728972 5.3271028],0
p3,1,0.726369,0.122472,[201 110] ; [7 3],[201.52024922 109.47975078] ; [6.47975078 3.52024922],0
b5,1,0.733013,0.116363,[173 139] ; [5 5],[172.47204969 139.52795031] ; [5.52795031 4.47204969],0
p4,1,0.815854,0.054234,[239  72] ; [8 2],[239.30529595  71.69470405] ; [7.69470405 2.30529595],0
v3,1,0.852803,0.034426,[131 174] ; [4 6],[130.71428571 174.28571429] ; [4.28571429 5.71428571],0
a5,1,0.855597,0.033117,[242  70] ; [8 2],[242.23602484  69.76397516] ; [7.76397516 2.23602484],0
a3,1,0.857242,0.032359,[225  85] ; [7 3],[224.75  85.25] ; [7.25 2.75],0
b4,1,0.868574,0.02738,[179 133] ; [6 4],[179.25465839 132.74534161] ; [5.74534161 4.25465839],0
b2,1,0.906857,0.01369,[ 70 117] ; [2 3],[ 70.125 116.875] ; [1.875 3.125],0
b3,1,0.906857,0.01369,[ 70 117] ; [2 3],[ 70.125 116.875] ; [1.875 3.125],0
s4,1,0.932862,0.007097,[ 65 243] ; [2 8],[ 64.89308176 243.10691824] ; [2.10691824 7.89308176],0
p5,1,0.949048,0.004084,[ 65 247] ; [2 8],[ 64.91925466 247.08074534] ; [2.08074534 7.91925466],0
