Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.013443,6.109806,[11 18] ; [21  9],[15.72881356 13.27118644] ; [16.27118644 13.72881356],0
p3,1,0.027516,4.85812,[10 19] ; [ 3 26],[ 6.5 22.5] ; [ 6.5 22.5],0
u2,1,0.033754,4.507119,[ 3 10] ; [10  6],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
p11,1,0.051035,3.807133,[18 11] ; [11 19],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
b4,1,0.087287,2.923706,[19 10] ; [13 17],[15.72881356 13.27118644] ; [16.27118644 13.72881356],0
v4,1,0.091374,2.85,[21  6] ; [17 13],[18.  9.] ; [20. 10.],0
d3,1,0.113154,2.509615,[19 10] ; [13 16],[16. 13.] ; [16. 13.],0
s5,1,0.152265,2.049413,[ 8 20] ; [ 4 26],[ 5.79310345 22.20689655] ; [ 6.20689655 23.79310345],0
p2,1,0.15583,2.014238,[20  8] ; [16 14],[17.37931034 10.62068966] ; [18.62068966 11.37931034],0
s1,1,0.172895,1.857659,[ 1 28] ; [ 4 26],[ 2.45762712 26.54237288] ; [ 2.54237288 27.45762712],0
r3,1,0.227878,1.454057,[19 10] ; [15 15],[16.71186441 12.28813559] ; [17.28813559 12.71186441],0
d5,1,0.227878,1.454057,[19 10] ; [15 15],[16.71186441 12.28813559] ; [17.28813559 12.71186441],0
n5,1,0.232666,1.424486,[12 17] ; [ 8 22],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
d1,1,0.232666,1.424486,[12 17] ; [ 8 22],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
s3,1,0.242435,1.366379,[ 8 20] ; [13 17],[10.13793103 17.86206897] ; [10.86206897 19.13793103],0
a4,1,0.249466,1.326289,[ 5 24] ; [ 9 21],[ 6.88135593 22.11864407] ; [ 7.11864407 22.88135593],0
r2,1,0.272286,1.205195,[18 10] ; [15 15],[15.93103448 12.06896552] ; [17.06896552 12.93103448],0
p10,1,0.283832,1.148649,[17 11] ; [14 16],[14.96551724 13.03448276] ; [16.03448276 13.96551724],0
