Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,93.635592,[137   9] ; [21 46],[108.30046948  37.69953052] ; [49.69953052 17.30046948],1
s6,1,0.0,26.503508,[134  11] ; [43 24],[121.06132075  23.93867925] ; [55.93867925 11.06132075],1
s7,1,1.5e-05,18.705298,[113  23] ; [36 30],[100.31683168  35.68316832] ; [48.68316832 17.31683168],1
s5,1,0.003525,8.513858,[62 78] ; [15 50],[52.58536585 87.41463415] ; [24.41463415 40.58536585],0
v4,1,0.005696,7.6441,[144   1] ; [62  5],[140.89622642   4.10377358] ; [65.10377358  1.89622642],0
r2,1,0.007151,7.23455,[141   4] ; [59  8],[136.79245283   8.20754717] ; [63.20754717  3.79245283],0
p4,1,0.011523,6.382874,[86 60] ; [27 40],[77.45539906 68.54460094] ; [35.54460094 31.45539906],0
s4,1,0.013467,6.106666,[ 31 116] ; [ 5 62],[ 24.72897196 122.27102804] ; [11.27102804 55.72897196],0
v1,1,0.014816,5.938244,[82 57] ; [26 38],[73.95073892 65.04926108] ; [34.04926108 29.95073892],0
r3,1,0.019439,5.461595,[144   3] ; [61  6],[140.81775701   6.18224299] ; [64.18224299  2.81775701],0
d5,1,0.034765,4.456701,[127  20] ; [50 17],[121.58411215  25.41588785] ; [55.41588785 11.58411215],0
b5,1,0.053384,3.731871,[93 54] ; [33 34],[86.55140187 60.44859813] ; [39.44859813 27.55140187],0
d1,1,0.069713,3.289771,[98 49] ; [36 31],[92.04672897 54.95327103] ; [41.95327103 25.04672897],0
d4,1,0.090519,2.865124,[124  23] ; [50 17],[119.52336449  27.47663551] ; [54.47663551 12.52336449],0
n5,1,0.102814,2.661344,[114  31] ; [45 21],[109.26540284  35.73459716] ; [49.73459716 16.26540284],0
v2,1,0.120447,2.411501,[85 53] ; [32 32],[79.93069307 58.06930693] ; [37.06930693 26.93069307],0
u2,1,0.179712,1.8,[18 12] ; [12  3],[20. 10.] ; [10.  5.],0
n6,1,0.190119,1.716692,[125  20] ; [53 14],[121.74528302  23.25471698] ; [56.25471698 10.74528302],0
p5,1,0.192167,1.700928,[ 11 131] ; [ 9 58],[ 13.58851675 128.41148325] ; [ 6.41148325 60.58851675],0
p1,1,0.201442,1.631885,[ 11 136] ; [ 2 65],[  8.92990654 138.07009346] ; [ 4.07009346 62.92990654],0
a8,1,0.220877,1.498666,[ 19 114] ; [13 48],[ 21.93814433 111.06185567] ; [10.06185567 50.93814433],0
n3,1,0.226685,1.461538,[28 10] ; [11  8],[26. 12.] ; [13.  6.],0
a7,1,0.242285,1.367251,[98 49] ; [50 17],[101.6635514  45.3364486] ; [46.3364486 20.6635514],0
u4,1,0.242324,1.367024,[  7 140] ; [ 1 66],[  5.4953271 141.5046729] ; [ 2.5046729 64.4953271],0
r4,1,0.264572,1.244674,[138   9] ; [60  7],[136.00934579  10.99065421] ; [61.99065421  5.00934579],0
b2,1,0.313732,1.014898,[36 64] ; [21 26],[38.7755102 61.2244898] ; [18.2244898 28.7755102],0
b3,1,0.313732,1.014898,[36 64] ; [21 26],[38.7755102 61.2244898] ; [18.2244898 28.7755102],0
b1,1,0.355253,0.854604,[56 91] ; [30 37],[59.07476636 87.92523364] ; [26.92523364 40.07476636],0
p11,1,0.388761,0.742815,[113  34] ; [55 12],[115.40186916  31.59813084] ; [52.59813084 14.40186916],0
p2,1,0.417209,0.658164,[119  28] ; [51 16],[116.77570093  30.22429907] ; [53.22429907 13.77570093],0
r1,1,0.441548,0.592256,[124  21] ; [59  7],[125.75829384  19.24170616] ; [57.24170616  8.75829384],0
a6,1,0.468516,0.525475,[98 49] ; [48 19],[100.28971963  46.71028037] ; [45.71028037 21.28971963],0
v3,1,0.468631,0.525202,[66 70] ; [28 37],[63.60199005 72.39800995] ; [30.39800995 34.60199005],0
p7,1,0.526356,0.401421,[80 63] ; [40 26],[82.10526316 60.89473684] ; [37.89473684 28.10526316],0
p8,1,0.528892,0.396521,[64 82] ; [32 34],[66.11320755 79.88679245] ; [29.88679245 36.11320755],0
n2,1,0.593157,0.285441,[28 10] ; [16  4],[28.82758621  9.17241379] ; [15.17241379  4.82758621],0
a2,1,0.62729,0.235754,[ 42 105] ; [17 50],[ 40.52803738 106.47196262] ; [18.47196262 48.52803738],0
n4,1,0.676747,0.17381,[112  33] ; [50 17],[110.80188679  34.19811321] ; [51.19811321 15.80188679],0
a1,1,0.700318,0.148141,[  5 142] ; [ 3 64],[  5.4953271 141.5046729] ; [ 2.5046729 64.4953271],0
d2,1,0.7092,0.139077,[83 64] ; [36 31],[81.74299065 65.25700935] ; [37.25700935 29.74299065],0
p3,1,0.712814,0.135483,[72 75] ; [31 36],[70.75233645 76.24766355] ; [32.24766355 34.75233645],0
b4,1,0.721701,0.126869,[85 62] ; [37 30],[83.80373832 63.19626168] ; [38.19626168 28.80373832],0
p9,1,0.724371,0.124343,[128  17] ; [58  9],[127.21698113  17.78301887] ; [58.78301887  8.21698113],0
p12,1,0.725446,0.123334,[ 13 133] ; [ 5 62],[ 12.33802817 133.66197183] ; [ 5.66197183 61.33802817],0
u1,1,0.754059,0.098152,[ 29 118] ; [12 55],[ 28.1635514 118.8364486] ; [12.8364486 54.1635514],0
a4,1,0.754282,0.097968,[67 80] ; [29 38],[65.94392523 81.05607477] ; [30.05607477 36.94392523],0
u3,1,0.766317,0.088326,[22  9] ; [10  5],[21.56521739  9.43478261] ; [10.43478261  4.56521739],0
a3,1,0.830057,0.046065,[116  31] ; [52 15],[115.40186916  31.59813084] ; [52.59813084 14.40186916],0
s1,1,0.875108,0.024704,[  5 140] ; [ 2 64],[  4.81042654 140.18957346] ; [ 2.18957346 63.81042654],0
n1,1,0.898496,0.016272,[16 21] ; [ 9 11],[16.22807018 20.77192982] ; [ 8.77192982 11.22807018],0
p10,1,0.928633,0.008022,[124  20] ; [58  9],[124.20853081  19.79146919] ; [57.79146919  9.20853081],0
d3,1,0.964075,0.002029,[97 50] ; [44 23],[96.85514019 50.14485981] ; [44.14485981 22.85514019],0
a5,1,0.990971,0.000128,[112  35] ; [51 16],[111.96728972  35.03271028] ; [51.03271028 15.96728972],0
