Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,30.534731,[133  95] ; [ 49 114],[106.12787724 121.87212276] ; [75.87212276 87.12787724],1
v2,1,0.0,30.421986,[165  63] ; [74 91],[138.65648855  89.34351145] ; [100.34351145  64.65648855],1
s8,1,0.000156,14.298652,[177  55] ; [99 70],[159.680798  72.319202] ; [116.319202  52.680798],1
n5,1,0.006762,7.335246,[198  34] ; [126  43],[187.45137157  44.54862843] ; [136.54862843  32.45137157],0
p3,1,0.012175,6.285198,[145  89] ; [83 85],[132.71641791 101.28358209] ; [95.28358209 72.71641791],0
b5,1,0.013977,6.041037,[147  88] ; [85 84],[134.95049505 100.04950495] ; [97.04950495 71.95049505],0
p8,1,0.023478,5.132763,[140  89] ; [83 84],[128.95707071 100.04292929] ; [94.04292929 72.95707071],0
p6,1,0.035253,4.432868,[119 111] ; [69 99],[108.64321608 121.35678392] ; [79.35678392 88.64321608],0
a5,1,0.036685,4.364964,[194  41] ; [125  44],[185.55693069  49.44306931] ; [133.44306931  35.55693069],0
n2,1,0.038196,4.296277,[37  4] ; [35 13],[33.16853933  7.83146067] ; [38.83146067  9.16853933],0
u4,1,0.049418,3.861101,[ 11 224] ; [  2 167],[  7.56188119 227.43811881] ; [  5.43811881 163.56188119],0
s2,1,0.049994,3.841657,[181  53] ; [116  53],[172.4516129  61.5483871] ; [124.5483871  44.4516129],0
p5,1,0.054181,3.707099,[ 44 188] ; [ 20 149],[ 37.02743142 194.97256858] ; [ 26.97256858 142.02743142],0
r4,1,0.056655,3.632701,[226   9] ; [155  14],[221.62128713  13.37871287] ; [159.37871287   9.62128713],0
s4,1,0.057271,3.614702,[ 44 190] ; [ 45 123],[ 51.80597015 182.19402985] ; [ 37.19402985 130.80597015],0
p4,1,0.063227,3.450644,[164  69] ; [104  65],[155.33333333  77.66666667] ; [112.66666667  56.33333333],0
p9,1,0.065514,3.391981,[212  21] ; [142  25],[206.205  26.795] ; [147.795  19.205],0
s6,1,0.070574,3.26963,[200  30] ; [134  33],[193.50125945  36.49874055] ; [140.49874055  26.50125945],0
a8,1,0.085181,2.963162,[ 42 164] ; [ 21 135],[ 35.85082873 170.14917127] ; [ 27.14917127 128.85082873],0
r1,1,0.10146,2.682443,[204  29] ; [138  31],[198.2238806  34.7761194] ; [143.7761194  25.2238806],0
d3,1,0.117279,2.453285,[178  56] ; [116  52],[171.13432836  62.86567164] ; [122.86567164  45.13432836],0
u1,1,0.145456,2.119266,[ 65 170] ; [ 36 133],[ 58.75 176.25] ; [ 42.25 126.75],0
b2,1,0.15855,1.988,[78 96] ; [40 70],[ 72.29577465 101.70422535] ; [45.70422535 64.29577465],0
b3,1,0.15855,1.988,[78 96] ; [40 70],[ 72.29577465 101.70422535] ; [45.70422535 64.29577465],0
p7,1,0.161794,1.957376,[166  59] ; [111  54],[159.80769231  65.19230769] ; [117.19230769  47.80769231],0
p12,1,0.169796,1.884742,[ 26 207] ; [ 12 157],[ 22.02487562 210.97512438] ; [ 15.97512438 153.02487562],0
n1,1,0.183851,1.766219,[25 16] ; [22 25],[21.89772727 19.10227273] ; [25.10227273 21.89772727],0
n4,1,0.19006,1.717155,[199  34] ; [136  33],[194.16666667  38.83333333] ; [140.83333333  28.16666667],0
p10,1,0.190205,1.716029,[203  29] ; [140  29],[198.44389027  33.55610973] ; [144.55610973  24.44389027],0
s5,1,0.194092,1.686283,[111 114] ; [70 94],[104.69151671 120.30848329] ; [76.30848329 87.69151671],0
r3,1,0.240523,1.377525,[228   6] ; [161   8],[225.87096774   8.12903226] ; [163.12903226   5.87096774],0
a6,1,0.243845,1.35823,[160  73] ; [106  62],[154.55860349  78.44139651] ; [111.44139651  56.55860349],0
a3,1,0.258528,1.27662,[195  38] ; [134  35],[190.68905473  42.31094527] ; [138.31094527  30.68905473],0
d4,1,0.259826,1.269682,[201  32] ; [138  30],[196.97506234  36.02493766] ; [142.02493766  25.97506234],0
a2,1,0.271702,1.208134,[ 73 162] ; [ 44 125],[ 68.05693069 166.94306931] ; [ 48.94306931 120.05693069],0
b4,1,0.303012,1.060891,[140  95] ; [92 77],[134.95049505 100.04950495] ; [97.04950495 71.95049505],0
b1,1,0.310602,1.028115,[ 87 148] ; [71 98],[ 91.90594059 143.09405941] ; [ 66.09405941 102.90594059],0
n6,1,0.323239,0.975797,[207  24] ; [146  23],[203.8575  27.1425] ; [149.1425  19.8575],0
p2,1,0.335496,0.927566,[202  32] ; [140  29],[198.58064516  35.41935484] ; [143.41935484  25.58064516],0
s1,1,0.352964,0.862772,[  9 221] ; [ 10 159],[ 10.95238095 219.04761905] ; [  8.04761905 160.95238095],0
p1,1,0.418934,0.653304,[ 28 205] ; [ 16 153],[ 25.50248756 207.49751244] ; [ 18.49751244 150.50248756],0
d5,1,0.426614,0.632024,[197  36] ; [137  31],[194.06982544  38.93017456] ; [139.93017456  28.06982544],0
a4,1,0.473704,0.513324,[122 112] ; [82 87],[118.4516129 115.5483871] ; [85.5483871 83.4516129],0
d1,1,0.502313,0.450046,[155  80] ; [106  63],[151.81930693  83.18069307] ; [109.18069307  59.81930693],0
n3,1,0.521667,0.410596,[28 13] ; [35 12],[29.35227273 11.64772727] ; [33.64772727 13.35227273],0
p11,1,0.522486,0.408983,[187  48] ; [130  39],[184.39356436  50.60643564] ; [132.60643564  36.39356436],0
d2,1,0.655297,0.199288,[132 102] ; [91 77],[129.80597015 104.19402985] ; [93.19402985 74.80597015],0
u3,1,0.69141,0.157563,[28 12] ; [23 12],[27.2 12.8] ; [23.8 11.2],0
a1,1,0.786827,0.073134,[ 14 221] ; [  9 160],[ 13.37871287 221.62128713] ; [  9.62128713 159.37871287],0
v4,1,0.816041,0.054121,[227   6] ; [164   5],[226.62437811   6.37562189] ; [164.37562189   4.62437811],0
u2,1,0.884712,0.021025,[25 14] ; [23 12],[25.2972973 13.7027027] ; [22.7027027 12.2972973],0
a7,1,0.887358,0.020064,[167  68] ; [119  50],[166.36138614  68.63861386] ; [119.63861386  49.36138614],0
s3,1,0.970227,0.001393,[175  56] ; [127  41],[174.84210526  56.15789474] ; [127.15789474  40.84210526],0
