Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000268,13.280144,[12 17] ; [11 85],[ 5.336 23.664] ; [17.664 78.336],1
p7,1,0.002514,9.130435,[21  7] ; [39 53],[14. 14.] ; [46. 46.],0
p8,1,0.002894,8.872865,[16 13] ; [24 70],[ 9.43089431 19.56910569] ; [30.56910569 63.43089431],0
p3,1,0.00439,8.115157,[15 14] ; [23 73],[ 8.816 20.184] ; [29.184 66.816],0
s2,1,0.010177,6.603592,[16 13] ; [28 68],[10.208 18.792] ; [33.792 62.208],0
p4,1,0.028523,4.796171,[16 13] ; [31 64],[10.99193548 18.00806452] ; [36.00806452 58.99193548],0
s6,1,0.046843,3.951005,[18 11] ; [39 56],[13.33064516 15.66935484] ; [43.66935484 51.33064516],0
b3,1,0.055084,3.679532,[7 8] ; [14 49],[ 4.03846154 10.96153846] ; [16.96153846 46.03846154],0
b2,1,0.055084,3.679532,[7 8] ; [14 49],[ 4.03846154 10.96153846] ; [16.96153846 46.03846154],0
a5,1,0.067212,3.349827,[11 18] ; [55 41],[15.312 13.688] ; [50.688 45.312],0
r3,1,0.075602,3.156995,[26  3] ; [71 25],[22.504  6.496] ; [74.496 21.504],0
p2,1,0.076143,3.145366,[23  6] ; [59 37],[19.024  9.976] ; [62.976 33.024],0
u2,1,0.086043,2.946883,[12  3] ; [19 16],[9.3 5.7] ; [21.7 13.3],0
b5,1,0.087668,2.916675,[22  7] ; [56 40],[18.096 10.904] ; [59.904 36.096],0
n4,1,0.096395,2.764193,[10 19] ; [50 46],[13.92 15.08] ; [46.08 49.92],0
s7,1,0.100497,2.697631,[12 16] ; [23 64],[ 8.52173913 19.47826087] ; [26.47826087 60.52173913],0
p9,1,0.123183,2.376371,[21  8] ; [53 41],[17.44715447 11.55284553] ; [56.55284553 37.44715447],0
a3,1,0.124456,2.360325,[14 15] ; [61 34],[17.54032258 11.45967742] ; [57.45967742 37.54032258],0
s5,1,0.166962,1.910015,[ 8 18] ; [17 76],[ 5.46218487 20.53781513] ; [19.53781513 73.46218487],0
b1,1,0.202347,1.62535,[19 10] ; [50 46],[16.008 12.992] ; [52.992 43.008],0
s8,1,0.211037,1.564298,[10 19] ; [22 74],[ 7.424 21.576] ; [24.576 71.424],0
v4,1,0.215402,1.534743,[25  4] ; [70 23],[22.58196721  6.41803279] ; [72.41803279 20.58196721],0
p11,1,0.238728,1.388092,[19 10] ; [51 45],[16.24 12.76] ; [53.76 42.24],0
p10,1,0.29882,1.079451,[18 11] ; [48 46],[15.56097561 13.43902439] ; [50.43902439 43.56097561],0
n2,1,0.312612,1.019608,[10  3] ; [24 15],[8.5 4.5] ; [25.5 13.5],0
b4,1,0.377675,0.778257,[13 16] ; [52 44],[15.08 13.92] ; [49.92 46.08],0
v1,1,0.386972,0.748436,[12 17] ; [30 62],[10.0661157 18.9338843] ; [31.9338843 60.0661157],0
d2,1,0.429604,0.623893,[10 19] ; [41 55],[11.832 17.168] ; [39.168 56.832],0
s3,1,0.461859,0.541385,[16 13] ; [45 50],[14.26612903 14.73387097] ; [46.73387097 48.26612903],0
a6,1,0.462559,0.539695,[20  9] ; [59 37],[18.328 10.672] ; [60.672 35.328],0
u3,1,0.528733,0.396825,[8 7] ; [22 13],[9. 6.] ; [21. 14.],0
p1,1,0.558113,0.342981,[ 1 28] ; [ 6 89],[ 1.63709677 27.36290323] ; [ 5.36290323 89.63709677],0
d5,1,0.560948,0.338066,[21  8] ; [64 32],[19.72  9.28] ; [65.28 30.72],0
r4,1,0.62065,0.244955,[19 10] ; [58 38],[17.864 11.136] ; [59.136 36.864],0
r1,1,0.65934,0.194326,[17 12] ; [60 35],[18.00806452 10.99193548] ; [58.99193548 36.00806452],0
d1,1,0.719806,0.128678,[11 18] ; [40 56],[11.832 17.168] ; [39.168 56.832],0
a4,1,0.725297,0.123473,[11 18] ; [33 63],[10.208 18.792] ; [33.792 62.208],0
v2,1,0.731549,0.117694,[10 18] ; [29 61],[ 9.25423729 18.74576271] ; [29.74576271 60.25423729],0
a7,1,0.804745,0.061113,[18 11] ; [62 34],[18.56 10.44] ; [61.44 34.56],0
n1,1,0.817764,0.053094,[5 8] ; [16 22],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
d3,1,0.821759,0.050753,[17 11] ; [56 40],[16.48387097 11.51612903] ; [56.51612903 39.48387097],0
d4,1,0.844608,0.038417,[21  8] ; [67 28],[20.58064516  8.41935484] ; [67.41935484 27.58064516],0
r2,1,0.874552,0.024926,[23  6] ; [75 18],[23.29508197  5.70491803] ; [74.70491803 18.29508197],0
n5,1,0.899082,0.016084,[12 16] ; [42 53],[12.29268293 15.70731707] ; [41.70731707 53.29268293],0
n3,1,0.916974,0.010867,[8 5] ; [24 14],[8.15686275 4.84313725] ; [23.84313725 14.15686275],0
s1,1,0.930922,0.007514,[ 1 28] ; [ 3 93],[ 0.928 28.072] ; [ 3.072 92.928],0
p5,1,0.938252,0.006001,[ 1 28] ; [ 3 92],[ 0.93548387 28.06451613] ; [ 3.06451613 91.93548387],0
a2,1,0.942167,0.005263,[ 5 24] ; [16 80],[ 4.872 24.128] ; [16.128 79.872],0
u1,1,0.942492,0.005204,[ 2 27] ; [ 7 89],[ 2.088 26.912] ; [ 6.912 89.088],0
a8,1,0.985803,0.000317,[ 3 24] ; [10 81],[ 2.97457627 24.02542373] ; [10.02542373 80.97457627],0
