Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.306427,[ 4 19] ; [40 12],[13.49333333  9.50666667] ; [30.50666667 21.49333333],1
n2,1,0.000382,12.617303,[3 7] ; [20  2],[7.1875 2.8125] ; [15.8125  6.1875],1
a5,1,0.013822,6.060787,[ 8 15] ; [34 18],[12.88 10.12] ; [29.12 22.88],0
p6,1,0.024738,5.042119,[ 2 21] ; [17 34],[ 5.90540541 17.09459459] ; [13.09459459 37.90540541],0
p9,1,0.025853,4.965826,[16  7] ; [46  5],[19.27027027  3.72972973] ; [42.72972973  8.27027027],0
a7,1,0.025964,4.958422,[17  6] ; [24 28],[12.57333333 10.42666667] ; [28.42666667 23.57333333],0
s7,1,0.066191,3.375029,[ 6 17] ; [24 25],[ 9.58333333 13.41666667] ; [20.41666667 28.58333333],0
n6,1,0.086322,2.941666,[12 11] ; [37 14],[15.22972973  7.77027027] ; [33.77027027 17.22972973],0
p5,1,0.087662,2.916799,[ 1 22] ; [10 41],[ 3.41891892 19.58108108] ; [ 7.58108108 43.41891892],0
p4,1,0.099838,2.708133,[ 7 16] ; [26 25],[10.25675676 12.74324324] ; [22.74324324 28.25675676],0
p11,1,0.10954,2.560846,[13 10] ; [39 13],[15.94666667  7.05333333] ; [36.05333333 15.94666667],0
s8,1,0.118888,2.431903,[ 4 19] ; [18 33],[ 6.83783784 16.16216216] ; [15.16216216 35.83783784],0
r2,1,0.12473,2.356902,[17  5] ; [28 20],[14.14285714  7.85714286] ; [30.85714286 17.14285714],0
a6,1,0.127569,2.321842,[ 8 15] ; [28 24],[11.04 11.96] ; [24.96 27.04],0
p3,1,0.141254,2.16424,[ 5 18] ; [20 31],[ 7.77027027 15.22972973] ; [17.22972973 33.77027027],0
s5,1,0.177424,1.819073,[ 6 16] ; [ 7 43],[ 3.97222222 18.02777778] ; [ 9.02777778 40.97222222],0
u3,1,0.212183,1.556471,[6 4] ; [ 6 11],[4.44444444 5.55555556] ; [7.55555556 9.44444444],0
u2,1,0.246671,1.342059,[7 3] ; [8 9],[5.55555556 4.44444444] ; [9.44444444 7.55555556],0
p7,1,0.268648,1.223635,[ 9 13] ; [27 22],[11.15492958 10.84507042] ; [24.84507042 24.15492958],0
v2,1,0.315286,1.008403,[ 6 15] ; [21 30],[ 7.875 13.125] ; [19.125 31.875],0
u1,1,0.323595,0.974361,[ 1 22] ; [ 6 46],[ 2.14666667 20.85333333] ; [ 4.85333333 47.14666667],0
d4,1,0.336704,0.922941,[18  5] ; [35 17],[16.25333333  6.74666667] ; [36.74666667 15.25333333],0
s2,1,0.345162,0.891164,[ 7 16] ; [21 29],[ 8.82191781 14.17808219] ; [19.17808219 30.82191781],0
s6,1,0.36773,0.811322,[ 8 15] ; [23 27],[ 9.76712329 13.23287671] ; [21.23287671 28.76712329],0
a3,1,0.369543,0.805201,[13 10] ; [35 17],[14.72  8.28] ; [33.28 18.72],0
v4,1,0.39675,0.718154,[17  5] ; [33 16],[15.49295775  6.50704225] ; [34.50704225 14.49295775],0
p8,1,0.398195,0.713769,[ 7 15] ; [22 30],[ 8.62162162 13.37837838] ; [20.37837838 31.62162162],0
s4,1,0.403237,0.698652,[ 6 17] ; [ 9 42],[ 4.66216216 18.33783784] ; [10.33783784 40.66216216],0
b1,1,0.407602,0.685785,[10 13] ; [28 24],[11.65333333 11.34666667] ; [26.34666667 25.65333333],0
v3,1,0.443362,0.587567,[ 4 19] ; [13 38],[ 5.28378378 17.71621622] ; [11.71621622 39.28378378],0
