Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,52.637129,[104   3] ; [19 21],[89.53061224 17.46938776] ; [33.46938776  6.53061224],1
r2,1,0.0,42.63317,[104   2] ; [21 16],[92.65734266 13.34265734] ; [32.34265734  4.65734266],1
v4,1,0.0,39.882033,[100   7] ; [19 21],[86.61904762 20.38095238] ; [32.38095238  7.61904762],1
r1,1,0.0,31.889858,[87 20] ; [13 27],[72.78911565 34.21088435] ; [27.21088435 12.78911565],1
s6,1,1e-06,23.268679,[68 37] ; [ 8 32],[55.03448276 49.96551724] ; [20.96551724 19.03448276],1
s8,1,0.000104,15.066625,[47 59] ; [ 4 36],[37.02739726 68.97260274] ; [13.97260274 26.02739726],1
p9,1,0.000179,14.043505,[70 35] ; [12 26],[60.20979021 44.79020979] ; [21.79020979 16.20979021],1
n6,1,0.000477,12.205092,[84 23] ; [19 20],[75.48630137 31.51369863] ; [27.51369863 11.48630137],1
p11,1,0.001103,10.64669,[67 40] ; [13 27],[58.23129252 48.76870748] ; [21.76870748 18.23129252],0
s2,1,0.004262,8.168675,[52 55] ; [ 9 31],[44.40136054 62.59863946] ; [16.59863946 23.40136054],0
p10,1,0.005989,7.553582,[66 39] ; [15 25],[58.65517241 46.34482759] ; [22.34482759 17.65517241],0
u3,1,0.007178,7.227846,[22 12] ; [2 9],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
n3,1,0.009046,6.813754,[25 10] ; [ 8 14],[20.26315789 14.73684211] ; [12.73684211  9.26315789],0
s5,1,0.016473,5.75168,[33 67] ; [ 5 34],[27.3381295 72.6618705] ; [10.6618705 28.3381295],0
s1,1,0.022034,5.24307,[  3 103] ; [ 5 35],[  5.80821918 100.19178082] ; [ 2.19178082 37.80821918],0
p4,1,0.045336,4.006106,[37 68] ; [ 7 32],[32.08333333 72.91666667] ; [11.91666667 27.08333333],0
v1,1,0.047191,3.938579,[43 62] ; [ 9 30],[37.91666667 67.08333333] ; [14.08333333 24.91666667],0
s7,1,0.062471,3.470546,[45 56] ; [10 27],[40.25362319 60.74637681] ; [14.74637681 22.25362319],0
