Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.001012,10.804655,[43  5] ; [43 26],[35.28205128 12.71794872] ; [50.71794872 18.28205128],0
p10,1,0.001622,9.93424,[30 18] ; [22 45],[21.70434783 26.29565217] ; [30.29565217 36.70434783],0
p8,1,0.004575,8.040348,[19 29] ; [11 57],[12.4137931 35.5862069] ; [17.5862069 50.4137931],0
s6,1,0.006548,7.39293,[24 24] ; [17 50],[17.11304348 30.88695652] ; [23.88695652 43.11304348],0
v4,1,0.010253,6.590419,[42  6] ; [46 23],[36.1025641 11.8974359] ; [51.8974359 17.1025641],0
p3,1,0.010664,6.520454,[19 28] ; [13 56],[12.96551724 34.03448276] ; [19.03448276 49.96551724],0
s4,1,0.015343,5.876643,[12 35] ; [ 6 62],[ 7.35652174 39.64347826] ; [10.64347826 57.35652174],0
p11,1,0.034726,4.458617,[29 19] ; [28 41],[23.38461538 24.61538462] ; [33.61538462 35.38461538],0
s5,1,0.04369,4.068485,[12 35] ; [ 7 57],[ 8.04504505 38.95495495] ; [10.95495495 53.04504505],0
v3,1,0.04402,4.055798,[16 31] ; [12 56],[11.44347826 35.55652174] ; [16.55652174 51.44347826],0
s2,1,0.051838,3.781003,[16 32] ; [12 56],[11.5862069 36.4137931] ; [16.4137931 51.5862069],0
r1,1,0.05191,3.778672,[33 15] ; [35 34],[27.8974359 20.1025641] ; [40.1025641 28.8974359],0
v1,1,0.056773,3.62922,[19 29] ; [16 53],[14.35897436 33.64102564] ; [20.64102564 48.35897436],0
n6,1,0.061369,3.499984,[35 13] ; [38 30],[30.20689655 17.79310345] ; [42.79310345 25.20689655],0
p12,1,0.07016,3.27927,[ 4 44] ; [ 1 68],[ 2.05128205 45.94871795] ; [ 2.94871795 66.05128205],0
n1,1,0.103237,2.654815,[ 2 10] ; [13 17],[4.28571429 7.71428571] ; [10.71428571 19.28571429],0
