Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000154,14.32381,[ 4 43] ; [20 27],[12. 35.] ; [12. 35.],1
a3,1,0.002258,9.326816,[24 24] ; [39 10],[31.17525773 16.82474227] ; [31.82474227 17.17525773],0
s4,1,0.018612,5.537611,[11 37] ; [ 3 46],[ 6.92783505 41.07216495] ; [ 7.07216495 41.92783505],0
d5,1,0.035546,4.418732,[30 18] ; [40  9],[34.63917526 13.36082474] ; [35.36082474 13.63917526],0
n3,1,0.039288,4.248366,[6 7] ; [11  2],[8.5 4.5] ; [8.5 4.5],0
v1,1,0.096727,2.758696,[18 28] ; [27 21],[22.0212766 23.9787234] ; [22.9787234 25.0212766],0
a2,1,0.101532,2.681308,[ 8 40] ; [ 3 46],[ 5.44329897 42.55670103] ; [ 5.55670103 43.44329897],0
s3,1,0.120943,2.40507,[29 18] ; [22 26],[25.23157895 21.76842105] ; [25.76842105 22.23157895],0
n5,1,0.146713,2.106101,[18 29] ; [26 23],[21.54166667 25.45833333] ; [22.45833333 26.54166667],0
a5,1,0.176543,1.826486,[28 20] ; [35 14],[31.17525773 16.82474227] ; [31.82474227 17.17525773],0
p10,1,0.177895,1.815126,[31 17] ; [37 11],[34. 14.] ; [34. 14.],0
d1,1,0.180187,1.796083,[18 30] ; [25 24],[21.27835052 26.72164948] ; [21.72164948 27.27835052],0
p9,1,0.211183,1.5633,[34 14] ; [40  9],[36.6185567 11.3814433] ; [37.3814433 11.6185567],0
a4,1,0.239877,1.381318,[17 31] ; [12 37],[14.35051546 33.64948454] ; [14.64948454 34.35051546],0
a8,1,0.325254,0.967704,[ 6 39] ; [ 3 40],[ 4.60227273 40.39772727] ; [ 4.39772727 38.60227273],0
p6,1,0.342256,0.901961,[14 32] ; [10 36],[12. 34.] ; [12. 34.],0
p5,1,0.413953,0.667417,[ 2 46] ; [ 4 45],[ 2.96907216 45.03092784] ; [ 3.03092784 45.96907216],0
b5,1,0.428009,0.628219,[34 14] ; [31 18],[32.16494845 15.83505155] ; [32.83505155 16.16494845],0
n1,1,0.430727,0.620862,[5 8] ; [6 5],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
s7,1,0.437911,0.601749,[14 30] ; [19 29],[15.7826087 28.2173913] ; [17.2173913 30.7826087],0
s6,1,0.469482,0.523194,[28 20] ; [25 24],[26.22680412 21.77319588] ; [26.77319588 22.22680412],0
b1,1,0.476549,0.506751,[22 26] ; [26 23],[23.75257732 24.24742268] ; [24.24742268 24.75257732],0
a7,1,0.477332,0.504952,[29 19] ; [33 16],[30.68041237 17.31958763] ; [31.31958763 17.68041237],0
s8,1,0.479652,0.499654,[20 28] ; [17 32],[18.30927835 29.69072165] ; [18.69072165 30.30927835],0
r1,1,0.495868,0.463768,[33 15] ; [36 12],[34.5 13.5] ; [34.5 13.5],0
p3,1,0.52468,0.404684,[16 32] ; [19 29],[17.5 30.5] ; [17.5 30.5],0
s1,1,0.557345,0.344322,[ 2 45] ; [ 1 46],[ 1.5 45.5] ; [ 1.5 45.5],0
s2,1,0.560057,0.339606,[20 27] ; [18 31],[18.60416667 28.39583333] ; [19.39583333 29.60416667],0
u2,1,0.580926,0.304741,[17  7] ; [8 2],[17.64705882  6.35294118] ; [7.35294118 2.64705882],0
p4,1,0.607164,0.264326,[22 25] ; [25 23],[23.25263158 23.74736842] ; [23.74736842 24.25263158],0
b4,1,0.616767,0.250438,[25 23] ; [28 21],[26.22680412 21.77319588] ; [26.77319588 22.22680412],0
p2,1,0.635476,0.224708,[39  8] ; [38 10],[38.09473684  8.90526316] ; [38.90526316  9.09473684],0
p7,1,0.643609,0.214053,[28 15] ; [29 19],[26.93406593 16.06593407] ; [30.06593407 17.93406593],0
r3,1,0.673955,0.177011,[44  4] ; [46  3],[44.53608247  3.46391753] ; [45.46391753  3.53608247],0
u1,1,0.673955,0.177011,[ 4 44] ; [ 3 46],[ 3.46391753 44.53608247] ; [ 3.53608247 45.46391753],0
b2,1,0.690257,0.158807,[ 8 24] ; [ 8 19],[ 8.6779661 23.3220339] ; [ 7.3220339 19.6779661],0
b3,1,0.690257,0.158807,[ 8 24] ; [ 8 19],[ 8.6779661 23.3220339] ; [ 7.3220339 19.6779661],0
p1,1,0.737344,0.112475,[ 3 44] ; [ 4 45],[ 3.42708333 43.57291667] ; [ 3.57291667 45.42708333],0
d4,1,0.767726,0.087232,[36 12] ; [38 11],[36.6185567 11.3814433] ; [37.3814433 11.6185567],0
n4,1,0.767988,0.08703,[26 22] ; [28 21],[26.72164948 21.27835052] ; [27.27835052 21.72164948],0
d2,1,0.773934,0.082503,[17 31] ; [16 33],[16.32989691 31.67010309] ; [16.67010309 32.32989691],0
r2,1,0.796646,0.066404,[41  7] ; [41  6],[41.43157895  6.56842105] ; [40.56842105  6.43157895],0
r4,1,0.846828,0.037314,[38 10] ; [38 11],[37.60824742 10.39175258] ; [38.39175258 10.60824742],0
p8,1,0.924075,0.009083,[22 26] ; [22 25],[22.23157895 25.76842105] ; [21.76842105 25.23157895],0
d3,1,0.937824,0.006085,[30 18] ; [31 18],[30.18556701 17.81443299] ; [30.81443299 18.18556701],0
a6,1,0.940537,0.005564,[31 17] ; [32 17],[31.17525773 16.82474227] ; [31.82474227 17.17525773],0
s5,1,0.957744,0.002807,[10 37] ; [10 38],[ 9.89473684 37.10526316] ; [10.10526316 37.89473684],0
u3,1,0.961245,0.002361,[17  7] ; [7 3],[16.94117647  7.05882353] ; [7.05882353 2.94117647],0
v4,1,0.975179,0.000968,[43  4] ; [44  4],[43.04210526  3.95789474] ; [43.95789474  4.04210526],0
a1,1,0.983199,0.000443,[ 2 46] ; [ 2 47],[ 1.97938144 46.02061856] ; [ 2.02061856 46.97938144],0
