Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,29.476668,[52  6] ; [ 6 15],[42.58227848 15.41772152] ; [15.41772152  5.58227848],1
d5,1,0.0,27.09579,[57  1] ; [11 10],[49.92405063  8.07594937] ; [18.07594937  2.92405063],1
d2,1,2.5e-05,17.7354,[44 14] ; [ 5 16],[35.97468354 22.02531646] ; [13.02531646  7.97468354],1
a5,1,4.8e-05,16.51122,[49  9] ; [ 8 13],[41.84810127 16.15189873] ; [15.15189873  5.84810127],1
p4,1,0.003368,8.596601,[45 13] ; [ 9 12],[39.64556962 18.35443038] ; [14.35443038  6.64556962],0
a2,1,0.00825,6.9783,[20 38] ; [ 1 20],[15.41772152 42.58227848] ; [ 5.58227848 15.41772152],0
a4,1,0.009316,6.761179,[33 25] ; [ 5 16],[27.89873418 30.10126582] ; [10.10126582 10.89873418],0
p6,1,0.010003,6.634374,[35 22] ; [ 6 15],[29.96153846 27.03846154] ; [11.03846154  9.96153846],0
a3,1,0.010872,6.486096,[47 11] ; [11 10],[42.58227848 15.41772152] ; [15.41772152  5.58227848],0
r4,1,0.020772,5.345802,[56  2] ; [17  4],[53.59493671  4.40506329] ; [19.40506329  1.59493671],0
u1,1,0.021094,5.319008,[21 37] ; [ 2 19],[16.88607595 41.11392405] ; [ 6.11392405 14.88607595],0
v3,1,0.0249,5.030841,[24 34] ; [ 3 18],[19.82278481 38.17721519] ; [ 7.17721519 13.82278481],0
a6,1,0.03466,4.461868,[40 18] ; [ 9 12],[35.97468354 22.02531646] ; [13.02531646  7.97468354],0
p10,1,0.039497,4.239367,[53  4] ; [16  5],[50.42307692  6.57692308] ; [18.57692308  2.42307692],0
p2,1,0.081739,3.029973,[49  9] ; [14  7],[46.25316456 11.74683544] ; [16.74683544  4.25316456],0
r2,1,0.113495,2.504862,[56  1] ; [19  2],[54.80769231  2.19230769] ; [20.19230769  0.80769231],0
r1,1,0.124162,2.364021,[48 10] ; [14  7],[45.51898734 12.48101266] ; [16.48101266  4.51898734],0
u2,1,0.130134,2.290909,[8 3] ; [4 6],[6.28571429 4.71428571] ; [5.71428571 4.28571429],0
s5,1,0.174231,1.846154,[35 17] ; [10 10],[32.5 19.5] ; [12.5  7.5],0
s6,1,0.193003,1.694542,[53  3] ; [18  3],[51.63636364  4.36363636] ; [19.36363636  1.63636364],0
p3,1,0.213937,1.544583,[34 24] ; [ 9 12],[31.56962025 26.43037975] ; [11.43037975  9.56962025],0
b5,1,0.226066,1.465443,[39 19] ; [11 10],[36.70886076 21.29113924] ; [13.29113924  7.70886076],0
n6,1,0.288811,1.125155,[50  8] ; [16  5],[48.4556962  9.5443038] ; [17.5443038  3.4556962],0
p9,1,0.319159,0.99239,[53  4] ; [18  3],[51.88461538  5.11538462] ; [19.11538462  1.88461538],0
b1,1,0.384503,0.756256,[24 34] ; [11 10],[25.69620253 32.30379747] ; [ 9.30379747 11.69620253],0
n5,1,0.440678,0.594517,[42 16] ; [17  4],[43.3164557 14.6835443] ; [15.6835443  5.3164557],0
a7,1,0.458291,0.550064,[41 17] ; [13  8],[39.64556962 18.35443038] ; [14.35443038  6.64556962],0
b4,1,0.464506,0.535015,[33 25] ; [10 11],[31.56962025 26.43037975] ; [11.43037975  9.56962025],0
p8,1,0.472405,0.516345,[35 22] ; [11 10],[33.61538462 23.38461538] ; [12.38461538  8.61538462],0
s1,1,0.482853,0.492413,[ 3 55] ; [ 2 19],[ 3.67088608 54.32911392] ; [ 1.32911392 19.67088608],0
s7,1,0.490865,0.474629,[46 10] ; [15  5],[44.94736842 11.05263158] ; [16.05263158  3.94736842],0
n4,1,0.512816,0.428317,[43 15] ; [14  7],[41.84810127 16.15189873] ; [15.15189873  5.84810127],0
u3,1,0.695943,0.152727,[8 3] ; [8 2],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
v2,1,0.700964,0.147471,[28 28] ; [ 9 11],[27.26315789 28.73684211] ; [ 9.73684211 10.26315789],0
v1,1,0.721139,0.127404,[33 25] ; [11 10],[32.30379747 25.69620253] ; [11.69620253  9.30379747],0
n1,1,0.786648,0.07326,[ 5 10] ; [2 3],[5.25 9.75] ; [1.75 3.25],0
r3,1,0.787266,0.072826,[56  2] ; [20  1],[55.79746835  2.20253165] ; [20.20253165  0.79746835],0
s3,1,0.81659,0.053793,[48 10] ; [17  3],[48.33333333  9.66666667] ; [16.66666667  3.33333333],0
p11,1,0.852956,0.034354,[43 15] ; [16  5],[43.3164557 14.6835443] ; [15.6835443  5.3164557],0
p7,1,0.876289,0.024235,[41 15] ; [15  5],[41.26315789 14.73684211] ; [14.73684211  5.26315789],0
p1,1,0.892828,0.018151,[ 9 49] ; [ 3 18],[ 8.81012658 49.18987342] ; [ 3.18987342 17.81012658],0
p12,1,0.91792,0.01062,[ 5 52] ; [ 2 19],[ 5.11538462 51.88461538] ; [ 1.88461538 19.11538462],0
s2,1,0.955911,0.003056,[49  9] ; [17  3],[49.07692308  8.92307692] ; [16.92307692  3.07692308],0
a8,1,0.986959,0.000267,[ 3 52] ; [ 1 17],[ 3.01369863 51.98630137] ; [ 0.98630137 17.01369863],0
