Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0003,13.070068,[14 78] ; [16 19],[21.73228346 70.26771654] ; [ 8.26771654 26.73228346],1
p7,1,0.000766,11.321154,[26 64] ; [22 14],[34.28571429 55.71428571] ; [13.71428571 22.28571429],1
d3,1,0.002132,9.432405,[44 48] ; [28  8],[51.75 40.25] ; [20.25 15.75],0
p2,1,0.003437,8.559688,[40 52] ; [26 10],[47.4375 44.5625] ; [18.5625 17.4375],0
s6,1,0.005938,7.568979,[29 62] ; [21 15],[35.82677165 55.17322835] ; [14.17322835 21.82677165],0
v2,1,0.006497,7.406934,[26 62] ; [20 16],[32.64516129 55.35483871] ; [13.35483871 22.64516129],0
r3,1,0.009891,6.654375,[63 27] ; [33  3],[68.57142857 21.42857143] ; [27.42857143  8.57142857],0
r4,1,0.011207,6.43225,[52 40] ; [29  7],[58.21875 33.78125] ; [22.78125 13.21875],0
v4,1,0.012267,6.27192,[63 26] ; [33  3],[68.352 20.648] ; [27.648  8.352],0
s8,1,0.014974,5.919552,[13 78] ; [12 24],[17.91338583 73.08661417] ; [ 7.08661417 28.91338583],0
p6,1,0.031952,4.601092,[11 80] ; [10 26],[15.04724409 75.95275591] ; [ 5.95275591 30.04724409],0
r2,1,0.034294,4.48,[71 19] ; [34  2],[75. 15.] ; [30.  6.],0
a5,1,0.035905,4.401609,[45 47] ; [25 11],[50.3125 41.6875] ; [19.6875 16.3125],0
d5,1,0.056245,3.64479,[58 34] ; [29  7],[62.53125 29.46875] ; [24.46875 11.53125],0
u1,1,0.062246,3.4765,[ 9 83] ; [ 8 28],[12.21875 79.78125] ; [ 4.78125 31.21875],0
s7,1,0.067378,3.345773,[19 65] ; [14 22],[23.1 60.9] ; [ 9.9 26.1],0
s3,1,0.096418,2.763823,[31 60] ; [18 18],[35.11023622 55.88976378] ; [13.88976378 22.11023622],0
d1,1,0.116451,2.464415,[37 55] ; [20 16],[40.96875 51.03125] ; [16.03125 19.96875],0
a7,1,0.151327,2.058824,[50 40] ; [25 11],[53.57142857 36.42857143] ; [21.42857143 14.57142857],0
v3,1,0.170472,1.878788,[19 69] ; [12 24],[22. 66.] ; [ 9. 27.],0
v1,1,0.195429,1.67621,[25 67] ; [14 22],[28.03125 63.96875] ; [10.96875 25.03125],0
p11,1,0.238185,1.391304,[43 49] ; [21 15],[46. 46.] ; [18. 18.],0
n6,1,0.242473,1.366159,[53 38] ; [25 11],[55.88976378 35.11023622] ; [22.11023622 13.88976378],0
u2,1,0.279184,1.17106,[21 14] ; [7 9],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
s5,1,0.289918,1.12,[13 77] ; [ 8 28],[15. 75.] ; [ 6. 30.],0
s2,1,0.293517,1.103419,[22 69] ; [12 24],[24.36220472 66.63779528] ; [ 9.63779528 26.36220472],0
a3,1,0.307015,1.043473,[57 34] ; [19 17],[54.45669291 36.54330709] ; [21.54330709 14.45669291],0
n3,1,0.309749,1.031746,[20 20] ; [8 4],[21.53846154 18.46153846] ; [6.46153846 5.53846154],0
a1,1,0.310019,1.030596,[ 7 85] ; [ 1 35],[ 5.75 86.25] ; [ 2.25 33.75],0
b1,1,0.337639,0.919376,[45 47] ; [21 15],[47.4375 44.5625] ; [18.5625 17.4375],0
d2,1,0.367263,0.812903,[42 48] ; [20 16],[44.28571429 45.71428571] ; [17.71428571 18.28571429],0
p1,1,0.380837,0.767998,[ 4 87] ; [ 3 33],[ 5.01574803 85.98425197] ; [ 1.98425197 34.01574803],0
n4,1,0.393365,0.728515,[58 33] ; [20 16],[55.88976378 35.11023622] ; [22.11023622 13.88976378],0
b5,1,0.402513,0.700805,[51 41] ; [17 19],[48.875 43.125] ; [19.125 16.875],0
p10,1,0.417978,0.655995,[20 72] ; [10 25],[21.73228346 70.26771654] ; [ 8.26771654 26.73228346],0
