Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,96.170848,[130  17] ; [ 64 119],[86.41818182 60.58181818] ; [107.58181818  75.41818182],1
d2,1,0.0,94.445889,[102  44] ; [ 31 152],[59.0212766 86.9787234] ; [ 73.9787234 109.0212766],1
d4,1,0.0,88.576534,[144   2] ; [96 88],[106.18181818  39.81818182] ; [133.81818182  50.18181818],1
d5,1,0.0,78.564842,[143   4] ; [99 85],[107.47432024  39.52567976] ; [134.52567976  49.47432024],1
a2,1,0.0,43.454628,[ 46 101] ; [  8 176],[ 23.98187311 123.01812689] ; [ 30.01812689 153.98187311],1
a5,1,0.0,33.362884,[120  27] ; [94 90],[95.03927492 51.96072508] ; [118.96072508  65.03927492],1
a4,1,0.0,32.485109,[82 64] ; [ 46 136],[56.97560976 89.02439024] ; [ 71.02439024 110.97560976],1
u1,1,0.0,28.451575,[ 31 116] ; [  5 179],[ 15.98791541 131.01208459] ; [ 20.01208459 163.98791541],1
a3,1,0.0,26.889742,[112  35] ; [87 94],[89.18597561 57.81402439] ; [109.81402439  71.18597561],1
r2,1,7.3e-05,15.732444,[136   8] ; [143  38],[123.61846154  20.38153846] ; [155.38153846  25.61846154],1
r1,1,9.5e-05,15.227753,[117  29] ; [110  73],[100.73556231  45.26443769] ; [126.26443769  56.73556231],1
a6,1,0.000258,13.349549,[110  37] ; [102  82],[94.1510574 52.8489426] ; [117.8489426  66.1510574],1
r4,1,0.001206,10.480867,[124  23] ; [127  57],[111.47129909  35.52870091] ; [139.52870091  44.47129909],0
a7,1,0.003283,8.643324,[109  38] ; [108  76],[96.37160121 50.62839879] ; [120.62839879  63.37160121],0
s5,1,0.012828,6.192649,[ 35 110] ; [ 24 155],[ 26.40432099 118.59567901] ; [ 32.59567901 146.40432099],0
b4,1,0.033735,4.508089,[93 54] ; [95 89],[83.49244713 63.50755287] ; [104.50755287  79.49244713],0
n4,1,0.055531,3.666084,[108  39] ; [117  67],[99.9244713 47.0755287] ; [125.0755287  58.9244713],0
p4,1,0.072209,3.232071,[74 73] ; [ 74 109],[65.92727273 81.07272727] ; [ 82.07272727 100.92727273],0
a1,1,0.07497,3.170713,[  2 145] ; [  9 175],[  4.88519637 142.11480363] ; [  6.11480363 177.88519637],0
r3,1,0.07911,3.083087,[132  15] ; [152  31],[126.50909091  20.49090909] ; [157.49090909  25.50909091],0
n3,1,0.081017,3.044377,[24 18] ; [47 17],[28.13207547 13.86792453] ; [42.86792453 21.13207547],0
n2,1,0.149047,2.081981,[25 19] ; [45 19],[28.51851852 15.48148148] ; [41.48148148 22.51851852],0
n6,1,0.155358,2.018839,[114  32] ; [131  53],[108.39393939  37.60606061] ; [136.60606061  47.39393939],0
s4,1,0.16265,1.949411,[ 12 134] ; [ 24 160],[ 15.92727273 130.07272727] ; [ 20.07272727 163.92727273],0
p3,1,0.166612,1.913167,[60 86] ; [ 62 122],[53.97575758 92.02424242] ; [ 68.02424242 115.97575758],0
v2,1,0.190988,1.709983,[58 87] ; [ 58 118],[52.39875389 92.60124611] ; [ 63.60124611 112.39875389],0
s8,1,0.222953,1.485262,[ 32 115] ; [ 30 152],[ 27.70212766 119.29787234] ; [ 34.29787234 147.70212766],0
b2,1,0.237192,1.397206,[35 51] ; [32 67],[31.14594595 54.85405405] ; [35.85405405 63.14594595],0
b3,1,0.237192,1.397206,[35 51] ; [32 67],[31.14594595 54.85405405] ; [35.85405405 63.14594595],0
p10,1,0.278738,1.17323,[102  45] ; [114  65],[97.39877301 49.60122699] ; [118.60122699  60.39877301],0
b5,1,0.288951,1.124502,[90 57] ; [102  82],[85.26888218 61.73111782] ; [106.73111782  77.26888218],0
s3,1,0.289088,1.123864,[ 31 116] ; [ 47 133],[ 35.06422018 111.93577982] ; [ 42.93577982 137.06422018],0
p6,1,0.321052,0.984657,[ 38 106] ; [ 39 141],[ 34.22222222 109.77777778] ; [ 42.77777778 137.22222222],0
p7,1,0.324559,0.970486,[81 65] ; [90 90],[76.58282209 69.41717791] ; [94.41717791 85.58282209],0
u3,1,0.335536,0.927412,[19 16] ; [43 53],[16.5648855 18.4351145] ; [45.4351145 50.5648855],0
p8,1,0.339419,0.912626,[69 78] ; [ 75 105],[64.73394495 82.26605505] ; [ 79.26605505 100.73394495],0
s1,1,0.352727,0.863622,[  3 143] ; [  7 176],[  4.43768997 141.56231003] ; [  5.56231003 177.43768997],0
v4,1,0.35436,0.857781,[128  18] ; [153  29],[125.07926829  20.92073171] ; [155.92073171  26.07926829],0
v1,1,0.449339,0.57232,[59 87] ; [ 65 114],[55.70461538 90.29538462] ; [ 68.29538462 110.70461538],0
p11,1,0.492028,0.472088,[102  45] ; [134  50],[104.80966767  42.19033233] ; [131.19033233  52.80966767],0
p12,1,0.49381,0.468214,[  3 143] ; [  6 176],[  4.00609756 141.99390244] ; [  4.99390244 177.00609756],0
p2,1,0.560495,0.338847,[107  39] ; [140  44],[109.27878788  36.72121212] ; [137.72121212  46.27878788],0
p1,1,0.594158,0.283898,[ 11 136] ; [ 11 172],[  9.8 137.2] ; [ 12.2 170.8],0
p9,1,0.639536,0.21935,[105  39] ; [127  53],[103.11111111  40.88888889] ; [128.88888889  51.11111111],0
u2,1,0.663026,0.189868,[15 19] ; [47 50],[16.09160305 17.90839695] ; [45.90839695 51.09160305],0
n5,1,0.788251,0.072136,[95 51] ; [121  61],[96.14634146 49.85365854] ; [119.85365854  62.14634146],0
b1,1,0.849844,0.035841,[60 87] ; [ 77 107],[60.8429003 86.1570997] ; [ 76.1570997 107.8429003],0
n1,1,0.892064,0.018413,[17 28] ; [25 39],[17.33944954 27.66055046] ; [24.66055046 39.33944954],0
s6,1,0.898219,0.016361,[59 87] ; [ 74 106],[59.56441718 86.43558282] ; [ 73.43558282 106.56441718],0
s7,1,0.900443,0.01565,[ 29 112] ; [ 37 138],[ 29.44936709 111.55063291] ; [ 36.55063291 138.44936709],0
p5,1,0.914976,0.011399,[ 10 137] ; [ 13 170],[ 10.24545455 136.75454545] ; [ 12.75454545 170.24545455],0
a8,1,0.927414,0.008299,[ 13 122] ; [ 17 154],[ 13.23529412 121.76470588] ; [ 16.76470588 154.23529412],0
