Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,26.32,[26 60] ; [95 51],[44.85344828 41.14655172] ; [76.14655172 69.85344828],1
v1,1,1e-05,19.422309,[38 47] ; [109  39],[53.62660944 31.37339056] ; [93.37339056 54.62660944],1
s4,1,0.00018,14.032976,[31 58] ; [ 21 128],[19.44537815 69.55462185] ; [ 32.55462185 116.44537815],1
a3,1,0.002626,9.050668,[68 20] ; [136  13],[75.74683544 12.25316456] ; [128.25316456  20.74683544],0
a5,1,0.00967,6.694726,[66 23] ; [131  19],[73.35983264 15.64016736] ; [123.64016736  26.35983264],0
p7,1,0.02546,4.992331,[66 23] ; [127  21],[72.47679325 16.52320675] ; [120.52320675  27.47679325],0
n3,1,0.029442,4.741601,[8 7] ; [22  4],[10.97560976  4.02439024] ; [19.02439024  6.97560976],0
a8,1,0.045355,4.005388,[ 7 76] ; [ 25 112],[12.07272727 70.92727273] ; [ 19.92727273 117.07272727],0
d4,1,0.079121,3.082864,[73 15] ; [136  14],[77.27731092 10.72268908] ; [131.72268908  18.27731092],0
d2,1,0.118115,2.442135,[46 43] ; [93 57],[51.76150628 37.23849372] ; [87.23849372 62.76150628],0
a6,1,0.120486,2.410986,[54 35] ; [105  44],[59.45798319 29.54201681] ; [99.54201681 49.45798319],0
a7,1,0.127247,2.325775,[55 34] ; [107  43],[60.32635983 28.67364017] ; [101.67364017  48.32635983],0
r2,1,0.138251,2.197321,[84  5] ; [145   3],[85.99578059  3.00421941] ; [143.00421941   4.99578059],0
a2,1,0.160546,1.96908,[22 67] ; [ 50 100],[26.81171548 62.18828452] ; [ 45.18828452 104.81171548],0
n4,1,0.175004,1.839545,[74 15] ; [133  16],[77.40756303 11.59243697] ; [129.59243697  19.40756303],0
n2,1,0.181092,1.78864,[10  5] ; [22  4],[11.70731707  3.29268293] ; [20.29268293  5.70731707],0
p10,1,0.184089,1.764299,[77 12] ; [136  12],[79.98734177  9.01265823] ; [133.01265823  14.98734177],0
d5,1,0.188295,1.730909,[72 16] ; [132  18],[75.42857143 12.57142857] ; [128.57142857  21.42857143],0
p12,1,0.195357,1.676745,[ 9 80] ; [ 24 125],[12.34033613 76.65966387] ; [ 20.65966387 128.34033613],0
s5,1,0.225201,1.470918,[38 48] ; [74 67],[42.43171806 43.56828194] ; [69.56828194 71.43171806],0
n5,1,0.251112,1.317105,[72 17] ; [128  20],[75.10548523 13.89451477] ; [124.89451477  23.10548523],0
p2,1,0.269239,1.220622,[78 11] ; [138  12],[80.43514644  8.56485356] ; [135.56485356  14.43514644],0
r4,1,0.274343,1.1949,[81  8] ; [142   8],[83.041841  5.958159] ; [139.958159  10.041841],0
p6,1,0.28366,1.149469,[47 41] ; [89 58],[50.92765957 37.07234043] ; [85.07234043 61.92765957],0
r3,1,0.291121,1.114432,[88  1] ; [145   5],[86.76569038  2.23430962] ; [146.23430962   3.76569038],0
u1,1,0.335181,0.928777,[21 68] ; [ 44 106],[24.20502092 64.79497908] ; [ 40.79497908 109.20502092],0
b4,1,0.342131,0.902432,[46 43] ; [87 63],[49.52719665 39.47280335] ; [83.47280335 66.52719665],0
u4,1,0.342166,0.902301,[ 2 87] ; [  7 143],[ 3.35146444 85.64853556] ; [  5.64853556 144.35146444],0
s8,1,0.36972,0.804604,[59 30] ; [107  42],[62.07563025 26.92436975] ; [103.92436975  45.07563025],0
p11,1,0.369785,0.804388,[72 17] ; [128  22],[74.47698745 14.52301255] ; [125.52301255  24.47698745],0
s1,1,0.389431,0.740719,[ 5 83] ; [  5 144],[ 3.71308017 84.28691983] ; [  6.28691983 142.71308017],0
r1,1,0.406753,0.688271,[71 18] ; [126  24],[73.35983264 15.64016736] ; [123.64016736  26.35983264],0
s6,1,0.414339,0.666317,[76 12] ; [121  26],[73.77021277 14.22978723] ; [123.22978723  23.77021277],0
n6,1,0.472295,0.516602,[80  9] ; [137  11],[81.48945148  7.51054852] ; [135.51054852  12.48945148],0
p4,1,0.49691,0.46153,[76 13] ; [123  27],[74.10460251 14.89539749] ; [124.89539749  25.10460251],0
d1,1,0.505356,0.44367,[58 31] ; [104  46],[60.32635983 28.67364017] ; [101.67364017  48.32635983],0
p9,1,0.586458,0.295909,[82  7] ; [140   9],[83.01680672  5.98319328] ; [138.98319328  10.01680672],0
v4,1,0.630211,0.231775,[87  2] ; [145   5],[86.39330544  2.60669456] ; [145.60669456   4.39330544],0
s3,1,0.635961,0.224063,[67 22] ; [108  41],[65.44117647 23.55882353] ; [109.55882353  39.44117647],0
