Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000264,13.310112,[66  8] ; [238 111],[53.1820331 20.8179669] ; [250.8179669  98.1820331],1
v2,1,0.000667,11.577649,[33 42] ; [224 120],[46.00238663 28.99761337] ; [210.99761337 133.00238663],1
s3,1,0.000716,11.446541,[58 17] ; [198 154],[44.96487119 30.03512881] ; [211.03512881 140.96487119],1
s5,1,0.002076,9.481103,[39 30] ; [126 218],[27.56658596 41.43341404] ; [137.43341404 206.56658596],0
s2,1,0.00234,9.262002,[53 22] ; [182 172],[41.08391608 33.91608392] ; [193.91608392 160.08391608],0
a8,1,0.016266,5.773865,[ 3 70] ; [ 46 273],[ 9.125 63.875] ; [ 39.875 279.125],0
p6,1,0.023121,5.159415,[45 31] ; [157 193],[36.03755869 39.96244131] ; [165.96244131 184.03755869],0
n4,1,0.034088,4.490281,[56 20] ; [298  57],[62.42227378 13.57772622] ; [291.57772622  63.42227378],0
b3,1,0.035108,4.439926,[12 33] ; [101 131],[18.35740072 26.64259928] ; [ 94.64259928 137.35740072],0
b2,1,0.035108,4.439926,[12 33] ; [101 131],[18.35740072 26.64259928] ; [ 94.64259928 137.35740072],0
a7,1,0.062147,3.479148,[49 27] ; [266  89],[55.54524362 20.45475638] ; [259.45475638  95.54524362],0
p11,1,0.062672,3.465223,[56 20] ; [295  61],[61.75 14.25] ; [289.25  66.75],0
s1,1,0.07201,3.236606,[ 5 71] ; [  9 345],[ 2.4744186 73.5255814] ; [ 11.5255814 342.4744186],0
v3,1,0.073814,3.196107,[27 48] ; [161 179],[33.97590361 41.02409639] ; [154.02409639 185.97590361],0
u2,1,0.085571,2.955779,[ 7 11] ; [53 34],[10.28571429  7.71428571] ; [49.71428571 37.28571429],0
v4,1,0.104372,2.637441,[71  5] ; [345  10],[73.3549884  2.6450116] ; [342.6450116  12.3549884],0
s7,1,0.121166,2.402182,[48 25] ; [186 147],[42.07389163 30.92610837] ; [191.92610837 141.07389163],0
p9,1,0.186956,1.741443,[64 12] ; [316  37],[67.31934732  8.68065268] ; [312.68065268  40.31934732],0
v1,1,0.188177,1.731835,[41 35] ; [213 130],[46.07159905 29.92840095] ; [207.92840095 135.07159905],0
b4,1,0.217881,1.518274,[50 26] ; [207 149],[45.21296296 30.78703704] ; [211.78703704 144.21296296],0
d2,1,0.224615,1.474638,[45 31] ; [183 172],[40.20417633 35.79582367] ; [187.79582367 167.20417633],0
d1,1,0.224816,1.47336,[53 23] ; [222 134],[48.37962963 27.62037037] ; [226.62037037 129.37962963],0
d3,1,0.228616,1.449454,[57 19] ; [242 114],[52.60185185 23.39814815] ; [246.39814815 109.60185185],0
p10,1,0.243522,1.36009,[62 14] ; [307  47],[65.21860465 10.78139535] ; [303.78139535  50.21860465],0
n5,1,0.248986,1.328982,[56 20] ; [282  72],[59.73953488 16.26046512] ; [278.26046512  75.73953488],0
a6,1,0.274433,1.194456,[48 28] ; [247 108],[52.01856148 23.98143852] ; [242.98143852 112.01856148],0
u1,1,0.344356,0.894145,[20 56] ; [ 76 280],[16.88888889 59.11111111] ; [ 79.11111111 276.88888889],0
p2,1,0.348804,0.877805,[64 12] ; [312  42],[66.45581395  9.54418605] ; [309.54418605  44.45581395],0
p4,1,0.351071,0.869583,[63 13] ; [278  78],[59.99074074 16.00925926] ; [281.00925926  74.99074074],0
u4,1,0.392911,0.729915,[ 1 75] ; [ 11 345],[ 2.11111111 73.88888889] ; [  9.88888889 346.11111111],0
a4,1,0.400694,0.706241,[40 36] ; [168 187],[36.6774942 39.3225058] ; [171.3225058 183.6774942],0
n6,1,0.43512,0.609119,[64 12] ; [309  44],[66.07925408  9.92074592] ; [306.92074592  46.07925408],0
n3,1,0.4365,0.605465,[12  5] ; [43 11],[13.16901408  3.83098592] ; [41.83098592 12.16901408],0
p7,1,0.466832,0.529465,[60 16] ; [264  88],[57.53271028 18.46728972] ; [266.46728972  85.53271028],0
n1,1,0.505352,0.443679,[ 6 11] ; [24 30],[7.18309859 9.81690141] ; [22.81690141 31.18309859],0
p5,1,0.552565,0.352743,[11 65] ; [ 61 292],[12.75524476 63.24475524] ; [ 59.24475524 293.75524476],0
r4,1,0.591432,0.288113,[71  5] ; [338  18],[71.9537037  4.0462963] ; [337.0462963  18.9537037],0
b1,1,0.591935,0.287332,[35 41] ; [152 204],[32.89814815 43.10185185] ; [154.10185185 201.89814815],0
d4,1,0.604584,0.268137,[65 11] ; [295  60],[63.48027842 12.51972158] ; [296.51972158  58.48027842],0
d5,1,0.645261,0.211927,[65 11] ; [296  59],[63.65661253 12.34338747] ; [297.34338747  57.65661253],0
a2,1,0.688218,0.161021,[19 57] ; [ 97 259],[20.40740741 55.59259259] ; [ 95.59259259 260.40740741],0
p12,1,0.740412,0.109765,[ 7 69] ; [ 37 316],[ 7.79487179 68.20512821] ; [ 36.20512821 316.79487179],0
b5,1,0.760026,0.093297,[45 31] ; [204 152],[43.80555556 32.19444444] ; [205.19444444 150.80555556],0
a1,1,0.829407,0.046424,[ 4 72] ; [ 21 335],[ 4.39814815 71.60185185] ; [ 20.60185185 335.39814815],0
a3,1,0.869536,0.026977,[58 18] ; [267  87],[57.44186047 18.55813953] ; [267.55813953  86.44186047],0
u3,1,0.884889,0.02096,[11  7] ; [56 33],[11.27102804  6.72897196] ; [55.72897196 33.27102804],0
n2,1,0.896078,0.017061,[12  5] ; [39 15],[12.21126761  4.78873239] ; [38.78873239 15.21126761],0
p1,1,0.922737,0.009406,[10 66] ; [ 45 308],[ 9.74358974 66.25641026] ; [ 45.25641026 307.74358974],0
p8,1,0.960539,0.002448,[49 27] ; [228 124],[49.18691589 26.81308411] ; [227.81308411 124.18691589],0
s8,1,0.971749,0.001254,[40 36] ; [185 168],[39.86013986 36.13986014] ; [185.13986014 167.86013986],0
r1,1,0.973761,0.001082,[63 13] ; [294  60],[63.09767442 12.90232558] ; [293.90232558  60.09767442],0
r3,1,0.98185,0.000518,[72  3] ; [341  14],[72.03488372  2.96511628] ; [340.96511628  14.03488372],0
a5,1,0.997711,8e-06,[60 16] ; [281  75],[59.99074074 16.00925926] ; [281.00925926  74.99074074],0
