Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-05,18.153409,[37 29] ; [105 255],[22. 44.] ; [120. 240.],1
s3,1,0.000136,14.561671,[42 24] ; [137 220],[27.92907801 38.07092199] ; [151.07092199 205.92907801],1
s6,1,0.001563,10.00304,[45 18] ; [178 179],[33.45 29.55] ; [189.55 167.45],0
s7,1,0.001606,9.952479,[29 36] ; [ 87 256],[18.48039216 46.51960784] ; [ 97.51960784 245.48039216],0
b3,1,0.005219,7.801859,[ 3 31] ; [ 64 134],[ 9.81896552 24.18103448] ; [ 57.18103448 140.81896552],0
b2,1,0.005219,7.801859,[ 3 31] ; [ 64 134],[ 9.81896552 24.18103448] ; [ 57.18103448 140.81896552],0
n4,1,0.008368,6.952954,[39 27] ; [271  91],[47.80373832 18.19626168] ; [262.19626168  99.80373832],0
s5,1,0.011217,6.430681,[24 38] ; [ 84 274],[15.94285714 46.05714286] ; [ 92.05714286 265.94285714],0
d1,1,0.032235,4.58597,[25 41] ; [189 173],[33. 33.] ; [181. 181.],0
r3,1,0.035173,4.436776,[57  7] ; [343  16],[60.52009456  3.47990544] ; [339.47990544  19.52009456],0
p5,1,0.035352,4.428077,[ 1 65] ; [ 33 328],[ 5.25526932 60.74473068] ; [ 28.74473068 332.25526932],0
v2,1,0.037805,4.31377,[26 39] ; [188 160],[33.68038741 31.31961259] ; [180.31961259 167.68038741],0
p1,1,0.049964,3.842682,[ 1 65] ; [ 30 330],[ 4.8028169 61.1971831] ; [ 26.1971831 333.8028169],0
v3,1,0.053692,3.722262,[13 51] ; [114 238],[19.53846154 44.46153846] ; [107.46153846 244.53846154],0
d2,1,0.076123,3.145801,[20 46] ; [151 209],[26.49295775 39.50704225] ; [144.50704225 215.49295775],0
a8,1,0.084867,2.969137,[ 3 58] ; [ 41 286],[ 6.91752577 54.08247423] ; [ 37.08247423 289.91752577],0
p11,1,0.092546,2.829523,[47 19] ; [291  71],[52.12149533 13.87850467] ; [285.87850467  76.12149533],0
b1,1,0.118265,2.440144,[18 48] ; [135 227],[23.59345794 42.40654206] ; [129.40654206 232.59345794],0
v1,1,0.127382,2.324118,[26 39] ; [178 176],[31.64677804 33.35322196] ; [172.35322196 181.64677804],0
r1,1,0.127655,2.320788,[45 21] ; [277  83],[49.88732394 16.11267606] ; [272.11267606  87.88732394],0
r4,1,0.129807,2.294805,[53 13] ; [316  46],[56.90186916  9.09813084] ; [312.09813084  49.90186916],0
r2,1,0.152238,2.049678,[58  8] ; [333  25],[60.86320755  5.13679245] ; [330.13679245  27.86320755],0
a7,1,0.160996,1.964842,[43 22] ; [269  92],[47.6056338 17.3943662] ; [264.3943662  96.6056338],0
p12,1,0.162315,1.952525,[ 1 65] ; [ 20 339],[ 3.26117647 62.73882353] ; [ 17.73882353 341.26117647],0
u1,1,0.163819,1.938618,[ 5 61] ; [ 50 312],[ 8.48130841 57.51869159] ; [ 46.51869159 315.48130841],0
n2,1,0.166571,1.913536,[15  2] ; [60 23],[12.75  4.25] ; [62.25 20.75],0
d4,1,0.183334,1.77039,[48 18] ; [288  72],[52.05633803 13.94366197] ; [283.94366197  76.05633803],0
a2,1,0.198416,1.653999,[ 9 57] ; [ 74 288],[12.79906542 53.20093458] ; [ 70.20093458 291.79906542],0
d3,1,0.227619,1.455677,[49 16] ; [245 116],[44.85915493 20.14084507] ; [249.14084507 111.85915493],0
a4,1,0.288656,1.125878,[23 43] ; [151 210],[26.89461358 39.10538642] ; [147.10538642 213.89461358],0
p6,1,0.325785,0.965581,[23 42] ; [104 251],[19.6547619 45.3452381] ; [107.3452381 247.6547619],0
d5,1,0.326383,0.963195,[48 17] ; [287  75],[50.99531616 14.00468384] ; [284.00468384  77.99531616],0
p3,1,0.380143,0.770239,[32 34] ; [154 207],[28.74941452 37.25058548] ; [157.25058548 203.74941452],0
v4,1,0.380351,0.769566,[60  5] ; [341  18],[61.4740566  3.5259434] ; [339.5259434  19.4740566],0
a1,1,0.383212,0.760372,[ 1 65] ; [ 13 349],[ 2.1588785 63.8411215] ; [ 11.8411215 350.1588785],0
a5,1,0.491526,0.473184,[42 24] ; [246 116],[44.41121495 21.58878505] ; [243.58878505 118.41121495],0
p7,1,0.505618,0.443125,[42 22] ; [218 138],[39.61904762 24.38095238] ; [220.38095238 135.61904762],0
n6,1,0.506471,0.441352,[51 14] ; [295  65],[52.91764706 12.08235294] ; [293.08235294  66.91764706],0
n3,1,0.548445,0.36011,[12  5] ; [65 19],[12.96039604  4.03960396] ; [64.03960396 19.96039604],0
b5,1,0.566102,0.329249,[38 28] ; [222 140],[40.09345794 25.90654206] ; [219.90654206 142.09345794],0
p9,1,0.569983,0.322711,[52 13] ; [296  61],[53.60189573 11.39810427] ; [294.39810427  62.60189573],0
a3,1,0.580458,0.305494,[40 26] ; [231 129],[41.98591549 24.01408451] ; [229.01408451 130.98591549],0
n1,1,0.585326,0.297703,[ 4 13] ; [25 58],[ 4.93 12.07] ; [24.07 58.93],0
a6,1,0.666395,0.185848,[44 22] ; [251 111],[45.49065421 20.50934579] ; [249.50934579 112.49065421],0
p10,1,0.682175,0.167688,[52 13] ; [279  80],[50.74292453 14.25707547] ; [280.25707547  78.74292453],0
b4,1,0.708304,0.139977,[41 25] ; [216 146],[39.63084112 26.36915888] ; [217.36915888 144.63084112],0
p8,1,0.79512,0.067427,[32 31] ; [175 182],[31.05 31.95] ; [175.95 181.05],0
u2,1,0.827372,0.047556,[13 13] ; [67 61],[13.50649351 12.49350649] ; [66.49350649 61.50649351],0
n5,1,0.832614,0.044669,[47 19] ; [251 108],[46.27764706 19.72235294] ; [251.72235294 107.27764706],0
s1,1,0.936276,0.006392,[ 1 64] ; [  6 352],[ 1.07565012 63.92434988] ; [  5.92434988 352.07565012],0
p4,1,0.987403,0.000249,[37 29] ; [202 159],[36.94145199 29.05854801] ; [202.05854801 158.94145199],0
u3,1,1.0,0.0,[13 13] ; [64 64],[13. 13.] ; [64. 64.],0
