Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.48125,[14  2] ; [ 6 30],[6.15384615 9.84615385] ; [13.84615385 22.15384615],1
d5,1,0.000119,14.807705,[15  1] ; [13 23],[8.61538462 7.38461538] ; [19.38461538 16.61538462],1
d4,1,0.000119,14.807705,[15  1] ; [13 23],[8.61538462 7.38461538] ; [19.38461538 16.61538462],1
a4,1,0.011062,6.455309,[9 6] ; [ 8 27],[5.1 9.9] ; [11.9 23.1],0
a5,1,0.01623,5.777778,[12  4] ; [14 22],[8. 8.] ; [18. 18.],0
d2,1,0.016961,5.700397,[10  5] ; [11 25],[6.17647059 8.82352941] ; [14.82352941 21.17647059],0
n4,1,0.03851,4.282353,[14  2] ; [21 15],[10.76923077  5.23076923] ; [24.23076923 11.76923077],0
p6,1,0.05013,3.837111,[ 3 13] ; [ 1 34],[ 1.25490196 14.74509804] ; [ 2.74509804 32.25490196],0
s5,1,0.076443,3.138961,[ 5 11] ; [ 4 32],[ 2.76923077 13.23076923] ; [ 6.23076923 29.76923077],0
v2,1,0.094341,2.798701,[ 5 11] ; [ 4 30],[ 2.88 13.12] ; [ 6.12 27.88],0
s4,1,0.10412,2.64127,[ 4 12] ; [ 3 33],[ 2.15384615 13.84615385] ; [ 4.84615385 31.15384615],0
p5,1,0.152885,2.043229,[ 2 13] ; [ 1 34],[ 0.9 14.1] ; [ 2.1 32.9],0
n2,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
n1,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
p4,1,0.194883,1.680309,[6 9] ; [ 8 28],[ 4.11764706 10.88235294] ; [ 9.88235294 26.11764706],0
p3,1,0.194883,1.680309,[6 9] ; [ 8 28],[ 4.11764706 10.88235294] ; [ 9.88235294 26.11764706],0
a3,1,0.212788,1.552354,[11  5] ; [17 17],[8.96 7.04] ; [19.04 14.96],0
a7,1,0.254213,1.3,[8 8] ; [12 24],[6.15384615 9.84615385] ; [13.84615385 22.15384615],0
b1,1,0.281934,1.157744,[11  5] ; [19 17],[9.23076923 6.76923077] ; [20.76923077 15.23076923],0
b2,1,0.298094,1.082702,[3 8] ; [11 13],[4.4 6.6] ; [ 9.6 14.4],0
b3,1,0.298094,1.082702,[3 8] ; [11 13],[4.4 6.6] ; [ 9.6 14.4],0
n6,1,0.311281,1.025231,[9 6] ; [16 20],[7.35294118 7.64705882] ; [17.64705882 18.35294118],0
p2,1,0.312718,1.019161,[ 4 11] ; [15 21],[5.58823529 9.41176471] ; [13.41176471 22.58823529],0
r2,1,0.317643,0.998629,[11  3] ; [23 13],[9.52 4.48] ; [24.48 11.52],0
r1,1,0.355978,0.852033,[7 9] ; [11 25],[ 5.53846154 10.46153846] ; [12.46153846 23.53846154],0
p10,1,0.38667,0.749388,[8 8] ; [13 22],[6.58823529 9.41176471] ; [14.41176471 20.58823529],0
p1,1,0.456343,0.55485,[ 3 13] ; [ 4 32],[ 2.15384615 13.84615385] ; [ 4.84615385 31.15384615],0
s3,1,0.460172,0.545476,[ 2 14] ; [ 7 26],[ 2.93877551 13.06122449] ; [ 6.06122449 26.93877551],0
u2,1,0.477197,0.505263,[1 4] ; [ 7 12],[1.66666667 3.33333333] ; [ 6.33333333 12.66666667],0
u3,1,0.549185,0.358779,[2 3] ; [ 5 14],[1.45833333 3.54166667] ; [ 5.54166667 13.45833333],0
s6,1,0.639097,0.219925,[ 5 11] ; [ 9 27],[ 4.30769231 11.69230769] ; [ 9.69230769 26.30769231],0
r4,1,0.653856,0.201073,[ 3 13] ; [ 5 31],[ 2.46153846 13.53846154] ; [ 5.53846154 30.46153846],0
p9,1,0.6583,0.195595,[ 6 10] ; [15 19],[6.72 9.28] ; [14.28 19.72],0
p8,1,0.681041,0.168957,[ 5 11] ; [ 9 26],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
n5,1,0.683181,0.166567,[12  4] ; [25 11],[11.38461538  4.61538462] ; [25.61538462 10.38461538],0
v1,1,0.683181,0.166567,[ 4 12] ; [11 25],[ 4.61538462 11.38461538] ; [10.38461538 25.61538462],0
p11,1,0.683181,0.166567,[ 4 12] ; [11 25],[ 4.61538462 11.38461538] ; [10.38461538 25.61538462],0
n3,1,0.769698,0.085714,[3 5] ; [7 9],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
s1,1,0.794703,0.067708,[ 1 15] ; [ 3 33],[ 1.23076923 14.76923077] ; [ 2.76923077 33.23076923],0
a2,1,0.794703,0.067708,[ 1 15] ; [ 3 33],[ 1.23076923 14.76923077] ; [ 2.76923077 33.23076923],0
b5,1,0.888387,0.019697,[7 9] ; [15 21],[6.76923077 9.23076923] ; [15.23076923 20.76923077],0
p7,1,0.890664,0.018896,[ 4 10] ; [11 25],[4.2 9.8] ; [10.8 25.2],0
s2,1,0.892269,0.018342,[ 2 14] ; [ 5 31],[ 2.15384615 13.84615385] ; [ 4.84615385 31.15384615],0
v3,1,0.91691,0.010884,[ 3 13] ; [ 7 28],[ 3.1372549 12.8627451] ; [ 6.8627451 28.1372549],0
b4,1,0.924303,0.009028,[10  6] ; [22 14],[9.84615385 6.15384615] ; [22.15384615 13.84615385],0
a1,1,0.953235,0.003439,[ 3 13] ; [ 7 29],[ 3.07692308 12.92307692] ; [ 6.92307692 29.07692308],0
v4,1,0.962883,0.002166,[9 7] ; [20 16],[8.92307692 7.07692308] ; [20.07692308 15.92307692],0
a6,1,0.962883,0.002166,[7 9] ; [16 20],[7.07692308 8.92307692] ; [15.92307692 20.07692308],0
