Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-06,20.120317,[32  7] ; [15 30],[21.82142857 17.17857143] ; [25.17857143 19.82142857],1
p4,1,0.002491,9.147511,[30  9] ; [20 25],[23.21428571 15.78571429] ; [26.78571429 18.21428571],0
b1,1,0.025067,5.019259,[13 26] ; [26 19],[18.10714286 20.89285714] ; [20.89285714 24.10714286],0
p6,1,0.034632,4.463206,[18 20] ; [11 33],[13.43902439 24.56097561] ; [15.56097561 28.43902439],0
p10,1,0.038899,4.265289,[34  4] ; [32 13],[30.21686747  7.78313253] ; [35.78313253  9.21686747],0
n6,1,0.045678,3.993423,[34  5] ; [31 14],[30.17857143  8.82142857] ; [34.82142857 10.17857143],0
v3,1,0.05161,3.788361,[21 18] ; [14 29],[16.64634146 22.35365854] ; [18.35365854 24.64634146],0
p11,1,0.071105,3.257328,[32  7] ; [29 16],[28.32142857 10.67857143] ; [32.67857143 12.32142857],0
p5,1,0.07296,3.215135,[ 9 30] ; [ 4 41],[ 6.03571429 32.96428571] ; [ 6.96428571 38.03571429],0
r4,1,0.082267,3.019527,[28 11] ; [24 21],[24.14285714 14.85714286] ; [27.85714286 17.14285714],0
v2,1,0.087764,2.914913,[28 11] ; [23 20],[24.25609756 14.74390244] ; [26.74390244 16.25609756],0
s6,1,0.089851,2.877046,[27  8] ; [26 18],[23.48101266 11.51898734] ; [29.51898734 14.48101266],0
d4,1,0.091461,2.848462,[33  6] ; [31 14],[29.71428571  9.28571429] ; [34.28571429 10.71428571],0
p12,1,0.120637,2.409036,[ 4 35] ; [ 1 44],[ 2.32142857 36.67857143] ; [ 2.67857143 42.32142857],0
n4,1,0.14608,2.112712,[30  9] ; [28 17],[26.92857143 12.07142857] ; [31.07142857 13.92857143],0
v4,1,0.18583,1.750371,[35  3] ; [37  8],[32.96385542  5.03614458] ; [39.03614458  5.96385542],0
n5,1,0.188786,1.727068,[31  8] ; [30 15],[28.32142857 10.67857143] ; [32.67857143 12.32142857],0
b3,1,0.202052,1.627483,[11 14] ; [ 7 19],[ 8.82352941 16.17647059] ; [ 9.17647059 16.82352941],0
b2,1,0.202052,1.627483,[11 14] ; [ 7 19],[ 8.82352941 16.17647059] ; [ 9.17647059 16.82352941],0
p9,1,0.218176,1.516326,[35  4] ; [36  9],[32.96428571  6.03571429] ; [38.03571429  6.96428571],0
p2,1,0.240363,1.378462,[32  7] ; [32 13],[29.71428571  9.28571429] ; [34.28571429 10.71428571],0
d2,1,0.256819,1.285826,[11 28] ; [18 27],[13.46428571 25.53571429] ; [15.53571429 29.46428571],0
a8,1,0.25702,1.284737,[ 3 34] ; [ 1 40],[ 1.8974359 35.1025641] ; [ 2.1025641 38.8974359],0
s5,1,0.271185,1.210742,[13 22] ; [11 32],[10.76923077 24.23076923] ; [13.23076923 29.76923077],0
d3,1,0.298384,1.081402,[26 13] ; [25 20],[23.67857143 15.32142857] ; [27.32142857 17.67857143],0
a5,1,0.337021,0.921732,[24 15] ; [23 22],[21.82142857 17.17857143] ; [25.17857143 19.82142857],0
a4,1,0.353309,0.861538,[11 28] ; [17 28],[13. 26.] ; [15. 30.],0
s3,1,0.355305,0.85442,[23 16] ; [22 23],[20.89285714 18.10714286] ; [24.10714286 20.89285714],0
u2,1,0.365592,0.818594,[9 6] ; [7 9],[7.74193548 7.25806452] ; [8.25806452 7.74193548],0
s7,1,0.368802,0.807696,[17 19] ; [16 27],[15.03797468 20.96202532] ; [17.96202532 25.03797468],0
d5,1,0.376601,0.781766,[31  8] ; [32 13],[29.25  9.75] ; [33.75 11.25],0
