Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,28.279802,[ 20 151] ; [56 96],[ 40.23529412 130.76470588] ; [ 35.76470588 116.23529412],1
s8,1,5.1e-05,16.403893,[ 33 141] ; [60 93],[ 49.48623853 124.51376147] ; [ 43.51376147 109.48623853],1
p4,1,7.6e-05,15.64514,[84 89] ; [108  46],[101.57798165  71.42201835] ; [90.42201835 63.57798165],1
s7,1,0.000234,13.538155,[ 35 130] ; [59 87],[ 49.87138264 115.12861736] ; [ 44.12861736 101.87138264],1
s2,1,0.000505,12.096401,[ 14 160] ; [ 33 120],[ 25.00917431 148.99082569] ; [ 21.99082569 131.00917431],1
p12,1,0.002895,8.872514,[  3 169] ; [ 14 140],[  8.96932515 163.03067485] ; [  8.03067485 145.96932515],0
r4,1,0.003888,8.335288,[143  31] ; [143  11],[151.7195122  22.2804878] ; [134.2804878  19.7195122],0
p10,1,0.00587,7.589865,[148  25] ; [145   8],[155.48773006  17.51226994] ; [137.51226994  15.48773006],0
a5,1,0.009039,6.815052,[118  56] ; [124  30],[128.37804878  45.62195122] ; [113.62195122  40.37804878],0
p6,1,0.010315,6.57963,[ 49 121] ; [65 88],[ 60. 110.] ; [54. 99.],0
s4,1,0.016094,5.792569,[ 13 161] ; [ 24 126],[ 19.87037037 154.12962963] ; [ 17.12962963 132.87037037],0
v1,1,0.016496,5.749241,[84 88] ; [95 58],[94.73230769 77.26769231] ; [84.26769231 68.73230769],0
p3,1,0.021222,5.308483,[74 99] ; [85 68],[84.37730061 88.62269939] ; [74.62269939 78.37730061],0
n4,1,0.049216,3.867984,[120  54] ; [121  33],[127.84756098  46.15243902] ; [113.15243902  40.84756098],0
n6,1,0.054997,3.682163,[138  35] ; [135  19],[144.43119266  28.56880734] ; [128.56880734  25.43119266],0
r1,1,0.059344,3.555612,[122  52] ; [122  32],[129.43902439  44.56097561] ; [114.56097561  39.43902439],0
p7,1,0.06177,3.489205,[97 76] ; [100  51],[105.1882716  67.8117284] ; [91.8117284 59.1882716],0
p5,1,0.067906,3.332934,[ 14 160] ; [ 22 131],[ 19.1559633 154.8440367] ; [ 16.8440367 136.1559633],0
b1,1,0.073155,3.210774,[ 66 108] ; [ 44 110],[ 58.35365854 115.64634146] ; [ 51.64634146 102.35365854],0
p1,1,0.084885,2.968806,[ 18 156] ; [  8 146],[ 13.79268293 160.20731707] ; [ 12.20731707 141.79268293],0
u1,1,0.085192,2.96295,[ 19 155] ; [ 27 127],[ 24.40243902 149.59756098] ; [ 21.59756098 132.40243902],0
d5,1,0.086402,2.940171,[133  40] ; [130  24],[139.14067278  33.85932722] ; [123.85932722  30.14067278],0
n5,1,0.087543,2.91899,[121  52] ; [119  33],[127.75384615  45.24615385] ; [112.24615385  39.75384615],0
s1,1,0.135794,2.224989,[  5 168] ; [  1 151],[  3.19384615 169.80615385] ; [  2.80615385 149.19384615],0
d3,1,0.156032,2.01227,[109  63] ; [109  45],[115.01840491  56.98159509] ; [102.98159509  51.01840491],0
v4,1,0.166578,1.913475,[161  13] ; [148   6],[163.92073171  10.07926829] ; [145.07926829   8.92073171],0
u2,1,0.182491,1.77722,[25 25] ; [34 20],[28.36538462 21.63461538] ; [30.63461538 23.36538462],0
a3,1,0.190213,1.715965,[124  49] ; [100  54],[118.50764526  54.49235474] ; [105.49235474  48.50764526],0
b4,1,0.222414,1.488726,[90 84] ; [90 64],[95.48780488 78.51219512] ; [84.51219512 69.48780488],0
a1,1,0.299913,1.074579,[  6 168] ; [  9 145],[  7.95731707 166.04268293] ; [  7.04268293 146.95731707],0
p11,1,0.344467,0.893735,[147  27] ; [124  30],[143.76219512  30.23780488] ; [127.23780488  26.76219512],0
p2,1,0.35788,0.845319,[142  30] ; [132  21],[145.00923077  26.99076923] ; [128.99076923  24.00923077],0
