Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.330065,[110   7] ; [16 19],[96.98684211 20.01315789] ; [29.01315789  5.98684211],1
r2,1,9.9e-05,15.15033,[110   7] ; [23 10],[103.74  13.26] ; [29.26  3.74],1
v3,1,0.007077,7.253389,[35 71] ; [ 3 30],[28.97841727 77.02158273] ; [ 9.02158273 23.97841727],0
v4,1,0.020299,5.386019,[107   8] ; [27  7],[103.42281879  11.57718121] ; [30.57718121  3.42281879],0
s4,1,0.027428,4.863684,[ 15 102] ; [10 25],[19.24342105 97.75657895] ; [ 5.75657895 29.24342105],0
d3,1,0.041902,4.139138,[80 36] ; [17 17],[75.01333333 40.98666667] ; [21.98666667 12.01333333],0
b1,1,0.042283,4.123849,[54 63] ; [23 12],[59.26973684 57.73026316] ; [17.73026316 17.26973684],0
a1,1,0.045835,3.987631,[  2 115] ; [ 3 32],[  3.84868421 113.15131579] ; [ 1.15131579 33.84868421],0
n4,1,0.068328,3.322733,[64 53] ; [13 22],[59.26973684 57.73026316] ; [17.73026316 17.26973684],0
a7,1,0.08242,3.016523,[82 35] ; [19 16],[77.74342105 39.25657895] ; [23.25657895 11.74342105],0
n1,1,0.090546,2.864646,[10 26] ; [7 6],[12.48979592 23.51020408] ; [4.51020408 8.48979592],0
d5,1,0.124737,2.356815,[91 25] ; [23 12],[87.57615894 28.42384106] ; [26.42384106  8.57615894],0
b4,1,0.139383,2.184756,[70 47] ; [16 19],[66.19736842 50.80263158] ; [19.80263158 15.19736842],0
u2,1,0.143296,2.142198,[31  9] ; [8 6],[28.88888889 11.11111111] ; [10.11111111  3.88888889],0
a5,1,0.151163,2.06048,[79 38] ; [19 16],[75.43421053 41.56578947] ; [22.56578947 12.43421053],0
p6,1,0.164915,1.928571,[25 87] ; [11 21],[28. 84.] ; [ 8. 24.],0
p8,1,0.174188,1.846529,[50 65] ; [10 23],[46.62162162 68.37837838] ; [13.37837838 19.62162162],0
v1,1,0.192374,1.699344,[53 62] ; [11 22],[49.72972973 65.27027027] ; [14.27027027 18.72972973],0
n2,1,0.198477,1.653543,[25 11] ; [13  2],[26.82352941  9.17647059] ; [11.17647059  3.82352941],0
v2,1,0.201101,1.634359,[57 49] ; [14 20],[53.75714286 52.24285714] ; [17.24285714 16.75714286],0
p2,1,0.236775,1.399695,[86 30] ; [21 12],[83.30201342 32.69798658] ; [23.69798658  9.30201342],0
p1,1,0.28182,1.158293,[  7 109] ; [ 4 31],[  8.45033113 107.54966887] ; [ 2.54966887 32.45033113],0
p3,1,0.372525,0.795226,[45 71] ; [10 23],[42.81879195 73.18120805] ; [12.18120805 20.81879195],0
n3,1,0.377681,0.778235,[23 11] ; [12  3],[24.28571429  9.71428571] ; [10.71428571  4.28571429],0
u1,1,0.414915,0.664674,[ 12 105] ; [ 2 33],[ 10.77631579 106.22368421] ; [ 3.22368421 31.77631579],0
s2,1,0.451338,0.56729,[48 68] ; [17 18],[49.93377483 66.06622517] ; [15.06622517 19.93377483],0
d2,1,0.464544,0.534923,[45 71] ; [16 19],[46.86092715 69.13907285] ; [14.13907285 20.86092715],0
d4,1,0.46995,0.522094,[92 23] ; [26  9],[90.46666667 24.53333333] ; [27.53333333  7.46666667],0
s1,1,0.474661,0.511106,[  7 108] ; [ 1 33],[  6.17449664 108.82550336] ; [ 1.82550336 32.17449664],0
d1,1,0.485381,0.486749,[58 59] ; [15 20],[56.19078947 60.80921053] ; [16.80921053 18.19078947],0
n5,1,0.487493,0.482056,[45 70] ; [16 19],[46.76666667 68.23333333] ; [14.23333333 20.76666667],0
b2,1,0.495014,0.465608,[17 46] ; [ 5 20],[15.75 47.25] ; [ 6.25 18.75],0
b3,1,0.495014,0.465608,[17 46] ; [ 5 20],[15.75 47.25] ; [ 6.25 18.75],0
p7,1,0.528835,0.39663,[59 53] ; [20 14],[60.60273973 51.39726027] ; [18.39726027 15.60273973],0
s7,1,0.553677,0.350772,[35 72] ; [13 21],[36.42553191 70.57446809] ; [11.57446809 22.42553191],0
p5,1,0.561538,0.337048,[  4 110] ; [ 2 33],[  4.59060403 109.40939597] ; [ 1.40939597 33.59060403],0
a4,1,0.563701,0.333336,[43 74] ; [11 24],[41.56578947 75.43421053] ; [12.43421053 22.56578947],0
a3,1,0.592335,0.286713,[76 41] ; [21 14],[74.66447368 42.33552632] ; [22.33552632 12.66447368],0
p9,1,0.597967,0.278072,[76 38] ; [25 10],[77.27516779 36.72483221] ; [23.72483221 11.27516779],0
p4,1,0.62319,0.241409,[52 63] ; [17 17],[53.25503356 61.74496644] ; [15.74496644 18.25503356],0
s3,1,0.670058,0.181534,[61 54] ; [20 15],[62.1 52.9] ; [18.9 16.1],0
u3,1,0.691949,0.156984,[28 12] ; [9 5],[27.40740741 12.59259259] ; [9.59259259 4.40740741],0
a2,1,0.694167,0.154611,[20 97] ; [ 5 30],[19.24342105 97.75657895] ; [ 5.75657895 29.24342105],0
s6,1,0.696754,0.151871,[64 52] ; [18 17],[62.99337748 53.00662252] ; [19.00662252 15.99337748],0
b5,1,0.720823,0.127705,[73 44] ; [23 12],[73.89473684 43.10526316] ; [22.10526316 12.89473684],0
p11,1,0.720823,0.127705,[73 44] ; [23 12],[73.89473684 43.10526316] ; [22.10526316 12.89473684],0
a6,1,0.791313,0.070016,[79 37] ; [23 12],[78.35761589 37.64238411] ; [23.64238411 11.35761589],0
a8,1,0.806816,0.059797,[11 96] ; [ 4 30],[11.38297872 95.61702128] ; [ 3.61702128 30.38297872],0
p10,1,0.896708,0.016853,[69 45] ; [21 13],[69.32432432 44.67567568] ; [20.67567568 13.32432432],0
