Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.6e-05,16.228797,[ 4 35] ; [8 4],[ 9.17647059 29.82352941] ; [2.82352941 9.17647059],1
p8,1,0.000774,11.302198,[ 3 36] ; [6 6],[ 6.88235294 32.11764706] ; [2.11764706 9.88235294],1
p10,1,0.001583,9.978963,[14 24] ; [10  1],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
s7,1,0.002066,9.489817,[ 5 32] ; [6 4],[ 8.65957447 28.34042553] ; [2.34042553 7.65957447],0
u3,1,0.002108,9.453125,[ 1 15] ; [3 1],[ 3.2 12.8] ; [0.8 3.2],0
p11,1,0.002335,9.265528,[13 26] ; [10  2],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
p7,1,0.002585,9.079121,[ 8 31] ; [8 4],[12.23529412 26.76470588] ; [3.76470588 8.23529412],0
p6,1,0.003422,8.56736,[ 4 33] ; [6 6],[ 7.55102041 29.44897959] ; [2.44897959 9.55102041],0
s6,1,0.004759,7.968925,[ 9 30] ; [7 3],[12.73469388 26.26530612] ; [3.26530612 6.73469388],0
p9,1,0.036045,4.394976,[17 20] ; [9 2],[20.04166667 16.95833333] ; [5.95833333 5.04166667],0
v2,1,0.047045,3.943767,[13 25] ; [8 4],[15.96 22.04] ; [5.04 6.96],0
p12,1,0.054068,3.710592,[ 1 38] ; [2 9],[ 2.34 36.66] ; [ 0.66 10.34],0
p2,1,0.069605,3.292322,[14 24] ; [8 4],[16.72 21.28] ; [5.28 6.72],0
r4,1,0.111772,2.528984,[10 29] ; [6 6],[12.23529412 26.76470588] ; [3.76470588 8.23529412],0
v1,1,0.125202,2.351006,[10 28] ; [6 6],[12.16 25.84] ; [3.84 8.16],0
a8,1,0.135963,2.223065,[ 6 32] ; [4 7],[ 7.75510204 30.24489796] ; [2.24489796 8.75510204],0
p4,1,0.161349,1.961538,[11 28] ; [6 6],[13. 26.] ; [4. 8.],0
a2,1,0.194327,1.684503,[ 4 35] ; [3 9],[ 5.35294118 33.64705882] ; [ 1.64705882 10.35294118],0
u2,1,0.196706,1.666667,[ 3 13] ; [2 2],[ 4. 12.] ; [1. 3.],0
d5,1,0.209304,1.576236,[25 14] ; [10  2],[26.76470588 12.23529412] ; [8.23529412 3.76470588],0
s3,1,0.222857,1.485877,[13 25] ; [6 5],[14.73469388 23.26530612] ; [4.26530612 6.73469388],0
r1,1,0.224197,1.477303,[15 24] ; [7 5],[16.82352941 22.17647059] ; [5.17647059 6.82352941],0
r2,1,0.239639,1.382716,[22 14] ; [5 7],[20.25 15.75] ; [6.75 5.25],0
n5,1,0.260625,1.265432,[30  9] ; [11  1],[31.35294118  7.64705882] ; [9.64705882 2.35294118],0
s5,1,0.264685,1.244085,[ 5 33] ; [3 8],[ 6.20408163 31.79591837] ; [1.79591837 9.20408163],0
d3,1,0.276014,1.18661,[20 19] ; [4 8],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
p3,1,0.28668,1.13515,[10 29] ; [5 7],[11.47058824 27.52941176] ; [3.52941176 8.47058824],0
d2,1,0.312552,1.01986,[19 19] ; [8 4],[20.52 17.48] ; [6.48 5.52],0
b4,1,0.315336,1.008192,[23 16] ; [9 3],[24.47058824 14.52941176] ; [7.52941176 4.47058824],0
n2,1,0.363722,0.825,[9 9] ; [3 1],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
a7,1,0.370896,0.800659,[17 22] ; [7 5],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
s2,1,0.37493,0.787258,[ 9 30] ; [4 7],[10.14 28.86] ; [2.86 8.14],0
b5,1,0.46049,0.544704,[18 21] ; [7 5],[19.11764706 19.88235294] ; [5.88235294 6.11764706],0
d4,1,0.483756,0.490385,[25 14] ; [9 3],[26. 13.] ; [8. 4.],0
a4,1,0.520159,0.413579,[12 26] ; [5 7],[12.92 25.08] ; [4.08 7.92],0
p5,1,0.546708,0.363248,[ 4 35] ; [ 2 10],[ 4.58823529 34.41176471] ; [ 1.41176471 10.58823529],0
b1,1,0.583067,0.301302,[23 16] ; [6 6],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
a5,1,0.633166,0.227792,[23 16] ; [8 4],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
p1,1,0.673105,0.177991,[ 5 34] ; [ 1 11],[ 4.58823529 34.41176471] ; [ 1.41176471 10.58823529],0
u1,1,0.67987,0.170272,[ 2 37] ; [ 1 11],[ 2.29411765 36.70588235] ; [ 0.70588235 11.29411765],0
a3,1,0.702436,0.145951,[23 15] ; [8 4],[23.56 14.44] ; [7.44 4.56],0
s4,1,0.844686,0.038378,[ 4 35] ; [ 1 11],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
s1,1,0.844686,0.038378,[ 4 35] ; [ 1 11],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
d1,1,0.906366,0.013835,[17 22] ; [5 7],[16.82352941 22.17647059] ; [5.17647059 6.82352941],0
a6,1,0.938076,0.006036,[20 19] ; [6 6],[19.88235294 19.11764706] ; [6.11764706 5.88235294],0
b2,1,0.96749,0.001661,[11 16] ; [4 6],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
b3,1,0.96749,0.001661,[11 16] ; [4 6],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
n1,1,1.0,0.0,[9 9] ; [2 2],[9. 9.] ; [2. 2.],0
