Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.011749,6.348427,[44  2] ; [35 10],[39.93406593  6.06593407] ; [39.06593407  5.93406593],0
b5,1,0.028598,4.791667,[35 11] ; [25 21],[30. 16.] ; [30. 16.],0
s6,1,0.03497,4.44664,[28 17] ; [18 27],[23. 22.] ; [23. 22.],0
a6,1,0.059051,3.563845,[21 25] ; [30 16],[25.5 20.5] ; [25.5 20.5],0
s4,1,0.063974,3.431235,[17 29] ; [ 9 37],[13. 33.] ; [13. 33.],0
n2,1,0.06928,3.3,[15  7] ; [ 9 13],[12. 10.] ; [12. 10.],0
s8,1,0.071991,3.237021,[14 31] ; [ 7 39],[10.38461538 34.61538462] ; [10.61538462 35.38461538],0
r4,1,0.075205,3.165591,[35 11] ; [27 19],[31. 15.] ; [31. 15.],0
u2,1,0.078669,3.092181,[ 7 12] ; [13  7],[9.74358974 9.25641026] ; [10.25641026  9.74358974],0
a4,1,0.122589,2.383924,[12 34] ; [19 27],[15.5 30.5] ; [15.5 30.5],0
s1,1,0.130169,2.290492,[ 2 44] ; [ 6 39],[ 4.04395604 41.95604396] ; [ 3.95604396 41.04395604],0
r3,1,0.162984,1.946321,[40  6] ; [34 11],[37.40659341  8.59340659] ; [36.59340659  8.40659341],0
a5,1,0.210903,1.565217,[26 20] ; [20 26],[23. 23.] ; [23. 23.],0
p4,1,0.229537,1.443731,[21 25] ; [15 30],[18.1978022 27.8021978] ; [17.8021978 27.1978022],0
r2,1,0.245631,1.347985,[41  5] ; [37  9],[39.  7.] ; [39.  7.],0
s7,1,0.246722,1.34177,[14 28] ; [ 9 32],[11.63855422 30.36144578] ; [11.36144578 29.63855422],0
p8,1,0.250432,1.32089,[10 36] ; [14 29],[12.40449438 33.59550562] ; [11.59550562 31.40449438],0
n5,1,0.252138,1.31142,[14 32] ; [ 9 36],[11.62637363 34.37362637] ; [11.37362637 33.62637363],0
s5,1,0.257897,1.280011,[13 32] ; [ 8 35],[10.73863636 34.26136364] ; [10.26136364 32.73863636],0
s2,1,0.291491,1.112724,[22 24] ; [17 29],[19.5 26.5] ; [19.5 26.5],0
p3,1,0.295464,1.094558,[15 31] ; [10 34],[12.77777778 33.22222222] ; [12.22222222 31.77777778],0
n3,1,0.352972,0.862745,[12 10] ; [15  7],[13.5  8.5] ; [13.5  8.5],0
a2,1,0.397168,0.716883,[ 6 40] ; [ 9 37],[ 7.5 38.5] ; [ 7.5 38.5],0
p1,1,0.459292,0.547619,[ 3 43] ; [ 5 41],[ 4. 42.] ; [ 4. 42.],0
d4,1,0.490795,0.474783,[34 12] ; [36  9],[35.38461538 10.61538462] ; [34.61538462 10.38461538],0
p7,1,0.491012,0.474308,[20 26] ; [16 28],[18.4 27.6] ; [17.6 26.4],0
r1,1,0.519424,0.415038,[27 19] ; [30 16],[28.5 17.5] ; [28.5 17.5],0
b4,1,0.529171,0.395983,[24 22] ; [27 19],[25.5 20.5] ; [25.5 20.5],0
b2,1,0.53575,0.383473,[ 6 14] ; [ 5 18],[ 5.11627907 14.88372093] ; [ 5.88372093 17.11627907],0
b3,1,0.53575,0.383473,[ 6 14] ; [ 5 18],[ 5.11627907 14.88372093] ; [ 5.88372093 17.11627907],0
a1,1,0.557204,0.344569,[ 1 45] ; [ 2 44],[ 1.5 44.5] ; [ 1.5 44.5],0
p2,1,0.604707,0.267955,[26 20] ; [23 22],[24.76923077 21.23076923] ; [24.23076923 20.76923077],0
d3,1,0.666955,0.185185,[28 17] ; [26 19],[27. 18.] ; [27. 18.],0
v3,1,0.667367,0.184697,[ 9 36] ; [10 32],[ 9.82758621 35.17241379] ; [ 9.17241379 32.82758621],0
d2,1,0.671943,0.179337,[20 26] ; [18 28],[19. 27.] ; [19. 27.],0
b1,1,0.676657,0.173913,[22 24] ; [24 22],[23. 23.] ; [23. 23.],0
p9,1,0.739606,0.110473,[23 19] ; [22 21],[22.23529412 19.76470588] ; [22.76470588 20.23529412],0
p10,1,0.740376,0.109797,[21 23] ; [19 24],[20.22988506 23.77011494] ; [19.77011494 23.22988506],0
a3,1,0.741707,0.108632,[26 19] ; [25 21],[25.21978022 19.78021978] ; [25.78021978 20.21978022],0
v1,1,0.776492,0.080595,[15 29] ; [17 29],[15.64444444 28.35555556] ; [16.35555556 29.64444444],0
s3,1,0.83448,0.043664,[21 25] ; [22 24],[21.5 24.5] ; [21.5 24.5],0
p6,1,0.888605,0.019619,[ 8 38] ; [ 7 36],[ 7.75280899 38.24719101] ; [ 7.24719101 35.75280899],0
u3,1,0.893719,0.017849,[11  8] ; [12  8],[11.20512821  7.79487179] ; [11.79487179  8.20512821],0
a7,1,0.944281,0.004885,[31 14] ; [32 14],[31.15384615 13.84615385] ; [31.84615385 14.15384615],0
d5,1,0.94997,0.003937,[33 12] ; [34 12],[33.13186813 11.86813187] ; [33.86813187 12.13186813],0
v2,1,0.958861,0.002661,[17 27] ; [16 26],[16.88372093 27.11627907] ; [16.11627907 25.88372093],0
n1,1,1.0,0.0,[ 5 17] ; [ 5 17],[ 5. 17.] ; [ 5. 17.],0
u1,1,1.0,0.0,[ 4 42] ; [ 4 42],[ 4. 42.] ; [ 4. 42.],0
d1,1,1.0,0.0,[21 25] ; [21 25],[21. 25.] ; [21. 25.],0
