Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.619061,[80 11] ; [12 17],[69.76666667 21.23333333] ; [22.23333333  6.76666667],1
r1,1,2e-06,22.174338,[71 23] ; [ 8 21],[60.37398374 33.62601626] ; [18.62601626 10.37398374],1
d4,1,0.000171,14.128912,[72 20] ; [12 17],[63.8677686 28.1322314] ; [20.1322314  8.8677686],1
r2,1,0.000275,13.230064,[81 11] ; [16 12],[74.36666667 17.63333333] ; [22.63333333  5.36666667],1
a1,1,0.000308,13.018862,[ 3 91] ; [ 7 22],[ 7.64227642 86.35772358] ; [ 2.35772358 26.64227642],1
p11,1,0.000396,12.549829,[58 36] ; [ 7 22],[49.67479675 44.32520325] ; [15.32520325 13.67479675],1
s6,1,0.000649,11.628576,[46 47] ; [ 4 25],[38.1147541 54.8852459] ; [11.8852459 17.1147541],1
s2,1,0.00067,11.571669,[38 55] ; [ 2 27],[30.49180328 62.50819672] ; [ 9.50819672 19.49180328],1
v2,1,0.002347,9.255952,[40 46] ; [ 4 24],[33.19298246 52.80701754] ; [10.80701754 17.19298246],0
p9,1,0.003933,8.314447,[61 31] ; [10 18],[54.43333333 37.56666667] ; [16.56666667 11.43333333],0
p2,1,0.004298,8.153565,[60 33] ; [10 19],[53.36065574 39.63934426] ; [16.63934426 12.36065574],0
d3,1,0.004688,7.996143,[62 30] ; [11 18],[55.50413223 36.49586777] ; [17.49586777 11.50413223],0
p10,1,0.005222,7.8008,[54 38] ; [ 8 20],[47.53333333 44.46666667] ; [14.46666667 13.53333333],0
d5,1,0.006133,7.510671,[70 23] ; [14 15],[64.03278689 28.96721311] ; [19.96721311  9.03278689],0
b5,1,0.007227,7.215611,[62 32] ; [11 18],[55.78861789 38.21138211] ; [17.21138211 11.78861789],0
b2,1,0.009619,6.704186,[ 9 40] ; [9 9],[13.1641791 35.8358209] ; [ 4.8358209 13.1641791],0
b3,1,0.009619,6.704186,[ 9 40] ; [9 9],[13.1641791 35.8358209] ; [ 4.8358209 13.1641791],0
s3,1,0.011509,6.384919,[48 44] ; [ 7 21],[42.16666667 49.83333333] ; [12.83333333 15.16666667],0
d1,1,0.015982,5.804875,[43 51] ; [ 6 23],[37.44715447 56.55284553] ; [11.55284553 17.44715447],0
a7,1,0.023645,5.120463,[64 30] ; [13 16],[58.84552846 35.15447154] ; [18.15447154 10.84552846],0
n3,1,0.029523,4.736829,[26 10] ; [ 7 10],[22.41509434 13.58490566] ; [10.58490566  6.41509434],0
b1,1,0.030468,4.682696,[40 54] ; [19 10],[45.08943089 48.91056911] ; [13.91056911 15.08943089],0
p4,1,0.033564,4.516765,[32 61] ; [ 4 25],[27.44262295 65.55737705] ; [ 8.55737705 20.44262295],0
p7,1,0.038138,4.298836,[40 50] ; [ 6 21],[35.38461538 54.61538462] ; [10.61538462 16.38461538],0
p1,1,0.051972,3.776657,[ 2 91] ; [ 3 26],[ 3.81147541 89.18852459] ; [ 1.18852459 27.81147541],0
n2,1,0.05499,3.6824,[28 10] ; [8 9],[24.87272727 13.12727273] ; [11.12727273  5.87272727],0
s8,1,0.068071,3.328933,[25 69] ; [ 3 26],[21.39837398 72.60162602] ; [ 6.60162602 22.39837398],0
p8,1,0.073699,3.19866,[29 63] ; [ 4 24],[25.3 66.7] ; [ 7.7 20.3],0
u3,1,0.084406,2.977946,[22 13] ; [5 9],[19.28571429 15.71428571] ; [7.71428571 6.28571429],0
n5,1,0.111805,2.528516,[42 51] ; [18 11],[45.73770492 47.26229508] ; [14.26229508 14.73770492],0
a8,1,0.141422,2.16242,[12 76] ; [ 1 27],[ 9.86206897 78.13793103] ; [ 3.13793103 24.86206897],0
a5,1,0.157082,2.002094,[53 41] ; [12 17],[49.67479675 44.32520325] ; [15.32520325 13.67479675],0
a6,1,0.178522,1.809884,[61 32] ; [15 14],[57.93442623 35.06557377] ; [18.06557377 10.93442623],0
u2,1,0.198398,1.654128,[25 11] ; [7 7],[23.04 12.96] ; [8.96 5.04],0
p5,1,0.199656,1.644892,[ 2 90] ; [ 2 26],[ 3.06666667 88.93333333] ; [ 0.93333333 27.06666667],0
a4,1,0.202369,1.625197,[30 64] ; [13 16],[32.86178862 61.13821138] ; [10.13821138 18.86178862],0
s7,1,0.217315,1.522015,[27 61] ; [ 5 22],[24.48695652 63.51304348] ; [ 7.51304348 19.48695652],0
p6,1,0.42012,0.649979,[15 76] ; [ 3 26],[13.65 77.35] ; [ 4.35 24.65],0
a3,1,0.441089,0.593448,[58 36] ; [15 13],[56.24590164 37.75409836] ; [16.75409836 11.24590164],0
n1,1,0.4469,0.578502,[13 23] ; [8 9],[14.26415094 21.73584906] ; [ 6.73584906 10.26415094],0
b4,1,0.454386,0.559687,[56 38] ; [15 14],[54.2601626 39.7398374] ; [16.7398374 12.2601626],0
s5,1,0.473214,0.514462,[14 75] ; [ 3 26],[12.8220339 76.1779661] ; [ 4.1779661 24.8220339],0
v1,1,0.535994,0.383015,[34 57] ; [ 9 20],[32.60833333 58.39166667] ; [10.39166667 18.60833333],0
a2,1,0.541543,0.372687,[12 82] ; [ 5 24],[12.99186992 81.00813008] ; [ 4.00813008 24.99186992],0
s4,1,0.763552,0.090493,[11 83] ; [ 4 25],[11.46341463 82.53658537] ; [ 3.53658537 25.46341463],0
v3,1,0.775114,0.08162,[20 66] ; [ 6 23],[19.44347826 66.55652174] ; [ 6.55652174 22.44347826],0
n4,1,0.79293,0.06891,[46 48] ; [15 14],[46.61788618 47.38211382] ; [14.38211382 14.61788618],0
d2,1,0.810631,0.057414,[33 60] ; [11 18],[33.54098361 59.45901639] ; [10.45901639 18.54098361],0
s1,1,0.887333,0.020073,[ 7 84] ; [ 2 27],[ 6.825 84.175] ; [ 2.175 26.825],0
