Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.041173,4.168871,[6 5] ; [ 3 14],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
p9,1,0.044685,4.030475,[7 4] ; [ 4 12],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
p11,1,0.073896,3.194296,[7 4] ; [ 5 12],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
r4,1,0.094362,2.798336,[6 5] ; [ 4 13],[3.92857143 7.07142857] ; [ 6.07142857 10.92857143],0
d1,1,0.102069,2.672919,[3 8] ; [10  7],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
p10,1,0.111666,2.530481,[5 6] ; [ 3 14],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
d4,1,0.114169,2.495544,[8 3] ; [16  1],[9.42857143 1.57142857] ; [14.57142857  2.42857143],0
d2,1,0.141929,2.156918,[4 7] ; [11  6],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
p8,1,0.158834,1.985294,[5 5] ; [ 4 13],[3.33333333 6.66666667] ; [ 5.66666667 11.33333333],0
n6,1,0.225041,1.471933,[5 6] ; [ 4 13],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
a5,1,0.314736,1.010695,[5 6] ; [11  6],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
s6,1,0.3869,0.748663,[5 6] ; [ 5 12],[3.92857143 7.07142857] ; [ 6.07142857 10.92857143],0
r1,1,0.39033,0.737913,[7 4] ; [8 9],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
a7,1,0.39033,0.737913,[7 4] ; [8 9],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
s3,1,0.452651,0.564004,[5 6] ; [ 5 11],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
p4,1,0.462832,0.539037,[4 7] ; [ 4 13],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
v1,1,0.52518,0.403708,[4 7] ; [ 4 12],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
v2,1,0.57649,0.311943,[4 7] ; [8 9],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
d3,1,0.57649,0.311943,[7 4] ; [9 8],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
p6,1,0.635558,0.224599,[2 9] ; [ 2 15],[1.57142857 9.42857143] ; [ 2.42857143 14.57142857],0
r3,1,0.65714,0.197017,[8 3] ; [11  6],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
b4,1,0.65714,0.197017,[8 3] ; [11  6],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
a8,1,0.693196,0.155647,[1 9] ; [ 1 16],[0.74074074 9.25925926] ; [ 1.25925926 15.74074074],0
b5,1,0.698791,0.149733,[6 5] ; [8 9],[5.5 5.5] ; [8.5 8.5],0
a6,1,0.700472,0.147981,[4 7] ; [ 5 12],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
d5,1,0.700472,0.147981,[7 4] ; [12  5],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
s2,1,0.736268,0.113434,[2 9] ; [ 4 13],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
r2,1,0.780914,0.077355,[6 5] ; [9 6],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
p3,1,0.823218,0.049911,[3 8] ; [ 4 13],[2.75 8.25] ; [ 4.25 12.75],0
a2,1,0.823218,0.049911,[ 1 10] ; [ 2 15],[1.17857143 9.82142857] ; [ 1.82142857 15.17857143],0
b2,1,0.844674,0.038384,[4 4] ; [5 6],[3.78947368 4.21052632] ; [5.21052632 5.78947368],0
b3,1,0.844674,0.038384,[4 4] ; [5 6],[3.78947368 4.21052632] ; [5.21052632 5.78947368],0
s7,1,0.861052,0.030637,[3 7] ; [ 5 10],[3.2 6.8] ; [ 4.8 10.2],0
s5,1,0.879193,0.023102,[2 8] ; [ 3 14],[1.85185185 8.14814815] ; [ 3.14814815 13.85185185],0
a3,1,0.90261,0.014973,[8 3] ; [12  5],[7.85714286 3.14285714] ; [12.14285714  4.85714286],0
a4,1,0.933748,0.006911,[5 6] ; [8 9],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
b1,1,0.933748,0.006911,[6 5] ; [9 8],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
n4,1,0.954001,0.003327,[4 7] ; [ 6 11],[3.92857143 7.07142857] ; [ 6.07142857 10.92857143],0
s4,1,0.971216,0.001302,[2 9] ; [ 3 14],[1.96428571 9.03571429] ; [ 3.03571429 13.96428571],0
n2,1,1.0,0.0,[2 2] ; [4 4],[2. 2.] ; [4. 4.],0
