Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000366,12.697374,[ 2 14] ; [15  6],[7.35135135 8.64864865] ; [ 9.64864865 11.35135135],1
p4,1,0.001376,10.237841,[ 4 12] ; [17  5],[8.84210526 7.15789474] ; [12.15789474  9.84210526],0
p3,1,0.002743,8.971134,[ 1 14] ; [12 10],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
p2,1,0.00517,7.818994,[ 6 10] ; [18  4],[10.10526316  5.89473684] ; [13.89473684  8.10526316],0
r4,1,0.016596,5.738555,[ 1 15] ; [ 9 13],[ 4.21052632 11.78947368] ; [ 5.78947368 16.21052632],0
p9,1,0.017517,5.643785,[8 6] ; [20  2],[10.88888889  3.11111111] ; [17.11111111  4.88888889],0
s3,1,0.021295,5.302503,[ 1 14] ; [ 9 13],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
b5,1,0.04868,3.886364,[ 5 11] ; [14  8],[8. 8.] ; [11. 11.],0
v4,1,0.04868,3.886364,[ 5 11] ; [14  8],[8. 8.] ; [11. 11.],0
s8,1,0.056582,3.634833,[ 2 14] ; [ 9 13],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
a2,1,0.065524,3.391736,[ 4 12] ; [ 1 21],[ 2.10526316 13.89473684] ; [ 2.89473684 19.10526316],0
d1,1,0.08018,3.061259,[8 8] ; [ 5 17],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
p11,1,0.087569,2.918495,[10  6] ; [19  3],[12.21052632  3.78947368] ; [16.78947368  5.21052632],0
s6,1,0.089687,2.879987,[ 5 11] ; [13  9],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
u2,1,0.124541,2.359259,[2 2] ; [8 1],[3.07692308 0.92307692] ; [6.92307692 2.07692308],0
p10,1,0.126699,2.332495,[8 7] ; [17  5],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
p1,1,0.158921,1.984459,[ 3 13] ; [ 1 21],[ 1.68421053 14.31578947] ; [ 2.31578947 19.68421053],0
s5,1,0.169038,1.891454,[ 1 15] ; [ 5 17],[ 2.52631579 13.47368421] ; [ 3.47368421 18.52631579],0
a3,1,0.182227,1.779364,[12  3] ; [13  9],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
