Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.00369,8.430193,[24  5] ; [36 34],[17.57575758 11.42424242] ; [42.42424242 27.57575758],0
a4,1,0.021666,5.27243,[15 14] ; [19 50],[10.06122449 18.93877551] ; [23.93877551 45.06122449],0
d4,1,0.046826,3.951613,[22  6] ; [40 30],[17.71428571 10.28571429] ; [44.28571429 25.71428571],0
s5,1,0.05431,3.703153,[ 6 23] ; [ 5 64],[ 3.25510204 25.74489796] ; [ 7.74489796 61.25510204],0
s4,1,0.088785,2.896259,[ 1 28] ; [11 59],[ 3.51515152 25.48484848] ; [ 8.48484848 61.51515152],0
d5,1,0.121716,2.395095,[21  8] ; [39 31],[17.57575758 11.42424242] ; [42.42424242 27.57575758],0
s8,1,0.129141,2.302803,[ 5 24] ; [ 5 65],[ 2.92929293 26.07070707] ; [ 7.07070707 62.92929293],0
d3,1,0.133028,2.256805,[17 12] ; [29 40],[13.6122449 15.3877551] ; [32.3877551 36.6122449],0
a5,1,0.138543,2.194064,[18 11] ; [32 38],[14.64646465 14.35353535] ; [35.35353535 34.64646465],0
p10,1,0.145393,2.119935,[17 12] ; [28 38],[13.73684211 15.26315789] ; [31.26315789 34.73684211],0
d1,1,0.157371,1.999309,[13 16] ; [21 49],[ 9.95959596 19.04040404] ; [24.04040404 45.95959596],0
r3,1,0.179175,1.80445,[10 18] ; [35 34],[12.98969072 15.01030928] ; [32.01030928 36.98969072],0
n5,1,0.210799,1.565928,[15 14] ; [45 24],[17.75510204 11.24489796] ; [42.24489796 26.75510204],0
s6,1,0.236742,1.39989,[ 9 20] ; [14 56],[ 6.73737374 22.26262626] ; [16.26262626 53.73737374],0
v2,1,0.275717,1.188083,[11 17] ; [19 49],[ 8.75 19.25] ; [21.25 46.75],0
a3,1,0.276553,1.183952,[18 10] ; [36 33],[15.58762887 12.41237113] ; [38.41237113 30.58762887],0
p5,1,0.278886,1.172512,[ 4 24] ; [ 5 64],[ 2.59793814 25.40206186] ; [ 6.40206186 62.59793814],0
n1,1,0.279016,1.171875,[9 9] ; [11 21],[ 7.2 10.8] ; [12.8 19.2],0
d2,1,0.302183,1.064536,[ 9 19] ; [30 39],[11.25773196 16.74226804] ; [27.74226804 41.25773196],0
p9,1,0.312588,1.019709,[13 16] ; [37 29],[15.26315789 13.73684211] ; [34.73684211 31.26315789],0
a2,1,0.315041,1.009423,[ 5 24] ; [ 7 63],[ 3.51515152 25.48484848] ; [ 8.48484848 61.51515152],0
b3,1,0.316857,1.001876,[ 5 13] ; [17 24],[ 6.71186441 11.28813559] ; [15.28813559 25.71186441],0
b2,1,0.316857,1.001876,[ 5 13] ; [17 24],[ 6.71186441 11.28813559] ; [15.28813559 25.71186441],0
p7,1,0.333131,0.936688,[ 6 20] ; [23 46],[ 7.93684211 18.06315789] ; [21.06315789 47.93684211],0
n2,1,0.333467,0.935386,[11  7] ; [15 17],[9.36 8.64] ; [16.64 15.36],0
s1,1,0.365453,0.819068,[ 1 28] ; [ 6 64],[ 2.05050505 26.94949495] ; [ 4.94949495 65.05050505],0
n6,1,0.368684,0.808096,[18 11] ; [36 33],[15.97959184 13.02040816] ; [38.02040816 30.97959184],0
n4,1,0.372321,0.795902,[15 14] ; [43 27],[16.98989899 12.01010101] ; [41.01010101 28.98989899],0
s7,1,0.40048,0.706884,[ 7 20] ; [12 54],[ 5.51612903 21.48387097] ; [13.48387097 52.51612903],0
s3,1,0.411146,0.675486,[ 7 21] ; [12 56],[ 5.54166667 22.45833333] ; [13.45833333 54.54166667],0
u1,1,0.413356,0.669128,[ 3 26] ; [ 4 66],[ 2.05050505 26.94949495] ; [ 4.94949495 65.05050505],0
v3,1,0.421204,0.646952,[ 7 22] ; [12 58],[ 5.56565657 23.43434343] ; [13.43434343 56.56565657],0
p2,1,0.442868,0.588841,[16 12] ; [33 35],[14.29166667 13.70833333] ; [34.70833333 33.29166667],0
a7,1,0.443194,0.588,[16 12] ; [34 36],[14.28571429 13.71428571] ; [35.71428571 34.28571429],0
