Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,49.715079,[ 32 465] ; [22 43],[ 47.7544484 449.2455516] ; [ 6.2455516 58.7544484],1
s5,1,0.0,43.817455,[116 376] ; [39 22],[137.90235081 354.09764919] ; [17.09764919 43.90235081],1
p12,1,0.0,35.670131,[ 30 470] ; [18 46],[ 42.55319149 457.44680851] ; [ 5.44680851 58.55319149],1
p8,1,0.0,28.96134,[241 254] ; [54 10],[261.2254025 233.7745975] ; [33.7745975 30.2254025],1
s7,1,1e-06,24.997398,[196 279] ; [44 14],[213.8836773 261.1163227] ; [26.1163227 31.8836773],1
p6,1,1e-06,24.283971,[152 344] ; [39 24],[169.47406082 326.52593918] ; [21.52593918 41.47406082],1
p3,1,7e-06,20.316826,[225 274] ; [48 16],[241.96625222 257.03374778] ; [31.03374778 32.96625222],1
p4,1,3.4e-05,17.197455,[276 224] ; [52 11],[291.29662522 208.70337478] ; [36.70337478 26.29662522],1
s8,1,0.000857,11.113743,[188 311] ; [37 25],[200.13368984 298.86631016] ; [24.86631016 37.13368984],1
s6,1,0.001688,9.861727,[299 198] ; [50 12],[310.29159213 186.70840787] ; [38.70840787 23.29159213],0
b5,1,0.002977,8.821806,[326 175] ; [30 35],[315.11660777 185.88339223] ; [40.88339223 24.11660777],0
p10,1,0.004728,7.980622,[390 106] ; [59  4],[398.39713775  97.60286225] ; [50.60286225 12.39713775],0
a6,1,0.005708,7.640205,[396 103] ; [41 23],[387.32326821 111.67673179] ; [49.67673179 14.32326821],0
v3,1,0.007025,7.266454,[186 296] ; [35 27],[195.8125 286.1875] ; [25.1875 36.8125],0
p7,1,0.007773,7.085093,[294 196] ; [48 14],[303.58695652 186.41304348] ; [38.41304348 23.58695652],0
n6,1,0.010608,6.529762,[401  97] ; [59  4],[408.34224599  89.65775401] ; [51.65775401 11.34224599],0
s1,1,0.013923,6.047919,[ 15 477] ; [ 6 59],[ 18.54937163 473.45062837] ; [ 2.45062837 62.54937163],0
p9,1,0.014567,5.968089,[402  91] ; [60  4],[408.91561939  84.08438061] ; [53.08438061 10.91561939],0
n5,1,0.017438,5.651772,[350 146] ; [55 10],[358.07486631 137.92513369] ; [46.92513369 18.07486631],0
r3,1,0.019739,5.434867,[478  21] ; [57  7],[474.18294849  24.81705151] ; [60.81705151  3.18294849],0
a1,1,0.028219,4.814665,[ 22 479] ; [ 7 58],[ 25.66961131 475.33038869] ; [ 3.33038869 61.66961131],0
p11,1,0.03744,4.330279,[382 119] ; [57  8],[388.58480565 112.41519435] ; [50.41519435 14.58480565],0
b2,1,0.039008,4.260531,[100 192] ; [23 23],[106.26035503 185.73964497] ; [16.73964497 29.26035503],0
b3,1,0.039008,4.260531,[100 192] ; [23 23],[106.26035503 185.73964497] ; [16.73964497 29.26035503],0
v1,1,0.04932,3.864424,[253 234] ; [41 22],[260.32363636 226.67636364] ; [33.67636364 29.32363636],0
s2,1,0.056793,3.628636,[217 280] ; [36 28],[224.1372549 272.8627451] ; [28.8627451 35.1372549],0
n4,1,0.057869,3.59743,[378 122] ; [56  9],[384.07079646 115.92920354] ; [49.92920354 15.07079646],0
s3,1,0.126717,2.332275,[246 245] ; [38 25],[251.70397112 239.29602888] ; [32.29602888 30.70397112],0
n2,1,0.216584,1.526862,[76 34] ; [15  3],[78.203125 31.796875] ; [12.796875  5.203125],0
d5,1,0.253382,1.304561,[419  81] ; [50 14],[415.78014184  84.21985816] ; [53.21985816 10.78014184],0
a2,1,0.293134,1.105171,[147 354] ; [15 50],[143.39575972 357.60424028] ; [18.60424028 46.39575972],0
p2,1,0.301749,1.066448,[413  87] ; [57  8],[415.92920354  84.07079646] ; [54.07079646 10.92920354],0
d2,1,0.311784,1.023105,[244 255] ; [27 37],[240.19360568 258.80639432] ; [30.80639432 33.19360568],0
v4,1,0.320725,0.985987,[467  31] ; [62  2],[468.75800712  29.24199288] ; [60.24199288  3.75800712],0
n3,1,0.356679,0.849553,[79 31] ; [11  7],[77.34375 32.65625] ; [12.65625  5.34375],0
a3,1,0.40707,0.687342,[350 147] ; [49 16],[352.85231317 144.14768683] ; [46.14768683 18.85231317],0
n1,1,0.41322,0.669517,[40 69] ; [8 9],[41.52380952 67.47619048] ; [ 6.47619048 10.52380952],0
d1,1,0.421877,0.64508,[311 190] ; [37 28],[308.03533569 192.96466431] ; [39.96466431 25.03533569],0
a5,1,0.442499,0.589793,[371 130] ; [51 14],[373.53710247 127.46289753] ; [48.46289753 16.53710247],0
u2,1,0.48943,0.47778,[88 59] ; [11  5],[89.28220859 57.71779141] ; [9.71779141 6.28220859],0
d3,1,0.556557,0.3457,[383 116] ; [47 17],[381.11900533 117.88099467] ; [48.88099467 15.11900533],0
r4,1,0.560447,0.338932,[451  50] ; [57  8],[449.66077739  51.33922261] ; [58.33922261  6.66077739],0
d4,1,0.688916,0.160261,[420  80] ; [55  9],[421.09929078  78.90070922] ; [53.90070922 10.09929078],0
b1,1,0.736786,0.112972,[182 319] ; [25 40],[183.22791519 317.77208481] ; [23.77208481 41.22791519],0
